"label" "id" "link" "start" "endDate"
"1" "Frys.com Open" 2523 "http://www.espn.com/golf/leaderboard?tournamentId=2523" "2015-10-15T07:00Z" "2015-10-18T07:00Z"
"2" "Shriners Hospitals for Children Open" 2511 "http://www.espn.com/golf/leaderboard?tournamentId=2511" "2015-10-22T07:00Z" "2015-10-25T07:00Z"
"3" "CIMB Classic" 2527 "http://www.espn.com/golf/leaderboard?tournamentId=2527" "2015-10-29T07:00Z" "2015-11-01T07:00Z"
"4" "Sanderson Farms Championship" 2506 "http://www.espn.com/golf/leaderboard?tournamentId=2506" "2015-11-05T08:00Z" "2015-11-09T08:00Z"
"5" "World Golf Championships-HSBC Champions" 2519 "http://www.espn.com/golf/leaderboard?tournamentId=2519" "2015-11-05T08:00Z" "2015-11-08T08:00Z"
"6" "OHL Classic at Mayakoba" 2522 "http://www.espn.com/golf/leaderboard?tournamentId=2522" "2015-11-12T08:00Z" "2015-11-16T08:00Z"
"7" "The RSM Classic" 2528 "http://www.espn.com/golf/leaderboard?tournamentId=2528" "2015-11-19T08:00Z" "2015-11-22T08:00Z"
"8" "Hero World Challenge" 2605 "http://www.espn.com/golf/leaderboard?tournamentId=2605" "2015-12-03T08:00Z" "2015-12-06T08:00Z"
"9" "Hyundai Tournament of Champions" 2482 "http://www.espn.com/golf/leaderboard?tournamentId=2482" "2016-01-07T08:00Z" "2016-01-10T08:00Z"
"10" "Sony Open in Hawaii" 2487 "http://www.espn.com/golf/leaderboard?tournamentId=2487" "2016-01-14T08:00Z" "2016-01-17T08:00Z"
"11" "CareerBuilder Challenge in partnership with the Clinton Foundation" 2483 "http://www.espn.com/golf/leaderboard?tournamentId=2483" "2016-01-21T08:00Z" "2016-01-24T08:00Z"
"12" "Farmers Insurance Open" 2486 "http://www.espn.com/golf/leaderboard?tournamentId=2486" "2016-01-28T08:00Z" "2016-02-01T08:00Z"
