"season" "perm_tourn" "seq_tourn" "course" "min_day" "max_day" "shot_tot" "tourn" "course.1" "start" "end" "lat" "lng"
2015 464 10 552 9 12 31324 " Frys.com Open" " Silverado CC (North)" 2014-10-09 2014-10-12 38.3487344 -122.2643107
2015 47 20 538 16 19 30391 " Shriners Hospitals for Children Open" " TPC Summerlin" 2014-10-16 2014-10-19 36.1884284 -115.2982117
2015 493 30 776 23 26 29498 " The McGladrey Classic" " Sea Island Resort (Seaside)" 2014-10-23 2014-10-26 31.1390387 -81.4058352
2015 54 50 746 6 9 29506 " Sanderson Farms Championship" " CC of Jackson" 2014-11-06 2014-11-09 32.3205322 -90.1805833
2015 16 100 656 9 12 9420 " Hyundai Tournament of Champions" " Plantation Course at Kapalua" 2015-01-09 2015-01-12 21.0071183 -156.6402666
2015 6 110 6 15 18 30650 " Sony Open in Hawaii" " Waialae CC" 2015-01-15 2015-01-18 21.2705629 -157.7762165
2015 2 120 649 22 25 16052 " Humana Challenge in partnership with the Clinton Foundation" " PGA West (Palmer)" 2015-01-22 2015-01-25 33.6433955 -116.2670394
2015 3 130 510 29 1 29563 " Waste Management Phoenix Open" " TPC Scottsdale" 2015-01-29 2015-02-01 33.6405763 -111.9088681
2015 4 140 4 5 8 22385 " Farmers Insurance Open" " Torrey Pines GC (South)" 2015-02-05 2015-02-08 32.9043227 -117.2444931
2015 5 150 5 12 15 15546 " AT&T Pebble Beach National Pro-Am" " Pebble Beach GL" 2015-02-12 2015-02-15 26.2091313 -80.2130659
2015 7 160 500 19 22 31702 " Northern Trust Open" " Riviera CC" 2015-02-19 2015-02-22 34.0497945 -118.5013377
2015 10 170 734 26 2 30785 " The Honda Classic" " PGA National (Champion)" 2015-02-26 2015-03-02 26.8289909 -80.141201
2015 473 190 8 5 8 21677 " World Golf Championships-Cadillac Championship" " Trump National Doral" 2015-03-05 2015-03-08 25.81372 -80.3396761
2015 475 200 665 12 15 31010 " Valspar Championship" " Innisbrook Resort (Copperhead)" 2015-03-12 2015-03-15 28.1108728 -82.753524
2015 9 210 9 19 22 27146 " Arnold Palmer Invitational presented by MasterCard" " Bay Hill Club & Lodge" 2015-03-19 2015-03-22 28.4582218 -81.5112591
2015 41 220 770 26 29 32105 " Valero Texas Open" " JW Marriott TPC San Antonio" 2015-03-26 2015-03-29 29.6667005 -98.4007462
2015 20 230 729 2 5 30659 " Shell Houston Open" " GC of Houston" 2015-04-02 2015-04-05 29.925101 -95.2580727
2015 12 250 12 16 19 29382 " RBC Heritage" " Harbour Town GL" 2015-04-16 2015-04-19 32.1354877 -80.8101813
2015 18 260 714 23 26 31583 " Zurich Classic of New Orleans" " TPC Louisiana" 2015-04-23 2015-04-26 29.9023695 -90.1892396
2015 470 270 717 29 1 12640 " World Golf Championships-Cadillac Match Play" " TPC Harding Park" 2015-04-29 2015-05-01 37.7251079 -122.4934387
2015 11 280 11 7 10 31579 " THE PLAYERS Championship" " TPC Sawgrass" 2015-05-07 2015-05-10 30.1990251 -81.394832
2015 480 290 698 14 17 33797 " Wells Fargo Championship" " Quail Hollow Club" 2015-05-14 2015-05-17 35.1163944 -80.8424694
2015 21 300 21 21 24 27714 " Crowne Plaza Invitational at  Colonial" " Colonial CC" 2015-05-21 2015-05-24 32.7170485 -97.3727556
2015 19 310 19 28 28 11069 " AT&T Byron Nelson" " TPC Four Seasons Resort" 2015-05-28 2015-05-28 32.8629389 -96.9583796
2015 23 320 23 4 7 27588 " the Memorial Tournament presented by Nationwide" " Muirfield Village GC" 2015-06-04 2015-06-07 40.1404806 -83.140923
2015 25 330 513 11 14 33183 " FedEx St. Jude Classic" " TPC Southwind" 2015-06-11 2015-06-14 35.0571605 -89.7793212
2015 34 350 503 25 28 31798 " Travelers Championship" " TPC River Highlands" 2015-06-25 2015-06-28 41.6318138 -72.6397284
2015 490 360 771 2 5 32214 " The Greenbrier Classic" " The Old White TPC" 2015-07-02 2015-07-05 37.786699 -80.304993
2015 30 370 669 9 12 31861 " John Deere Classic" " TPC Deere Run" 2015-07-09 2015-07-12 41.477362 -90.392236
2015 518 380 819 16 19 29395 " Barbasol Championship" " RTJ Trail (Grand National)" 2015-07-16 2015-07-19 32.6789455 -85.4224935
2015 32 400 32 23 26 34358 " RBC Canadian Open" " Glen Abbey GC" 2015-07-23 2015-07-26 43.449111 -79.7142073
2015 471 410 616 30 2 27552 " Quicken Loans National" " Robert Trent Jones GC" 2015-07-30 2015-08-02 38.775753 -77.6392247
2015 476 430 36 6 9 21953 " World Golf Championships-Bridgestone Invitational" " Firestone CC (South)" 2015-08-06 2015-08-09 41.0078133 -81.5077705
2015 33 440 706 13 16 33904 " PGA Championship" " Whistling Straits" 2015-08-13 2015-08-16 43.8510583 -87.7351416
2015 13 450 752 20 23 30714 " Wyndham Championship" " Sedgefield CC" 2015-08-20 2015-08-23 36.0138843 -79.8871354
2015 27 460 781 27 30 27033 " The Barclays" " Plainfield CC" 2015-08-27 2015-08-30 40.5943282 -74.3910737
2015 505 470 700 4 7 24583 " Deutsche Bank Championship" " TPC Boston" 2015-09-04 2015-09-07 41.9825079 -71.2233312
2015 28 480 789 17 20 19330 " BMW Championship" " Conway Farms GC" 2015-09-17 2015-09-20 42.2316265 -87.8922362
2015 60 490 688 24 27 7938 " TOUR Championship by Coca-Cola" " East Lake GC" 2015-09-24 2015-09-27 33.743698 -84.3027433
