Tour;Tournament Year;Tournament #;Permanent Tournament #;Course #;Team ID;Team Number;Player Number;Player Name;Round Number;Event Name;Course Name;Course Par;Course Yardage;Tee Time;Round Score;End of Round Finish Pos. (numeric);End of Round Finish Pos. (text); End of Event Pos. (numeric);End of Event Pos. (text);In Playoff;Eagles;Eagles(Rank);Birdies;Birdies (Rank);Pars;Bogeys;Bogeys (Rank);Doubles;Others;Total Holes Over Par; Bogey Avoidance Rank;Longest Drive;Longest Drives(Rank);Driving Distance(Total Distance);Driving Distance(Total Drives);Driving Distance(Rank);Driving Dist. - All Drives(Tot. Dist.);Driving Dist. - All Drives(# of Drives);Driving Dist. - All Drives(Rank);Drives Over 300 Yards (# of Drives);Driving Acc. %(Fairways Hit);Driving Acc. %(Possible Fairways);Driving Accuracy Rank;Left Rough Tendency(Total Left Rough);Right Rough Tendency(Total Right Rough);App. 50-75 yds(ft);App. 50-75 yds(attempts);App. 75-100 yds(ft);App. 75-100 yds(attempts);App. 100-125 yds(ft);App. 100-125 yds(attempts);Approaches 50-125 Yards(ft);Approaches 50-125 Yards(attempts);Approaches 125-150 Yards(ft);Approaches 125-150 Yards(attempts);Approaches 150-175 Yards(ft);Approaches 150-175 Yards(attempts);Approaches 175-200 Yards(ft);Approaches   175-200 Yards(attempts);Approaches >200 Yards(ft);Approaches >200 Yards(attempts);App. 50-75 yds(ft) - Rough;App. 50-75 yds(attempts) - Rough;App. 75-100 yds(ft) - Rough;App. 75-100 yds(attempts) - Rough;App. 100-125 yds(ft) - Rough;App. 100-125 yds(attempts) - Rough;Approaches 50-125 Yards(ft) - Rough;Approaches 50-125 Yards(attempts) - Rough;Approaches 125-150 Yards(ft) - Rough;Approaches 125-150 Yards(attempts) - Rough;Approaches 150-175 Yards(ft) - Rough;Approaches 150-175 Yards(attempts) - Rough;Approaches 175-200 Yards(ft) - Rough;Approaches 175-200 Yards(attempts) - Rough;Approaches >200 Yards(ft) - Rough;Approaches >200 Yards(attempts) - Rough;Total Holes Played;Total Greens in Regulation;GIR Rank;Total Distance(ft) Prox to Hole; # of Attempts Prox to Hole;Proximity to Hole (Rank);Fairway Prox(attempts);Fairway Prox(distance in ft);Fairway Prox (Rank);Rough Prox(attempts);Rough Prox(distance in ft);Rough Prox (Rank);Left Rough Prox(attempts);Left Rough Prox(distance in ft);Right Rough Prox(attempts);Right Rough Prox(distance in ft);Going for Green(attempts);Going for Green(non-attempts);Going for the Green(successes);Scrambling Par or Better;Scrambling Missed GIR;Scrambling (Rank);Scrambling Proximity (Total Distance);Scrambling Proximity (# of shots);Scrambling Proximity (rank);Scrambling from the Rough(successes);Scrambling from the Rough(attempts);Scrambling from the Fringe(successes);Scrambling from the Fringe(attempts);Scrambling >30 Yards(successes); Scrambling >30 Yards(attempts);Scrambling   20-30 Yards(successes); Scrambling 20-30 Yards(attempts);Scrambling 10-20 Yards(successes); Scrambling 10-20 Yards(attempts);Scrambling < 10 Yards(successes); Scrambling < 10 Yards(attempts);Sand Save %(# Saves);Sand Save %(# Bunkers);Sand Save (Rank);Prox to Hole from Sand(Total Distance); Prox to Hole from Sand(# of Shots);Total Hole Outs;Longest Hole Out(yards);Overall Putting Avg(# of Putts); Putting Avg(GIR Putts);One-Putt %(# of One Putts);3-Putt Avoid(Total 3 Putts);Approach Putt Performance(attempts);Approach Putt Performance(ft));Avg Distance of Putts Made(Total Distance of Putts);Putting   3'(attempts);Putting   3'(putts made);Putting   4'(attempts);Putting 4'(putts made);Putting 5'(attempts);Putting 5'(putts made);Putting 6'(attempts);Putting 6'(putts made);Putting 7'(attempts);Putting 7'(putts made);Putting 8'(attempts);Putting 8'(putts made);Putting   9'(attempts);Putting 9'(putts made);Putting 10'(attempts);Putting 10'(putts made);Putting Inside 5' (putts made);Putting Inside 5' (attempts);Putting Inside 5 Feet (Rank);Putting 5' - 10' (putts made);Putting 5' - 10' (attempts);Putting 5' - 10' (Rank);Putting 4'-8'(attempts);Putting 4'-8'(putts made);Putting 4' - 8' (Rank);Putting-Inside 10'(attempts);Putting-Inside 10'(putts made);Putting-Inside 10'(rank);Putting 10'-15'(attempts);Putting   10'-15'(putts made);Putting 10'-15'(rank);Putting 15-20'(attempts);Putting 15'-20'(putts made);Putting 15'-20'(rank);Putting 20'-25'(attempts);Putting 20'-25'(putts made);Putting 20'-25'(rank);Putting >25'(attempts);Putting   >25'(putts made);Putting   >25'(rank);Putting   > 10' (putts made);Putting   > 10' (attempts);Putting   > 10' (rank);Total Putts Gained;Total SG T2G;Total SG Total;OTT SG Avg.;APP SG Avg.;ARG SG Avg.;
R;2017;010;464;552;  ;000;01810;Mickelson, Phil;01;Safeway Open;Silverado Resort and Spa North;72;07166;12:40;069;022; T22;008;  T8;;  00000000000;  13;          5;19;         11;          2;33;;;              2;028;00000000332;33;00000000575;00000000002;117;00000004088;00000000014;24;          4;00000000005;00000000014;  114;00000000006;00000000003;;000;          5.083;001;         75.417;003;         80.500;00000000004;;000;        125.417;002;         42.833;001;        208.917;004;  ;;     35.833;          2;     20.500;          1;     56.333;          3;      8.833;          1;     47.167;          2;     95.750;          1;;;00000000018;  00000000013;60;        665.750;00000000018;  91;00000000011;    457.667;136;00000000007;    208.083;29;00000000005;    155.083;00000000002;     53.000;  00000000002;00000000002;00000000001;00000000004;00000000005;22;     29.667;          5;39;00000000002;00000000003;00000000000;00000000000;00000000002;00000000002;00000000000;00000000000;00000000002;00000000003;00000000000;00000000000;00000000000;00000000000;;  ;00000000000;00000000000;00000000000;00000000029;00000000023;00000000008;00000000001;00000000010;     20.917;00000000755;00000000014;00000000013;00000000001;00000000001;  00000000000;00000000000;00000000002;00000000002;00000000000;00000000000;00000000000;00000000000;00000000002;00000000001;00000000001;00000000000;         15;         14;103;          5;            3;61;00000000002;00000000002;1;00000000020;00000000017;91;00000000001;00000000000;93;00000000002;00000000001;9;00000000002;00000000000;36;00000000004;00000000000;33;          1;          9;93;  .510-;  2.573;  2.063;  .368-;  2.150;   .790;
R;2017;010;464;552;  ;000;02206;Toms, David;01;Safeway Open;Silverado Resort and Spa North;72;07166;12:40;074;120;T120;999; CUT;;  00000000000;  13;          2;104;         12;          4;113;;;              4;103;00000000295;720;00000000566;00000000002;127;00000003857;00000000014;125;          0;00000000010;00000000014;  9;00000000001;00000000002;;000;         73.333;001;         13.750;001;         87.083;00000000002;        157.750;005;        100.167;003;         32.833;001;        109.833;002;       21.417;          2;     49.583;          1;;;     71.000;          3;     89.667;          2;;;;;;;00000000018;  00000000007;142;        648.333;00000000018;  83;00000000013;    487.667;124;00000000005;    160.667;37;00000000000;;00000000005;    160.667;  00000000000;00000000004;00000000000;00000000007;00000000011;59;     93.583;         10;85;00000000003;00000000004;00000000000;00000000000;00000000000;00000000001;00000000001;00000000002;00000000004;00000000005;00000000002;00000000003;00000000004;00000000004;1;           42.750;00000000004;00000000000;00000000000;00000000026;00000000012;00000000010;00000000000;00000000008;     17.833;00000001026;00000000009;00000000009;00000000002;00000000002;  00000000003;00000000003;00000000001;00000000001;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;         14;         14;1;          1;            1;1;00000000004;00000000004;1;00000000015;00000000015;1;00000000006;00000000002;60;00000000001;00000000000;55;00000000001;00000000001;1;00000000003;00000000000;33;          3;         11;24;  1.945; 4.884-; 2.938-;  .325-; 3.588-;  .969-;
R;2017;010;464;552;  ;000;12510;Campbell, Chad;01;Safeway Open;Silverado Resort and Spa North;72;07166;13:10;070;041; T41;057; T57;;  00000000000;  13;          5;19;         10;          3;85;;;              3;076;00000000329;47;00000000582;00000000002;108;00000003938;00000000014;97;          4;00000000008;00000000014;  37;00000000004;00000000000;;000;         38.167;003;         58.333;003;         96.500;00000000006;;000;        111.583;005;;000;        156.083;003;  ;;     36.500;          3;;;     36.500;          3;     28.583;          1;;;;;;;00000000018;  00000000013;60;        429.250;00000000018;  11;00000000014;    364.167;39;00000000004;     65.083;3;00000000002;     43.917;00000000002;     21.167;  00000000001;00000000003;00000000000;00000000003;00000000005;67;     13.500;          3;21;00000000001;00000000001;00000000000;00000000000;00000000000;00000000002;00000000001;00000000001;00000000002;00000000002;00000000000;00000000000;00000000001;00000000001;1;            3.167;00000000001;00000000000;00000000000;00000000029;00000000022;00000000008;00000000001;00000000010;     26.333;00000000752;00000000011;00000000011;00000000002;00000000002;  00000000003;00000000002;00000000001;00000000000;00000000000;00000000000;00000000000;00000000000;00000000003;00000000002;00000000001;00000000001;         16;         15;95;          5;            3;61;00000000004;00000000002;99;00000000021;00000000018;83;00000000000;00000000000;;00000000005;00000000000;55;00000000001;00000000000;36;00000000002;00000000000;33;;          8;127; 1.357-;  2.420;  1.063;  .432-;  1.957;   .894;
R;2017;010;464;552;  ;000;12716;Hoffman, Charley;01;Safeway Open;Silverado Resort and Spa North;72;07166;12:50;069;022; T22;999; CUT;;  00000000000;  13;          5;19;         11;          2;33;;;              2;028;00000000336;25;00000000661;00000000002;4;00000004141;00000000014;15;          5;00000000011;00000000014;  3;00000000001;00000000001;;000;         13.333;001;         98.417;005;        111.750;00000000006;         24.833;002;         59.000;003;;000;        307.750;004;       23.667;          1;;;;;     23.667;          1;     50.000;          1;;;;;;;00000000018;  00000000015;11;        623.917;00000000018;  73;00000000015;    503.333;103;00000000002;     73.667;64;00000000001;     50.000;00000000001;     23.667;  00000000003;00000000001;00000000000;00000000001;00000000003;118;     25.167;          2;118;00000000000;00000000001;00000000001;00000000001;00000000000;00000000001;00000000000;00000000000;00000000000;00000000001;00000000001;00000000001;00000000001;00000000002;45;           13.583;00000000001;00000000000;00000000000;00000000029;00000000025;00000000007;00000000000;00000000011;     29.167;00000001159;00000000010;00000000010;00000000000;00000000000;  00000000001;00000000001;00000000000;00000000000;00000000002;00000000002;00000000000;00000000000;00000000000;00000000000;00000000002;00000000001;         11;         11;1;          4;            3;32;00000000003;00000000003;1;00000000015;00000000014;37;00000000005;00000000004;9;00000000001;00000000000;55;00000000003;00000000000;36;00000000005;00000000000;33;          4;         14;18;  2.784;  .722-;  2.063;  1.542;  .961-; 1.303-;
R;2017;010;464;552;  ;000;19803;Armour, Ryan;01;Safeway Open;Silverado Resort and Spa North;72;07166;13:50;072;087; T87;999; CUT;;  00000000000;  13;          3;74;         12;          3;85;;;              3;076;00000000295;720;00000000560;00000000002;132;00000003836;00000000014;133;          0;00000000005;00000000014;  114;00000000003;00000000003;;000;         55.000;002;         72.083;004;        127.083;00000000006;;000;         74.333;003;;000;        129.167;002;  ;;;;     22.333;          1;     22.333;          1;;;     52.000;          1;    145.417;          3;;;00000000018;  00000000012;89;        644.333;00000000018;  80;00000000011;    330.583;79;00000000005;    219.750;86;00000000002;     68.750;00000000003;    151.000;  00000000000;00000000004;00000000000;00000000003;00000000006;86;     52.250;          5;94;00000000002;00000000002;00000000000;00000000000;00000000000;00000000001;00000000002;00000000003;00000000001;00000000002;00000000000;00000000000;00000000000;00000000001;81;           20.083;00000000001;00000000000;00000000000;00000000030;00000000021;00000000006;00000000000;00000000012;     30.250;00000001244;00000000010;00000000010;00000000001;00000000001;  00000000001;00000000001;00000000001;00000000001;00000000001;00000000001;00000000000;00000000000;00000000000;00000000000;00000000001;00000000000;         12;         12;1;          3;            2;48;00000000003;00000000003;1;00000000015;00000000014;37;00000000003;00000000003;1;00000000002;00000000000;55;00000000005;00000000000;36;00000000005;00000000001;13;          4;         15;31;  2.062; 3.001-;  .938-; 1.306-; 1.668-;  .025-;
R;2017;010;464;552;  ;000;20104;Duke, Ken;01;Safeway Open;Silverado Resort and Spa North;72;07166;07:30;069;022; T22;050; T50;;  00000000000;  13;          3;74;         15;;1;;;;001;00000000301;541;00000000486;00000000002;143;00000003827;00000000014;136;          1;00000000008;00000000014;  37;00000000001;00000000003;          5.417;001;         45.167;003;         21.500;001;         72.083;00000000005;         39.667;002;        103.083;004;;000;        109.833;003;  ;;;;;;;;     63.500;          2;;;;;     22.250;          1;00000000018;  00000000015;11;        421.917;00000000018;  8;00000000014;    324.667;20;00000000003;     85.750;24;00000000001;     28.750;00000000002;     57.000;  00000000001;00000000003;00000000000;00000000003;00000000003;1;      7.333;          3;6;00000000001;00000000001;00000000001;00000000001;00000000000;00000000000;00000000000;00000000000;00000000001;00000000001;00000000002;00000000002;00000000001;00000000002;45;            7.333;00000000002;00000000000;00000000000;00000000030;00000000027;00000000006;00000000000;00000000012;     28.917;00000000959;00000000010;00000000010;00000000006;00000000005;  00000000000;00000000000;00000000002;00000000001;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;         16;         15;95;          2;            1;76;00000000002;00000000001;99;00000000018;00000000016;60;00000000002;00000000001;34;00000000001;00000000000;55;00000000004;00000000000;36;00000000005;00000000001;13;          2;         12;70;  .702-;  2.765;  2.063;  .284-;  2.078;   .970;
R;2017;010;464;552;  ;000;20157;Goosen, Retief;01;Safeway Open;Silverado Resort and Spa North;72;07166;07:50;071;063; T63;999; CUT;;  00000000000;  13;          3;74;         13;          2;33;;;              2;028;00000000319;139;00000000618;00000000002;36;00000003900;00000000014;112;          3;00000000009;00000000014;  19;00000000003;00000000002;;000;;000;         83.917;004;         83.917;00000000004;         57.750;001;        136.333;004;;000;        298.250;005;  ;;;;     21.083;          1;     21.083;          1;;;;;    111.500;          3;;;00000000018;  00000000015;11;        708.833;00000000018;  113;00000000014;    576.250;132;00000000004;    132.583;42;00000000002;     73.667;00000000002;     58.917;  00000000003;00000000001;00000000001;00000000002;00000000003;46;     13.833;          3;23;00000000002;00000000003;00000000000;00000000000;00000000000;00000000000;00000000001;00000000002;00000000001;00000000001;00000000000;00000000000;00000000000;00000000000;;  ;00000000000;00000000000;00000000000;00000000033;00000000029;00000000004;00000000001;00000000014;     23.750;00000000562;00000000015;00000000015;00000000001;00000000001;  00000000001;00000000001;00000000001;00000000000;00000000000;00000000000;00000000001;00000000000;00000000000;00000000000;00000000000;00000000000;         17;         17;1;          2;  ;132;00000000003;00000000001;128;00000000019;00000000017;48;00000000002;00000000000;93;00000000003;00000000001;30;00000000002;00000000000;36;00000000007;00000000000;33;          1;         14;123; 1.494-;  1.557;   .063;   .450;   .160;   .945;
R;2017;010;464;552;  ;000;20229;Cink, Stewart;01;Safeway Open;Silverado Resort and Spa North;72;07166;12:50;072;087; T87;999; CUT;;  00000000000;  13;          3;74;         12;          3;85;;;              3;076;00000000353;6;00000000660;00000000002;5;00000004101;00000000014;21;          7;00000000005;00000000014;  114;00000000005;00000000003;;000;         91.833;004;;000;         91.833;00000000004;         64.083;003;        123.250;002;;000;        220.000;003;  ;;;;     41.167;          2;     41.167;          2;     31.000;          1;     81.833;          2;;;;;00000000018;  00000000011;109;        760.917;00000000018;  129;00000000012;    499.167;136;00000000005;    154.000;33;00000000002;     19.667;00000000003;    134.333;  00000000001;00000000003;00000000000;00000000004;00000000007;77;     69.167;          7;90;00000000001;00000000003;00000000000;00000000000;00000000001;00000000002;00000000002;00000000004;00000000001;00000000001;00000000000;00000000000;00000000002;00000000002;1;           11.750;00000000002;00000000000;00000000000;00000000027;00000000019;00000000009;00000000000;00000000009;     17.333;00000000768;00000000009;00000000009;00000000003;00000000003;  00000000004;00000000004;00000000000;00000000000;00000000001;00000000000;00000000001;00000000001;00000000000;00000000000;00000000000;00000000000;         16;         16;1;          2;            1;76;00000000006;00000000005;41;00000000018;00000000017;21;00000000002;00000000000;93;00000000002;00000000001;9;00000000002;00000000000;36;00000000003;00000000000;33;          1;          9;93;   .207; 1.146-;  .938-;   .019; 2.331-;  1.166;
R;2017;010;464;552;  ;000;20572;Pampling, Rod;01;Safeway Open;Silverado Resort and Spa North;72;07166;12:20;072;087; T87;999; CUT;;  00000000000;  13;          3;74;         12;          3;85;;;              3;076;00000000315;193;00000000592;00000000002;87;00000003865;00000000014;123;          4;00000000001;00000000014;  144;00000000004;00000000006;;000;          4.250;001;;000;          4.250;00000000001;;000;         41.500;002;;000;         59.917;002;  ;;;;    179.000;          6;    179.000;          6;     62.667;          2;;;     39.750;          1;    138.583;          2;00000000018;  00000000013;60;        611.583;00000000018;  70;00000000005;    105.667;13;00000000011;    420.000;70;00000000005;    144.833;00000000006;    275.167;  00000000002;00000000002;00000000000;00000000003;00000000005;67;     31.583;          4;66;00000000001;00000000002;00000000001;00000000001;00000000000;00000000001;00000000001;00000000001;00000000001;00000000001;00000000001;00000000002;00000000000;00000000002;81;           26.583;00000000002;00000000000;00000000000;00000000030;00000000024;00000000007;00000000001;00000000011;     25.333;00000001404;00000000011;00000000011;00000000002;00000000001;  00000000004;00000000003;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;         17;         15;133;;  ;;00000000004;00000000003;58;00000000017;00000000015;72;00000000003;00000000001;60;00000000002;00000000000;55;00000000004;00000000000;36;00000000004;00000000002;1;          3;         13;37;   .021;  .960-;  .938-; 1.197-;   .711;  .473-;
R;2017;010;464;552;  ;000;20593;Chalmers, Greg;01;Safeway Open;Silverado Resort and Spa North;72;07166;07:50;071;063; T63;062; T62;;  00000000001;  1;          1;132;         14;          2;33;;;              2;028;00000000310;289;00000000532;00000000002;139;00000003789;00000000014;139;          1;00000000004;00000000014;  129;00000000004;00000000005;         12.667;001;          6.167;001;         58.583;002;         77.417;00000000004;;000;        147.833;003;;000;        107.917;003;        5.167;          1;     59.417;          2;;;     64.583;          3;;;    187.167;          3;;;    129.083;          1;00000000018;  00000000011;109;        751.917;00000000018;  127;00000000010;    333.167;98;00000000007;    380.833;118;00000000005;    197.833;00000000002;    183.000;  00000000002;00000000002;00000000000;00000000005;00000000007;43;     47.250;          5;86;00000000001;00000000002;00000000000;00000000000;00000000003;00000000003;00000000000;00000000001;00000000002;00000000003;00000000000;00000000000;00000000003;00000000004;39;           38.750;00000000004;00000000000;00000000000;00000000028;00000000019;00000000006;00000000000;00000000011;     25.667;00000000956;00000000009;00000000009;00000000001;00000000001;  00000000000;00000000000;00000000002;00000000002;00000000001;00000000001;00000000001;00000000001;00000000003;00000000001;00000000000;00000000000;         10;         10;1;          7;            5;44;00000000004;00000000004;1;00000000017;00000000015;72;00000000003;00000000002;15;00000000000;00000000000;;00000000002;00000000000;36;00000000006;00000000000;33;          2;         11;61;  1.634; 1.572-;   .063; 1.258-; 1.419-;  1.105;
