"label","id","link","start","end","city","state","country","zipCode","courseName","id.1","lat","lng","elevations"
"Frys.com Open",2523,"http://www.espn.com/golf/leaderboard?tournamentId=2523","2015-10-15T07:00Z","2015-10-18T07:00Z","Napa","CA","United States",NA,"Silverado Resort and Spa North",2523,38.3487344,-122.2643107,29.3323783874512
"Shriners Hospitals for Children Open",2511,"http://www.espn.com/golf/leaderboard?tournamentId=2511","2015-10-22T07:00Z","2015-10-25T07:00Z","Las Vegas","NV","United States","89134","TPC Summerlin",2511,36.1884284,-115.2982117,827.828247070312
"Sanderson Farms Championship",2506,"http://www.espn.com/golf/leaderboard?tournamentId=2506","2015-11-05T08:00Z","2015-11-09T08:00Z","Jackson","MS","United States",NA,"CC of Jackson",2506,32.3968927,-90.0986653,100.838760375977
"The RSM Classic",2528,"http://www.espn.com/golf/leaderboard?tournamentId=2528","2015-11-19T08:00Z","2015-11-22T08:00Z","Sea Island","GA","United States",NA,"Sea Island Resort (Seaside)",2528,31.1812469,-81.3505119,10.0520076751709
"Hyundai Tournament of Champions",2482,"http://www.espn.com/golf/leaderboard?tournamentId=2482","2016-01-07T08:00Z","2016-01-10T08:00Z","Kapalua, Maui","HI","United States","96761","Plantation Course at Kapalua",2482,21.0071183,-156.6402666,62.5757827758789
"Sony Open in Hawaii",2487,"http://www.espn.com/golf/leaderboard?tournamentId=2487","2016-01-14T08:00Z","2016-01-17T08:00Z","Honolulu","HI","United States","96816","Waialae CC",2487,21.283264,-157.799961,49.904426574707
"CareerBuilder Challenge in partnership with the Clinton Foundation",2483,"http://www.espn.com/golf/leaderboard?tournamentId=2483","2016-01-21T08:00Z","2016-01-24T08:00Z","La Quinta","CA","United States","92253","La Quinta CC",2483,40.3971468,-74.1487048,27.6376171112061
"Farmers Insurance Open",2486,"http://www.espn.com/golf/leaderboard?tournamentId=2486","2016-01-28T08:00Z","2016-02-01T08:00Z","La Jolla","CA","United States","92037","Torrey Pines (North)",2486,42.898833,-73.816056,96.1343841552734
"Waste Management Phoenix Open",2484,"http://www.espn.com/golf/leaderboard?tournamentId=2484","2016-02-04T08:00Z","2016-02-07T08:00Z","Scottsdale","AZ","United States","85255","TPC Scottsdale",2484,33.638565,-111.9056443,467.263275146484
"AT&T Pebble Beach Pro-Am",2485,"http://www.espn.com/golf/leaderboard?tournamentId=2485","2016-02-11T08:00Z","2016-02-14T08:00Z","Pebble Beach","CA","United States","93953","Spyglass Hill GC",2485,36.1296079,-79.9268785,260.343841552734
"Northern Trust Open",2488,"http://www.espn.com/golf/leaderboard?tournamentId=2488","2016-02-18T08:00Z","2016-02-21T08:00Z","Pacific Palisades","CA","United States","90272","Riviera CC",2488,40.8977868,-73.221492,4.9168291091919
"The Honda Classic",2489,"http://www.espn.com/golf/leaderboard?tournamentId=2489","2016-02-25T08:00Z","2016-02-28T08:00Z","Palm Beach Gardens","FL","United States",NA,"PGA National (Champion)",2489,26.8289909,-80.141201,8.74975299835205
"World Golf Championships-Cadillac Championship",2518,"http://www.espn.com/golf/leaderboard?tournamentId=2518","2016-03-03T08:00Z","2016-03-06T08:00Z","Miami","FL","United States","33178","Trump National Doral",2518,25.81372,-80.3396761,5.66851472854614
"Valspar Championship",2514,"http://www.espn.com/golf/leaderboard?tournamentId=2514","2016-03-10T08:00Z","2016-03-13T08:00Z","Palm Harbor","FL","United States","34684","Innisbrook Resort (Copperhead)",2514,28.1108728,-82.753524,3.89608502388
"Arnold Palmer Invitational presented by MasterCard",2490,"http://www.espn.com/golf/leaderboard?tournamentId=2490","2016-03-17T07:00Z","2016-03-20T07:00Z","Orlando","FL","United States","32819","Bay Hill Club & Lodge",2490,35.04356,-80.7875469,190.537612915039
"World Golf Championships-Dell Match Play",2516,"http://www.espn.com/golf/leaderboard?tournamentId=2516","2016-03-23T07:00Z","2016-03-27T07:00Z","Austin","TX","United States",NA,"Austin Country Club",2516,30.2445941,-97.6952932,128.515533447266
