"type","hole","numPoint","lat","lon"
"Pin","1","0",34.855973885597,-92.588151858815
"Target","1","1",34.857354485735,-92.586065658607
"Target","1","2",34.856191685619,-92.587689258769
"Tee","1","0",34.858516385852,-92.583527658353
"Pin","2","0",34.85349798535,-92.584711158471
"Target","2","1",34.85450418545,-92.585414058541
"Tee","2","0",34.855615685562,-92.587521858752
"Pin","3","0",34.853007485301,-92.58029845803
"Target","3","1",34.852946285295,-92.581345158135
"Tee","3","0",34.853869685387,-92.583860658386
"Pin","4","0",34.853022785302,-92.577433757743
"Tee","4","0",34.852624085262,-92.579534357953
"Pin","5","0",34.856526485653,-92.574510557451
"Target","5","1",34.855748885575,-92.575538357554
"Tee","5","0",34.853957885396,-92.57730235773
"Pin","6","0",34.854406985441,-92.573552957355
"Tee","6","0",34.856033285603,-92.573860757386
"Pin","7","0",34.853354885335,-92.576549057655
"Target","7","1",34.85380218538,-92.575178357518
"Tee","7","0",34.853438585344,-92.572458557246
"Pin","8","0",34.854543785454,-92.582838258284
"Target","8","1",34.853815685382,-92.580183258018
"Target","8","2",34.85430438543,-92.582254158225
"Tee","8","0",34.854362885436,-92.577458057746
"Pin","9","0",34.857966485797,-92.582068758207
"Target","9","1",34.856443685644,-92.582256858226
"Tee","9","0",34.854543785454,-92.584013658401
"Pin","10","0",34.858087085809,-92.576054957605
"Target","10","1",34.857752285775,-92.577474257747
"Tee","10","0",34.85790258579,-92.580274158027
"Pin","11","0",34.857105185711,-92.573311757331
"Tee","11","0",34.857732485773,-92.574885857489
"Pin","12","0",34.854488885449,-92.569489456949
"Target","12","1",34.854938885494,-92.571041057104
"Tee","12","0",34.856656085666,-92.572984157298
"Pin","13","0",34.855318685532,-92.565409756541
"Target","13","1",34.854739085474,-92.566086556609
"Tee","13","0",34.854116285412,-92.568735256873
"Pin","14","0",34.857151985715,-92.570310257031
"Target","14","1",34.855738985574,-92.568191656819
"Target","14","2",34.856809985681,-92.569906156991
"Tee","14","0",34.855973885597,-92.56529995653
"Pin","15","0",34.860232686023,-92.573217257322
"Target","15","1",34.858949285895,-92.572274057227
"Tee","15","0",34.858033985803,-92.569645156964
"Pin","16","0",34.862220786222,-92.575022657502
"Tee","16","0",34.860721386072,-92.57379955738
"Pin","17","0",34.863756186376,-92.580370458037
"Target","17","1",34.863507786351,-92.577530057753
"Target","17","2",34.863608586361,-92.579681957968
"Tee","17","0",34.862929086293,-92.574762557476
"Pin","18","0",34.859438885944,-92.580722358072
"Target","18","1",34.861070586107,-92.581626858163
"Tee","18","0",34.863364686336,-92.580832158083
