"type","hole","numPoint","lat","lon"
"Pin","1","0",31.615977161598,-7.9366192936619
"Target","1","1",31.61530216153,-7.9358056935806
"Tee","1","0",31.613270861327,-7.9345321934532
"Pin","2","0",31.618615061862,-7.9378738937874
"Target","2","1",31.617631361763,-7.9373320937332
"Tee","2","0",31.615773761577,-7.9357336935734
"Pin","3","0",31.616082461608,-7.937919793792
"Target","3","1",31.617027461703,-7.9382977938298
"Tee","3","0",31.619330561933,-7.9382950938295
"Pin","4","0",31.618078661808,-7.9391509939151
"Tee","4","0",31.61640016164,-7.9391293939129
"Pin","5","0",31.617631361763,-7.9425790942579
"Target","5","1",31.617931061793,-7.9411507941151
"Tee","5","0",31.618832861883,-7.9386631938663
"Pin","6","0",31.614821561482,-7.9419670941967
"Target","6","1",31.616439761644,-7.9429858942986
"Target","6","2",31.614768461477,-7.9427329942733
"Tee","6","0",31.61830006183,-7.944579794458
"Pin","7","0",31.614775661478,-7.9390627939063
"Target","7","1",31.614637961464,-7.940779994078
"Tee","7","0",31.614047561405,-7.9434934943494
"Pin","8","0",31.615543361554,-7.9376920937692
"Tee","8","0",31.615164461516,-7.9393417939342
"Pin","9","0",31.6129963613,-7.9349533934953
"Target","9","1",31.61460286146,-7.93649959365
"Target","9","2",31.61339506134,-7.9351873935187
"Tee","9","0",31.61669896167,-7.9376164937617
"Pin","10","0",31.611365561137,-7.9325341932534
"Target","10","1",31.612077461208,-7.9334647933465
"Tee","10","0",31.614145661415,-7.9344142934414
"Pin","11","0",31.607961760796,-7.9295245929525
"Target","11","1",31.609856260986,-7.9310905931091
"Target","11","2",31.608492760849,-7.9297684929769
"Tee","11","0",31.611874961187,-7.9324882932488
"Pin","12","0",31.608076060808,-7.9308466930847
"Tee","12","0",31.607441560744,-7.9289260928926
"Pin","13","0",31.607256160726,-7.9278586927859
"Target","13","1",31.606952860695,-7.9294876929488
"Tee","13","0",31.608156160816,-7.9315036931504
"Pin","14","0",31.603953160395,-7.9270810927081
"Target","14","1",31.60529686053,-7.927689492769
"Tee","14","0",31.607484760748,-7.9272448927245
"Pin","15","0",31.60639756064,-7.9282771928277
"Target","15","1",31.605428260543,-7.9285579928558
"Tee","15","0",31.603534660353,-7.9270189927019
"Pin","16","0",31.607774560777,-7.9321984932199
"Target","16","1",31.607085160709,-7.930770193077
"Tee","16","0",31.605314860531,-7.9290412929041
"Pin","17","0",31.608761860876,-7.9310617931062
"Tee","17","0",31.607870860787,-7.9330651933065
"Pin","18","0",31.612085561209,-7.9349155934916
"Target","18","1",31.611024461102,-7.9329157932916
"Target","18","2",31.612108061211,-7.9345555934556
"Tee","18","0",31.609161460916,-7.9313272931327
