"type","hole","numPoint","lat","lon"
"Pin","1","0",37.148039214804,-8.3534048353405
"Target","1","1",37.147778214778,-8.3551157355116
"Tee","1","0",37.147639614764,-8.3579993357999
"Pin","2","0",37.147235514724,-8.3540213354021
"Tee","2","0",37.147241814724,-8.3520980352098
"Pin","3","0",37.14660281466,-8.3577392357739
"Target","3","1",37.147134714713,-8.3570786357079
"Tee","3","0",37.146840414684,-8.3543705354371
"Pin","4","0",37.141270314127,-8.3569985356999
"Target","4","1",37.142969514297,-8.3586455358646
"Target","4","2",37.141631214163,-8.3569688356969
"Tee","4","0",37.145354514535,-8.3586059358606
"Pin","5","0",37.141913814191,-8.3606039360604
"Target","5","1",37.141911114191,-8.3593412359341
"Tee","5","0",37.140468414047,-8.3571569357157
"Pin","6","0",37.145912514591,-8.3648123364812
"Target","6","1",37.14419711442,-8.3626091362609
"Target","6","2",37.145327514533,-8.3646386364639
"Tee","6","0",37.142134314213,-8.3613248361325
"Pin","7","0",37.145583114558,-8.3615957361596
"Tee","7","0",37.145912514591,-8.3637872363787
"Pin","8","0",37.142578914258,-8.360659736066
"Target","8","1",37.143609414361,-8.3614049361405
"Tee","8","0",37.145827014583,-8.3606282360628
"Pin","9","0",37.145916114592,-8.3598794359879
"Target","9","1",37.145045814505,-8.3599226359923
"Tee","9","0",37.142743614274,-8.3599892359989
"Pin","10","0",37.146455214646,-8.3651129365113
"Target","10","1",37.146481314648,-8.3629673362967
"Tee","10","0",37.146331014633,-8.3599811359981
"Pin","11","0",37.144736214474,-8.3666843366684
"Tee","11","0",37.146012414601,-8.3662523366252
"Pin","12","0",37.14090041409,-8.3682215368222
"Target","12","1",37.141552914155,-8.3678624367862
"Tee","12","0",37.143410514341,-8.369189936919
"Pin","13","0",37.145236614524,-8.3691035369104
"Target","13","1",37.142385414239,-8.3701718370172
"Target","13","2",37.144360014436,-8.3696723369672
"Tee","13","0",37.14020111402,-8.3689694368969
"Pin","14","0",37.142880414288,-8.3709224370922
"Target","14","1",37.143837114384,-8.3708693370869
"Tee","14","0",37.14579911458,-8.3698010369801
"Pin","15","0",37.146932214693,-8.3710619371062
"Target","15","1",37.145929614593,-8.3711987371199
"Tee","15","0",37.143632814363,-8.3714021371402
"Pin","16","0",37.148144514814,-8.3687174368717
"Tee","16","0",37.147637814764,-8.3701259370126
"Pin","17","0",37.145431014543,-8.3669768366977
"Target","17","1",37.146656814666,-8.3675717367572
"Tee","17","0",37.148845614885,-8.3684708368471
"Pin","18","0",37.146946614695,-8.3605256360526
"Target","18","1",37.147360614736,-8.363060036306
"Target","18","2",37.147120314712,-8.3608631360863
"Tee","18","0",37.147013214701,-8.3659679365968
