"type","hole","numPoint","lat","lon"
"Pin","1","0",56.541040454104,-2.6266313626631
"Target","1","1",56.541683054168,-2.6262092626209
"Tee","1","0",56.543731454373,-2.6243030624303
"Pin","2","0",56.538807553881,-2.6294582629458
"Target","2","1",56.540278154028,-2.6283449628345
"Target","2","2",56.539108153911,-2.6294339629434
"Tee","2","0",56.542307654231,-2.626370362637
"Pin","3","0",56.536992253699,-2.6316119631612
"Target","3","1",56.538053353805,-2.630860463086
"Tee","3","0",56.539617553962,-2.6297210629721
"Pin","4","0",56.5360031536,-2.6333174633317
"Tee","4","0",56.537171353717,-2.6320781632078
"Pin","5","0",56.533272553327,-2.63630006363
"Target","5","1",56.534267053427,-2.6355062635506
"Tee","5","0",56.536211953621,-2.6335613633561
"Pin","6","0",56.530416853042,-2.6376491637649
"Target","6","1",56.531131453113,-2.6373107637311
"Tee","6","0",56.533405753341,-2.6366627636663
"Pin","7","0",56.529166752917,-2.6382989638299
"Tee","7","0",56.530459153046,-2.6385428638543
"Pin","8","0",56.531338453134,-2.6358230635823
"Target","8","1",56.530664353066,-2.6362019636202
"Tee","8","0",56.528641152864,-2.6381963638196
"Pin","9","0",56.53410235341,-2.6347952634795
"Target","9","1",56.533471453347,-2.6350823635082
"Tee","9","0",56.53130245313,-2.6364827636483
"Pin","10","0",56.536957153696,-2.6309144630914
"Target","10","1",56.536182253618,-2.6320808632081
"Tee","10","0",56.534343553434,-2.6345945634595
"Pin","11","0",56.533954753395,-2.6335541633554
"Target","11","1",56.53440025344,-2.6332319633232
"Tee","11","0",56.536309153631,-2.6313275631328
"Pin","12","0",56.532180853218,-2.6350931635093
"Target","12","1",56.532919753292,-2.6344487634449
"Tee","12","0",56.53459555346,-2.6336909633691
"Pin","13","0",56.534462353446,-2.6317649631765
"Target","13","1",56.533534453353,-2.6327468632747
"Tee","13","0",56.531570653157,-2.6347790634779
"Pin","14","0",56.536341553634,-2.6309171630917
"Tee","14","0",56.534428153443,-2.6314346631435
"Pin","15","0",56.538739153874,-2.6292242629224
"Target","15","1",56.538038053804,-2.6296220629622
"Tee","15","0",56.535872653587,-2.6300666630067
"Pin","16","0",56.537133553713,-2.6291846629185
"Tee","16","0",56.538589753859,-2.628640162864
"Pin","17","0",56.540444654044,-2.6264540626454
"Target","17","1",56.538825553883,-2.627620462762
"Target","17","2",56.540236754024,-2.6265863626586
"Tee","17","0",56.536651153665,-2.6289911628991
"Pin","18","0",56.543227454323,-2.6237531623753
"Target","18","1",56.54229685423,-2.6245064624506
"Tee","18","0",56.540114354011,-2.6258366625837
