"type","hole","numPoint","lat","lon"
"Pin","1","0",56.050944505094,-2.7982361798236
"Target","1","1",56.051958805196,-2.7991838799184
"Tee","1","0",56.053931605393,-2.8011647801165
"Pin","2","0",56.047529904753,-2.7922169792217
"Target","2","1",56.04889610489,-2.7944444794444
"Target","2","2",56.047740504774,-2.7926723792672
"Tee","2","0",56.050779805078,-2.7968141796814
"Pin","3","0",56.047226604723,-2.7890417789042
"Tee","3","0",56.047133904713,-2.7919973791997
"Pin","4","0",56.048892504889,-2.7907418790742
"Target","4","1",56.048245404825,-2.7905015790502
"Tee","4","0",56.047187904719,-2.7875180787518
"Pin","5","0",56.046687504669,-2.7844436784444
"Target","5","1",56.047942104794,-2.7874811787481
"Target","5","2",56.047051104705,-2.7849179784918
"Tee","5","0",56.049453204945,-2.7905915790592
"Pin","6","0",56.046328404633,-2.7910856791086
"Target","6","1",56.046513804651,-2.7891677789168
"Tee","6","0",56.04649850465,-2.7850448785045
"Pin","7","0",56.047586604759,-2.7938747793875
"Tee","7","0",56.046538104654,-2.7917930791793
"Pin","8","0",56.050378405038,-2.7975440797544
"Target","8","1",56.049676404968,-2.7965693796569
"Tee","8","0",56.047934004793,-2.7941051794105
"Pin","9","0",56.054231305423,-2.8005320800532
"Target","9","1",56.053186405319,-2.7987968798797
"Tee","9","0",56.05109750511,-2.7970607797061
"Pin","10","0",56.051385505139,-2.7964064796406
"Target","10","1",56.053079305308,-2.7975791797579
"Target","10","2",56.052070405207,-2.7965882796588
"Tee","10","0",56.054746105475,-2.8004249800425
"Pin","11","0",56.048332704833,-2.7922331792233
"Target","11","1",56.049254304925,-2.7933626793363
"Tee","11","0",56.050986805099,-2.7958484795848
"Pin","12","0",56.050770805077,-2.7946739794674
"Target","12","1",56.050174105017,-2.7934940793494
"Tee","12","0",56.048170704817,-2.7914609791461
"Pin","13","0",56.051516905152,-2.7930917793092
"Tee","13","0",56.051417905142,-2.7955910795591
"Pin","14","0",56.054261005426,-2.7980534798053
"Target","14","1",56.052635605264,-2.7958052795805
"Target","14","2",56.053886605389,-2.7973559797356
"Tee","14","0",56.051660905166,-2.7922331792233
"Pin","15","0",56.052337705234,-2.7926732792673
"Target","15","1",56.053059505306,-2.7947009794701
"Tee","15","0",56.054644405464,-2.7974846797485
"Pin","16","0",56.056207705621,-2.791890279189
"Target","16","1",56.054947705495,-2.793420279342
"Tee","16","0",56.052709405271,-2.7924527792453
"Pin","17","0",56.056358005636,-2.7942770794277
"Tee","17","0",56.056690105669,-2.7915734791573
"Pin","18","0",56.05479740548,-2.7995123799512
"Target","18","1",56.055078205508,-2.7973469797347
"Tee","18","0",56.055857605586,-2.7934670793467
