"type","hole","numPoint","lat","lon"
"Pin","1","0",40.952517795252,-72.336726033673
"Target","1","1",40.950167895017,-72.336227433623
"Target","1","2",40.951921095192,-72.336524433652
"Tee","1","0",40.94779729478,-72.335878233588
"Pin","2","0",40.953026295303,-72.341824534182
"Target","2","1",40.952893095289,-72.340114534011
"Tee","2","0",40.952752695275,-72.337071633707
"Pin","3","0",40.952254095225,-72.338680833868
"Target","3","1",40.952275695228,-72.340140634014
"Tee","3","0",40.952389995239,-72.342585934259
"Pin","4","0",40.950477495048,-72.34080213408
"Tee","4","0",40.951883295188,-72.339335133934
"Pin","5","0",40.950935595094,-72.345660334566
"Target","5","1",40.950479295048,-72.343922434392
"Tee","5","0",40.950155295016,-72.340904734091
"Pin","6","0",40.95449509545,-72.343367134337
"Target","6","1",40.953179295318,-72.345305734531
"Target","6","2",40.954225095423,-72.34369563437
"Tee","6","0",40.951032795103,-72.346247134625
"Pin","7","0",40.954427595443,-72.34190463419
"Tee","7","0",40.955017095502,-72.343530034353
"Pin","8","0",40.95120289512,-72.344177134418
"Target","8","1",40.951867095187,-72.343956634396
"Tee","8","0",40.953567195357,-72.342065734207
"Pin","9","0",40.954179195418,-72.342430234243
"Target","9","1",40.953246795325,-72.343726234373
"Tee","9","0",40.951136295114,-72.345075334508
"Pin","10","0",40.953129795313,-72.336677433668
"Target","10","1",40.953377295338,-72.338771733877
"Tee","10","0",40.953611295361,-72.341859634186
"Pin","11","0",40.952252295225,-72.335870133587
"Tee","11","0",40.953382695338,-72.336223833622
"Pin","12","0",40.949884394988,-72.333820833382
"Target","12","1",40.950017595002,-72.335006133501
"Tee","12","0",40.951964295196,-72.335880933588
"Pin","13","0",40.94540329454,-72.334950333495
"Target","13","1",40.947684794768,-72.335283333528
"Target","13","2",40.946250194625,-72.335138433514
"Tee","13","0",40.949576594958,-72.333544533354
"Pin","14","0",40.949039294904,-72.33970323397
"Target","14","1",40.947931394793,-72.340044334004
"Tee","14","0",40.946448194645,-72.337712433771
"Pin","15","0",40.949057294906,-72.342264634226
"Tee","15","0",40.949014994901,-72.340344034034
"Pin","16","0",40.949931194993,-72.338748333875
"Target","16","1",40.949541494954,-72.340526734053
"Tee","16","0",40.949661194966,-72.343680334368
"Pin","17","0",40.952232495223,-72.337975233798
"Target","17","1",40.951405395141,-72.338660133866
"Tee","17","0",40.950062595006,-72.340792234079
"Pin","18","0",40.947675794768,-72.336368733637
"Target","18","1",40.950129195013,-72.33779703378
"Target","18","2",40.948484894848,-72.33679803368
"Tee","18","0",40.952480895248,-72.337275033728
