"type","hole","numPoint","lat","lon"
"Pin","1","0",39.367441236744,-74.546267654627
"Target","1","1",39.368485236849,-74.545338854534
"Tee","1","0",39.370255537026,-74.543271554327
"Pin","2","0",39.365052636505,-74.548770554877
"Target","2","1",39.365637636564,-74.548131554813
"Tee","2","0",39.367646436765,-74.546787854679
"Pin","3","0",39.362977236298,-74.546661854666
"Target","3","1",39.36320133632,-74.54750155475
"Tee","3","0",39.364138236414,-74.550046755005
"Pin","4","0",39.36289803629,-74.54529925453
"Tee","4","0",39.362576736258,-74.546750054675
"Pin","5","0",39.364428036443,-74.549247554925
"Target","5","1",39.363942936394,-74.547711254771
"Tee","5","0",39.362952036295,-74.544964454496
"Pin","6","0",39.368388936839,-74.544392954439
"Target","6","1",39.366512436651,-74.546459354646
"Target","6","2",39.367749936775,-74.544977954498
"Tee","6","0",39.36469983647,-74.548464554846
"Pin","7","0",39.36550083655,-74.546847254685
"Target","7","1",39.366445836645,-74.54560345456
"Tee","7","0",39.368293536829,-74.543738654374
"Pin","8","0",39.366261336626,-74.544639554464
"Tee","8","0",39.365181336518,-74.546149754615
"Pin","9","0",39.369657936966,-74.542367954237
"Target","9","1",39.368223336822,-74.542526354253
"Tee","9","0",39.366555636656,-74.54450275445
"Pin","10","0",39.36640443664,-74.543107754311
"Target","10","1",39.36769953677,-74.541656054166
"Target","10","2",39.366807636681,-74.542979054298
"Tee","10","0",39.369999937,-74.541769454177
"Pin","11","0",39.36429753643,-74.547134354713
"Target","11","1",39.364869936487,-74.545689854569
"Tee","11","0",39.366450336645,-74.543523554352
"Pin","12","0",39.364470336447,-74.545578254558
"Tee","12","0",39.364046436405,-74.546817554682
"Pin","13","0",39.367839936784,-74.540830754083
"Target","13","1",39.366021936602,-74.542379654238
"Target","13","2",39.367326036733,-74.540915354092
"Tee","13","0",39.364755636476,-74.544993254499
"Pin","14","0",39.369214236921,-74.538977653898
"Target","14","1",39.368808336881,-74.539752553975
"Tee","14","0",39.366757236676,-74.539569853957
"Pin","15","0",39.368969436897,-74.53820185382
"Tee","15","0",39.370431037043,-74.537489053749
"Pin","16","0",39.371432737143,-74.535624253562
"Target","16","1",39.37070463707,-74.536516153652
"Tee","16","0",39.36860493686,-74.537738353774
"Pin","17","0",39.371107837111,-74.536925653693
"Tee","17","0",39.37190343719,-74.535716053572
"Pin","18","0",39.369710136971,-74.541431954143
"Target","18","1",39.369407736941,-74.540060354006
"Tee","18","0",39.370621837062,-74.537467453747
