"type","hole","numPoint","lat","lon"
"Pin","1","0",-33.750962775096,151.12716821272
"Target","1","1",-33.750952875095,151.12822931282
"Tee","1","0",-33.749847674985,151.13025521303
"Pin","2","0",-33.752287575229,151.12634741263
"Tee","2","0",-33.751246275125,151.12746611275
"Pin","3","0",-33.75660037566,151.12228391223
"Target","3","1",-33.75459697546,151.12392641239
"Target","3","2",-33.756015375602,151.12257641226
"Tee","3","0",-33.752990475299,151.12591001259
"Pin","4","0",-33.755228775523,151.12266191227
"Tee","4","0",-33.756511275651,151.12172051217
"Pin","5","0",-33.75239647524,151.12546721255
"Target","5","1",-33.75319927532,151.12466171247
"Tee","5","0",-33.755046075505,151.1230075123
"Pin","6","0",-33.75010417501,151.12722671272
"Target","6","1",-33.750807975081,151.12669661267
"Tee","6","0",-33.752887875289,151.12562831256
"Pin","7","0",-33.753449475345,151.12379681238
"Target","7","1",-33.751913175191,151.12539341254
"Target","7","2",-33.753033675303,151.12408301241
"Tee","7","0",-33.749907974991,151.12665071267
"Pin","8","0",-33.752494575249,151.12325501233
"Tee","8","0",-33.753864375386,151.12348001235
"Pin","9","0",-33.749816174982,151.1260468126
"Target","9","1",-33.75150097515,151.1249785125
"Target","9","2",-33.750180675018,151.12578401258
"Tee","9","0",-33.752314575231,151.12238831224
"Pin","10","0",-33.749269874927,151.12873421287
"Target","10","1",-33.749643374964,151.12755611276
"Tee","10","0",-33.749185274919,151.12529801253
"Pin","11","0",-33.749187974919,151.13290481329
"Tee","11","0",-33.748032374803,151.13151881315
"Pin","12","0",-33.749111474911,151.13046401305
"Target","12","1",-33.749315774932,151.13140631314
"Tee","12","0",-33.749773874977,151.13411981341
"Pin","13","0",-33.75009967501,151.1339803134
"Target","13","1",-33.750015975002,151.13305871331
"Tee","13","0",-33.749511074951,151.13035691304
"Pin","14","0",-33.75319927532,151.12937231294
"Target","14","1",-33.75139657514,151.13063231306
"Target","14","2",-33.752508975251,151.12988351299
"Tee","14","0",-33.750222075022,151.1329561133
"Pin","15","0",-33.75259537526,151.1289889129
"Tee","15","0",-33.753877875388,151.12877741288
"Pin","16","0",-33.754155975416,151.12584791258
"Target","16","1",-33.753120975312,151.12708001271
"Tee","16","0",-33.752067075207,151.12954151295
"Pin","17","0",-33.752059875206,151.12831031283
"Target","17","1",-33.752129175213,151.12766411277
"Tee","17","0",-33.753480975348,151.12573541257
"Pin","18","0",-33.750132975013,151.13057741306
"Target","18","1",-33.751027575103,151.12970261297
"Tee","18","0",-33.752017575202,151.12720241272
