"type","hole","numPoint","lat","lon"
"Pin","1","0",43.369869436987,-72.020063702006
"Target","1","1",43.370737037074,-72.021236402124
"Tee","1","0",43.371219437122,-72.024334202433
"Pin","2","0",43.366118236612,-72.016344001634
"Target","2","1",43.367224336722,-72.018961201896
"Target","2","2",43.366315336632,-72.016809301681
"Tee","2","0",43.369279036928,-72.020511902051
"Pin","3","0",43.365780736578,-72.012730501273
"Tee","3","0",43.365778936578,-72.015225301523
"Pin","4","0",43.362282436228,-72.007790400779
"Target","4","1",43.3639969364,-72.009531000953
"Target","4","2",43.362772936277,-72.00819540082
"Tee","4","0",43.365571936557,-72.011917801192
"Pin","5","0",43.36350373635,-72.010132201013
"Tee","5","0",43.362228436223,-72.008793000879
"Pin","6","0",43.365180436518,-72.014737501474
"Target","6","1",43.364824036482,-72.012894301289
"Tee","6","0",43.363072636307,-72.011110501111
"Pin","7","0",43.365525136553,-72.017617501762
"Target","7","1",43.365153436515,-72.017186401719
"Tee","7","0",43.36410043641,-72.014434201443
"Pin","8","0",43.36810363681,-72.020533502053
"Target","8","1",43.367247736725,-72.020232002023
"Tee","8","0",43.365778936578,-72.01809540181
"Pin","9","0",43.370388737039,-72.02439540244
"Target","9","1",43.370173637017,-72.022912202291
"Tee","9","0",43.368460036846,-72.02079630208
"Pin","10","0",43.367024536702,-72.021139202114
"Target","10","1",43.368331336833,-72.022140902214
"Tee","10","0",43.369828936983,-72.024693302469
"Pin","11","0",43.363438936344,-72.016722001672
"Target","11","1",43.365449536545,-72.018852301885
"Target","11","2",43.363879936388,-72.017207101721
"Tee","11","0",43.36660333666,-72.021592802159
"Pin","12","0",43.362450736245,-72.010152901015
"Target","12","1",43.362646936265,-72.011751301175
"Tee","12","0",43.363960036396,-72.014353201435
"Pin","13","0",43.362483136248,-72.013369501337
"Target","13","1",43.361762236176,-72.011329201133
"Tee","13","0",43.36170373617,-72.008050500805
"Pin","14","0",43.362623536262,-72.016416001642
"Tee","14","0",43.36320133632,-72.014377501438
"Pin","15","0",43.365419836542,-72.02150460215
"Target","15","1",43.364738536474,-72.019258201926
"Target","15","2",43.365542236554,-72.02089980209
"Tee","15","0",43.362914236291,-72.017419501742
"Pin","16","0",43.367766136777,-72.023585402359
"Target","16","1",43.367348536735,-72.022513502251
"Tee","16","0",43.365184036518,-72.022164302216
"Pin","17","0",43.367370136737,-72.026184602618
"Tee","17","0",43.366870636687,-72.024041702404
"Pin","18","0",43.370228537023,-72.027319502732
"Target","18","1",43.36910443691,-72.02710440271
"Tee","18","0",43.366806736681,-72.026909102691
