"type","hole","numPoint","lat","lon"
"Pin","1","0",-8.811279881128,115.22021562202
"Target","1","1",-8.8104761810476,115.22174202217
"Tee","1","0",-8.810360081036,115.22411082241
"Pin","2","0",-8.8092728809273,115.22028582203
"Target","2","1",-8.8098236809824,115.21938132194
"Tee","2","0",-8.8119188811919,115.21948122195
"Pin","3","0",-8.8092179809218,115.21686042169
"Target","3","1",-8.8093493809349,115.2180034218
"Tee","3","0",-8.8088732808873,115.22028312203
"Pin","4","0",-8.8096229809623,115.21449432145
"Tee","4","0",-8.8090289809029,115.21561302156
"Pin","5","0",-8.8114229811423,115.21184202118
"Target","5","1",-8.8104770810477,115.21243332124
"Tee","5","0",-8.809039780904,115.21425312143
"Pin","6","0",-8.8109324810932,115.21316142132
"Tee","6","0",-8.8118180811818,115.21176192118
"Pin","7","0",-8.8100711810071,115.21843452184
"Target","7","1",-8.8100405810041,115.21570662157
"Target","7","2",-8.8099829809983,115.21753632175
"Tee","7","0",-8.8103780810378,115.21331712133
"Pin","8","0",-8.8123373812337,115.21951542195
"Target","8","1",-8.8117685811769,115.21878642188
"Tee","8","0",-8.810320481032,115.21708272171
"Pin","9","0",-8.8118252811825,115.22357712236
"Target","9","1",-8.8121735812174,115.22259252226
"Tee","9","0",-8.8133840813384,115.22060982206
"Pin","10","0",-8.8033571803357,115.22529612253
"Target","10","1",-8.8039232803923,115.22522772252
"Tee","10","0",-8.805660280566,115.22655972266
"Pin","11","0",-8.7984026798403,115.22587302259
"Target","11","1",-8.8007993800799,115.22534202253
"Target","11","2",-8.7992018799202,115.22547612255
"Tee","11","0",-8.8031609803161,115.22567952257
"Pin","12","0",-8.797329879733,115.22728332273
"Tee","12","0",-8.7981245798125,115.22555082256
"Pin","13","0",-8.8018883801888,115.22756502276
"Target","13","1",-8.7997850799785,115.22751102275
"Target","13","2",-8.8015526801553,115.22750382275
"Tee","13","0",-8.7975044797504,115.22783322278
"Pin","14","0",-8.7984719798472,115.22689452269
"Target","14","1",-8.7997247799725,115.22679102268
"Tee","14","0",-8.8020665802067,115.22669652267
"Pin","15","0",-8.8012070801207,115.2259720226
"Target","15","1",-8.8001378800138,115.2259963226
"Tee","15","0",-8.7980084798008,115.22618352262
"Pin","16","0",-8.8050851805085,115.22668842267
"Target","16","1",-8.803240180324,115.22593062259
"Target","16","2",-8.8046657804666,115.22633292263
"Tee","16","0",-8.800939780094,115.22638512264
"Pin","17","0",-8.8099964809996,115.22805642281
"Tee","17","0",-8.8089893808989,115.22693772269
"Pin","18","0",-8.8110863811086,115.2250063225
"Target","18","1",-8.8104977810498,115.22582442258
"Tee","18","0",-8.8113248811325,115.22781972278
