"type","hole","numPoint","lat","lon"
"Pin","1","0",55.294255029426,-7.3678246367825
"Target","1","1",55.293636729364,-7.3695112369511
"Tee","1","0",55.292032029203,-7.3724110372411
"Pin","2","0",55.296973929697,-7.3617676361768
"Target","2","1",55.296533829653,-7.3636963363696
"Tee","2","0",55.295125329513,-7.3668049366805
"Pin","3","0",55.298412129841,-7.356419835642
"Target","3","1",55.298045829805,-7.3583719358372
"Tee","3","0",55.297324929732,-7.3622131362213
"Pin","4","0",55.30000333,-7.3622509362251
"Target","4","1",55.299078129908,-7.3599280359928
"Target","4","2",55.299835929984,-7.3617280361728
"Tee","4","0",55.29869922987,-7.3560121356012
"Pin","5","0",55.300744930075,-7.3651687365169
"Tee","5","0",55.300247230025,-7.3628566362857
"Pin","6","0",55.297969329797,-7.3618909361891
"Target","6","1",55.299122229912,-7.3618864361886
"Tee","6","0",55.300393930039,-7.3649059364906
"Pin","7","0",55.297211529721,-7.363189636319
"Tee","7","0",55.298674929867,-7.3633714363371
"Pin","8","0",55.295779629578,-7.3680226368023
"Target","8","1",55.29670482967,-7.3665970366597
"Tee","8","0",55.297135029713,-7.3627711362771
"Pin","9","0",55.293176829318,-7.3718152371815
"Target","9","1",55.293872529387,-7.3708648370865
"Tee","9","0",55.295913729591,-7.3693321369332
"Pin","10","0",55.29640242964,-7.3739185373919
"Target","10","1",55.295426829543,-7.3745629374563
"Tee","10","0",55.293292929329,-7.3743262374326
"Pin","11","0",55.299306729931,-7.3738861373886
"Target","11","1",55.29820242982,-7.3740175374018
"Tee","11","0",55.295974929597,-7.3750390375039
"Pin","12","0",55.302265930227,-7.3687849368785
"Target","12","1",55.302436030244,-7.3710232371023
"Tee","12","0",55.30079983008,-7.373869937387
"Pin","13","0",55.299010629901,-7.3631788363179
"Target","13","1",55.300608130061,-7.3662775366278
"Target","13","2",55.299386829939,-7.363740436374
"Tee","13","0",55.301746630175,-7.3697929369793
"Pin","14","0",55.299651429965,-7.366660036666
"Tee","14","0",55.29909612991,-7.3642030364203
"Pin","15","0",55.301093230109,-7.3727647372765
"Target","15","1",55.301161630116,-7.3703149370315
"Tee","15","0",55.300161730016,-7.3666708366671
"Pin","16","0",55.295941629594,-7.3762090376209
"Target","16","1",55.297178229718,-7.3758292375829
"Tee","16","0",55.299392229939,-7.3747177374718
"Pin","17","0",55.291808829181,-7.3790953379095
"Target","17","1",55.293694329369,-7.376749937675
"Target","17","2",55.292134629213,-7.3788730378873
"Tee","17","0",55.295810229581,-7.3751524375152
"Pin","18","0",55.292865429287,-7.3747708374771
"Target","18","1",55.292555829256,-7.3770919377092
"Tee","18","0",55.290947529095,-7.3799854379985
