"type","hole","numPoint","lat","lon"
"Pin","1","0",39.444058244406,-76.664389066439
"Target","1","1",39.44270194427,-76.663822066382
"Tee","1","0",39.440588744059,-76.662508966251
"Pin","2","0",39.441510344151,-76.662353266235
"Target","2","1",39.443068244307,-76.663066966307
"Tee","2","0",39.445321844532,-76.664078566408
"Pin","3","0",39.444456044446,-76.662927466293
"Target","3","1",39.443517344352,-76.662017566202
"Tee","3","0",39.441243044124,-76.661548666155
"Pin","4","0",39.445856444586,-76.662342466234
"Tee","4","0",39.444843044484,-76.66330276633
"Pin","5","0",39.446450444645,-76.657747965775
"Target","5","1",39.446552144655,-76.659472365947
"Tee","5","0",39.445518944552,-76.662136366214
"Pin","6","0",39.4430016443,-76.659531765953
"Target","6","1",39.445560344556,-76.659575865958
"Target","6","2",39.443588444359,-76.65949486595
"Tee","6","0",39.446108444611,-76.656844365684
"Pin","7","0",39.444853844485,-76.662409966241
"Target","7","1",39.44479804448,-76.661193166119
"Tee","7","0",39.442883744288,-76.659845865985
"Pin","8","0",39.442665944267,-76.660577566058
"Target","8","1",39.443460644346,-76.660818766082
"Tee","8","0",39.444938444494,-76.662892366289
"Pin","9","0",39.440779544078,-76.66129936613
"Tee","9","0",39.442417544242,-76.660937566094
"Pin","10","0",39.439083043908,-76.658373465837
"Target","10","1",39.44020264402,-76.659135765914
"Tee","10","0",39.442164644216,-76.66069636607
"Pin","11","0",39.442305944231,-76.659848565985
"Target","11","1",39.441219644122,-76.659036765904
"Tee","11","0",39.43910104391,-76.657868565787
"Pin","12","0",39.444008744401,-76.656814665681
"Target","12","1",39.443665844367,-76.658359965836
"Tee","12","0",39.441785744179,-76.658939565894
"Pin","13","0",39.442689344269,-76.657093665709
"Tee","13","0",39.444048344405,-76.656117165612
"Pin","14","0",39.438869743887,-76.653813165381
"Target","14","1",39.441123344112,-76.655476365548
"Target","14","2",39.439429543943,-76.654164165416
"Tee","14","0",39.443420144342,-76.656305265631
"Pin","15","0",39.441539144154,-76.658018865802
"Target","15","1",39.440794844079,-76.656532065653
"Tee","15","0",39.438858943886,-76.654918365492
"Pin","16","0",39.438585343859,-76.656039765604
"Target","16","1",39.439794943979,-76.656865065687
"Tee","16","0",39.44160394416,-76.658710965871
"Pin","17","0",39.438336943834,-76.657987365799
"Tee","17","0",39.437490043749,-76.656431265643
"Pin","18","0",39.440379044038,-76.661369566137
"Target","18","1",39.439710343971,-76.660926766093
"Tee","18","0",39.438529543853,-76.658368065837
