"type","hole","numPoint","lat","lon"
"Pin","1","0",55.616365961637,-1.7305534730553
"Tee","1","0",55.616536061654,-1.7279731727973
"Pin","2","0",55.615316561532,-1.7331256733126
"Tee","2","0",55.616509961651,-1.7308882730888
"Pin","3","0",55.616616161662,-1.7395174739517
"Target","3","1",55.616239061624,-1.7358994735899
"Target","3","2",55.616590061659,-1.7389684738968
"Tee","3","0",55.615141961514,-1.7323156732316
"Pin","4","0",55.614961961496,-1.7449885744989
"Target","4","1",55.61590066159,-1.7425666742567
"Target","4","2",55.615114961511,-1.7446141744614
"Tee","4","0",55.616985161699,-1.738970273897
"Pin","5","0",55.615917761592,-1.7408152740815
"Target","5","1",55.615606361561,-1.7414920741492
"Tee","5","0",55.614194261419,-1.7447122744712
"Pin","6","0",55.614433661443,-1.7401717740172
"Tee","6","0",55.616244461624,-1.7405254740525
"Pin","7","0",55.612889261289,-1.7378137737814
"Target","7","1",55.613251061325,-1.7382835738284
"Tee","7","0",55.614443561444,-1.7411590741159
"Pin","8","0",55.611880361188,-1.7387740738774
"Tee","8","0",55.612979261298,-1.7374438737444
"Pin","9","0",55.610968661097,-1.7432371743237
"Target","9","1",55.611278261128,-1.742050074205
"Tee","9","0",55.611618461162,-1.7381656738166
"Pin","10","0",55.610522261052,-1.7395336739534
"Tee","10","0",55.61040076104,-1.742320074232
"Pin","11","0",55.608139060814,-1.7404318740432
"Target","11","1",55.609076860908,-1.7405479740548
"Tee","11","0",55.61080036108,-1.7389990738999
"Pin","12","0",55.610759861076,-1.7435161743516
"Target","12","1",55.609711360971,-1.7425945742595
"Tee","12","0",55.607860060786,-1.7401717740172
"Pin","13","0",55.611380861138,-1.7367706736771
"Target","13","1",55.611141461114,-1.7386246738625
"Tee","13","0",55.610629361063,-1.7425990742599
"Pin","14","0",55.61269756127,-1.73719997372
"Tee","14","0",55.611487061149,-1.7376931737693
"Pin","15","0",55.615884461588,-1.739670473967
"Target","15","1",55.614831461483,-1.739080073908
"Tee","15","0",55.612837061284,-1.7370442737044
"Pin","16","0",55.614637961464,-1.7368426736843
"Target","16","1",55.614776561478,-1.7372215737222
"Tee","16","0",55.616190461619,-1.739659673966
"Pin","17","0",55.614775661478,-1.7331040733104
"Target","17","1",55.614780161478,-1.7335891733589
"Tee","17","0",55.614077261408,-1.736620373662
"Pin","18","0",55.616095061609,-1.7288155728816
"Target","18","1",55.615732361573,-1.7297119729712
"Tee","18","0",55.614487661449,-1.732789973279
