"type","hole","numPoint","lat","lon"
"Pin","1","0",43.185119218512,-124.39205083921
"Tee","1","0",43.18589591859,-124.3909753391
"Pin","2","0",43.184122018412,-124.39382653938
"Tee","2","0",43.18509941851,-124.39281583928
"Pin","3","0",43.183169818317,-124.39429093943
"Tee","3","0",43.183767418377,-124.39371403937
"Pin","4","0",43.182266218227,-124.39580923958
"Tee","4","0",43.182756718276,-124.39467973947
"Pin","5","0",43.182455218246,-124.39743733974
"Tee","5","0",43.181837818184,-124.39605853961
"Pin","6","0",43.183106818311,-124.3979845398
"Tee","6","0",43.181984518198,-124.39757143976
"Pin","7","0",43.182606418261,-124.3959991396
"Tee","7","0",43.1829970183,-124.39758493976
"Pin","8","0",43.18310231831,-124.39590283959
"Tee","8","0",43.182646918265,-124.39538623954
"Pin","9","0",43.183558618356,-124.39761913976
"Tee","9","0",43.183435318344,-124.39607833961
"Pin","10","0",43.183130218313,-124.39647703965
"Tee","10","0",43.183336318334,-124.39778473978
"Pin","11","0",43.183917718392,-124.39455103946
"Tee","11","0",43.183422718342,-124.3959775396
"Pin","12","0",43.184687218469,-124.39276723928
"Tee","12","0",43.183828618383,-124.39362043936
"Pin","13","0",43.186012018601,-124.39142983914
"Tee","13","0",43.185381118538,-124.39230823923
