"type","hole","numPoint","lat","lon"
"Pin","1","0",51.174585617459,-115.53252195325
"Target","1","1",51.174148217415,-115.5340276534
"Tee","1","0",51.17359561736,-115.53766095377
"Pin","2","0",51.174579317458,-115.53075705308
"Tee","2","0",51.17550271755,-115.53236895324
"Pin","3","0",51.171005417101,-115.52474865247
"Target","3","1",51.172566917257,-115.52664675266
"Target","3","2",51.171674117167,-115.5250168525
"Tee","3","0",51.173855717386,-115.52968875297
"Pin","4","0",51.169682416968,-115.52435445244
"Tee","4","0",51.17069761707,-115.52607885261
"Pin","5","0",51.172687517269,-115.52373435237
"Target","5","1",51.171735317174,-115.52282445228
"Tee","5","0",51.169440316944,-115.52310975231
"Pin","6","0",51.175929317593,-115.52283885228
"Target","6","1",51.175422617542,-115.52324115232
"Tee","6","0",51.17330311733,-115.52467305247
"Pin","7","0",51.178991117899,-115.52846385285
"Target","7","1",51.177581717758,-115.52518605252
"Target","7","2",51.178330517833,-115.52781225278
"Tee","7","0",51.176283017628,-115.52207475221
"Pin","8","0",51.178957817896,-115.53069765307
"Tee","8","0",51.179494217949,-115.52893005289
"Pin","9","0",51.176084117608,-115.53620385362
"Target","9","1",51.176886917689,-115.53364245336
"Target","9","2",51.176238017624,-115.5349978535
"Tee","9","0",51.178694117869,-115.53136545314
"Pin","10","0",51.175154417515,-115.54006395401
"Tee","10","0",51.175675517568,-115.53725865373
"Pin","11","0",51.172418417242,-115.54473675447
"Target","11","1",51.173371517337,-115.54376925438
"Tee","11","0",51.175212917521,-115.54156605416
"Pin","12","0",51.169051516905,-115.54786965479
"Target","12","1",51.170149517015,-115.54668165467
"Tee","12","0",51.172307717231,-115.54540185454
"Pin","13","0",51.166511716651,-115.55152815515
"Tee","13","0",51.167870716787,-115.54951305495
"Pin","14","0",51.165677416568,-115.55677425568
"Target","14","1",51.166024816602,-115.55473035547
"Tee","14","0",51.167121016712,-115.55150115515
"Pin","15","0",51.164557816456,-115.55372145537
"Target","15","1",51.163882816388,-115.55589855559
"Tee","15","0",51.163406716341,-115.55962545596
"Pin","16","0",51.167463916746,-115.54831425483
"Target","16","1",51.166553116655,-115.54940505494
"Tee","16","0",51.165456016546,-115.55263245526
"Pin","17","0",51.170352917035,-115.54462335446
"Target","17","1",51.169827316983,-115.54535595454
"Tee","17","0",51.168389116839,-115.54822335482
"Pin","18","0",51.173368817337,-115.5389776539
"Target","18","1",51.172886417289,-115.54249305425
"Target","18","2",51.173448017345,-115.53968145397
"Tee","18","0",51.17090281709,-115.54422645442
