"type","hole","numPoint","lat","lon"
"Pin","1","0",55.78959887896,12.945740794574
"Target","1","1",55.790734679073,12.945025294503
"Tee","1","0",55.792182779218,12.941841094184
"Pin","2","0",55.790313479031,12.951856295186
"Target","2","1",55.789924678992,12.950292095029
"Tee","2","0",55.789510678951,12.946486894649
"Pin","3","0",55.792945979295,12.957435395744
"Target","3","1",55.791426779143,12.956433695643
"Tee","3","0",55.789993978999,12.953514095351
"Pin","4","0",55.794508379451,12.956984495698
"Tee","4","0",55.793144879314,12.95810049581
"Pin","5","0",55.790346779035,12.952778795278
"Target","5","1",55.792188179219,12.954719195472
"Target","5","2",55.790718479072,12.953407895341
"Tee","5","0",55.794357179436,12.956094395609
"Pin","6","0",55.789224478922,12.947237494724
"Target","6","1",55.789138978914,12.949466794947
"Tee","6","0",55.79010197901,12.953106395311
"Pin","7","0",55.789924678992,12.941234494123
"Target","7","1",55.789647478965,12.943553794355
"Tee","7","0",55.788645778865,12.946577794658
"Pin","8","0",55.789257778926,12.939051093905
"Tee","8","0",55.790162279016,12.940966294097
"Pin","9","0",55.792327679233,12.936213393621
"Target","9","1",55.78989677899,12.935506893551
"Target","9","2",55.791705779171,12.935409693541
"Tee","9","0",55.788054478805,12.937962093796
"Pin","10","0",55.795256279526,12.935419593542
"Target","10","1",55.793906279391,12.936467193647
"Tee","10","0",55.79170397917,12.936959493696
"Pin","11","0",55.798238879824,12.936685893669
"Target","11","1",55.79709947971,12.935268393527
"Tee","11","0",55.794888179489,12.934910193491
"Pin","12","0",55.795412879541,12.945960394596
"Target","12","1",55.79619947962,12.942779794278
"Target","12","2",55.795249079525,12.944892994489
"Tee","12","0",55.797571979757,12.939491193949
"Pin","13","0",55.796679179668,12.953267495327
"Target","13","1",55.796683679668,12.951066095107
"Tee","13","0",55.796140079614,12.947312194731
"Pin","14","0",55.800361080036,12.95519799552
"Target","14","1",55.799182979918,12.954672395467
"Tee","14","0",55.796905979691,12.954072095407
"Pin","15","0",55.798838279884,12.951968795197
"Tee","15","0",55.799981279998,12.954248495425
"Pin","16","0",55.796414579641,12.946507594651
"Target","16","1",55.797791579779,12.949693594969
"Target","16","2",55.796848379685,12.947476894748
"Tee","16","0",55.79870327987,12.953454695345
"Pin","17","0",55.798132679813,12.939850293985
"Target","17","1",55.797391979739,12.942094894209
"Tee","17","0",55.796182379618,12.945579694558
"Pin","18","0",55.793594879359,12.941058094106
"Target","18","1",55.794826979483,12.941970694197
"Tee","18","0",55.796716079672,12.939893493989
