"type","hole","numPoint","lat","lon"
"Pin","1","0",36.635094963509,-121.82024208202
"Target","1","1",36.632966463297,-121.82082888208
"Target","1","2",36.634720563472,-121.82055618206
"Tee","1","0",36.630734463073,-121.82153178215
"Pin","2","0",36.633186063319,-121.82449818245
"Target","2","1",36.633990663399,-121.82321118232
"Tee","2","0",36.635671863567,-121.82125008213
"Pin","3","0",36.631353663135,-121.82216808222
"Target","3","1",36.631938663194,-121.82334348233
"Tee","3","0",36.633144663314,-121.82515788252
"Pin","4","0",36.62990106299,-121.82490858249
"Tee","4","0",36.630171963017,-121.82284848228
"Pin","5","0",36.630981963098,-121.8280495828
"Target","5","1",36.630621063062,-121.82741688274
"Tee","5","0",36.62939526294,-121.82511018251
"Pin","6","0",36.632742363274,-121.82547738255
"Tee","6","0",36.631721763172,-121.82736828274
"Pin","7","0",36.635815863582,-121.82332368233
"Target","7","1",36.635037363504,-121.8239905824
"Tee","7","0",36.633112263311,-121.82556558256
"Pin","8","0",36.632029563203,-121.82812248281
"Target","8","1",36.63430296343,-121.82638908264
"Target","8","2",36.632807163281,-121.82765718277
"Tee","8","0",36.636072363607,-121.82439648244
"Pin","9","0",36.630742563074,-121.82277108228
"Target","9","1",36.631724463172,-121.82423268242
"Tee","9","0",36.631631763163,-121.82715138272
"Pin","10","0",36.634709763471,-121.81959048196
"Target","10","1",36.632839563284,-121.820035082
"Target","10","2",36.634488363449,-121.81939248194
"Tee","10","0",36.630632763063,-121.82085318209
"Pin","11","0",36.636773463677,-121.81683558168
"Target","11","1",36.63590046359,-121.81713258171
"Tee","11","0",36.635079663508,-121.81975878198
"Pin","12","0",36.63450096345,-121.81388268139
"Target","12","1",36.635005863501,-121.81539558154
"Tee","12","0",36.636963363696,-121.81646838165
"Pin","13","0",36.633744963374,-121.81784088178
"Target","13","1",36.633644163364,-121.81580418158
"Tee","13","0",36.633540663354,-121.81293858129
"Pin","14","0",36.632974563297,-121.81646838165
"Tee","14","0",36.633246363325,-121.81840428184
"Pin","15","0",36.631713663171,-121.81922238192
"Target","15","1",36.632053863205,-121.81841418184
"Tee","15","0",36.632425563243,-121.81558278156
"Pin","16","0",36.630811863081,-121.81566558157
"Target","16","1",36.631214163121,-121.81668798167
"Tee","16","0",36.631405863141,-121.81954728195
"Pin","17","0",36.628065062806,-121.81709028171
"Tee","17","0",36.62980386298,-121.81630728163
"Pin","18","0",36.630182763018,-121.82210328221
"Target","18","1",36.628590662859,-121.82070468207
"Target","18","2",36.629683262968,-121.8220240822
"Tee","18","0",36.627517862752,-121.81816578182
