"type","hole","numPoint","lat","lon"
"Pin","1","0",40.662178666218,-74.098567109857
"Target","1","1",40.662408166241,-74.097833609783
"Tee","1","0",40.662319066232,-74.095071509507
"Pin","2","0",40.664782366478,-74.097539309754
"Target","2","1",40.663963366396,-74.097045209705
"Tee","2","0",40.662256066226,-74.098915409892
"Pin","3","0",40.663718566372,-74.097920009792
"Tee","3","0",40.665179266518,-74.098411409841
"Pin","4","0",40.666843366684,-74.10209961021
"Target","4","1",40.665275566528,-74.100169110017
"Target","4","2",40.666384366638,-74.101541610154
"Tee","4","0",40.663482766348,-74.098263809826
"Pin","5","0",40.666279966628,-74.10079551008
"Tee","5","0",40.667270866727,-74.101664910167
"Pin","6","0",40.667661466766,-74.10119511012
"Target","6","1",40.667089066709,-74.100945810095
"Tee","6","0",40.665234166523,-74.099437409944
"Pin","7","0",40.664357566436,-74.098553609855
"Target","7","1",40.665613966561,-74.099137709914
"Tee","7","0",40.667449966745,-74.100685710069
"Pin","8","0",40.664241466424,-74.094079709408
"Target","8","1",40.663486366349,-74.09660420966
"Target","8","2",40.663492666349,-74.094545009454
"Tee","8","0",40.662440566244,-74.099248409925
"Pin","9","0",40.662774466277,-74.096485409649
"Target","9","1",40.662771766277,-74.095087709509
"Tee","9","0",40.664430466443,-74.093580209358
"Pin","10","0",40.65879916588,-74.095868909587
"Target","10","1",40.660039366004,-74.094838409484
"Tee","10","0",40.662046366205,-74.096327009633
"Pin","11","0",40.659585765959,-74.093427209343
"Tee","11","0",40.658650665865,-74.095621409562
"Pin","12","0",40.658570565857,-74.090440109044
"Target","12","1",40.659439965944,-74.091666809167
"Tee","12","0",40.660587466059,-74.094361409436
"Pin","13","0",40.66160266616,-74.09509850951
"Target","13","1",40.660342666034,-74.092739609274
"Target","13","2",40.661334466133,-74.094734909473
"Tee","13","0",40.65890446589,-74.090440109044
"Pin","14","0",40.664031766403,-74.092993409299
"Tee","14","0",40.66239646624,-74.094025709403
"Pin","15","0",40.662145366215,-74.093806109381
"Target","15","1",40.662580066258,-74.093106809311
"Tee","15","0",40.664190166419,-74.09179910918
"Pin","16","0",40.664567266457,-74.089975708998
"Target","16","1",40.663769866377,-74.091737009174
"Tee","16","0",40.661706166171,-74.09320220932
"Pin","17","0",40.660884466088,-74.091541709154
"Target","17","1",40.66239826624,-74.091846809185
"Tee","17","0",40.664286466429,-74.089838908984
"Pin","18","0",40.661809666181,-74.094318209432
"Target","18","1",40.661217466122,-74.092673909267
"Tee","18","0",40.659443565944,-74.090654309065
