"type","hole","numPoint","lat","lon"
"Pin","1","0",39.87670268767,116.51688715169
"Target","1","1",39.874614687461,116.51709415171
"Target","1","2",39.876350787635,116.51752705175
"Tee","1","0",39.872394387239,116.51705635171
"Pin","2","0",39.876491187649,116.52154825215
"Target","2","1",39.876864687686,116.51989585199
"Tee","2","0",39.877365987737,116.5169672517
"Pin","3","0",39.876171687617,116.52273445227
"Tee","3","0",39.87740468774,116.52134485213
"Pin","4","0",39.876412887641,116.51892025189
"Target","4","1",39.87609878761,116.52038635204
"Tee","4","0",39.875463387546,116.52327085233
"Pin","5","0",39.874969287497,116.52307195231
"Target","5","1",39.87510158751,116.52205225221
"Tee","5","0",39.875760387576,116.51917765192
"Pin","6","0",39.874405887441,116.5210091521
"Tee","6","0",39.874267287427,116.52292435229
"Pin","7","0",39.871272987127,116.52015415202
"Target","7","1",39.872444787244,116.51965465197
"Tee","7","0",39.874730787473,116.520009252
"Pin","8","0",39.875263587526,116.51912095191
"Target","8","1",39.874061187406,116.51894725189
"Tee","8","0",39.871766187177,116.51870245187
"Pin","9","0",39.871929087193,116.51765125177
"Target","9","1",39.874291587429,116.51811925181
"Target","9","2",39.872361087236,116.5180076518
"Tee","9","0",39.876585687659,116.51837575184
"Pin","10","0",39.876080787608,116.51547055155
"Target","10","1",39.874653387465,116.51524825152
"Tee","10","0",39.872437587244,116.51505475151
"Pin","11","0",39.874852287485,116.51322325132
"Target","11","1",39.875128587513,116.5139531514
"Tee","11","0",39.877050987705,116.51529145153
"Pin","12","0",39.877275087727,116.51419705142
"Tee","12","0",39.875805387581,116.51322865132
"Pin","13","0",39.880860688086,116.51912095191
"Target","13","1",39.879654687965,116.51640475164
"Target","13","2",39.880785988079,116.51810485181
"Tee","13","0",39.878839287884,116.51359855136
"Pin","14","0",39.878714187871,116.51516185152
"Target","14","1",39.879182187918,116.51707165171
"Tee","14","0",39.880380988038,116.51963395196
"Pin","15","0",39.87909668791,116.5189706519
"Target","15","1",39.878655687866,116.51762605176
"Tee","15","0",39.878087787809,116.51477305148
"Pin","16","0",39.878824887882,116.52077065208
"Tee","16","0",39.879549387955,116.51926585193
"Pin","17","0",39.877892487789,116.51722195172
"Target","17","1",39.878116587812,116.51925235193
"Tee","17","0",39.877958187796,116.52229975223
"Pin","18","0",39.872627487263,116.51567485157
"Target","18","1",39.874937787494,116.51615275162
"Target","18","2",39.873252087325,116.51614375161
"Tee","18","0",39.877235487724,116.51633455163
