"type","hole","numPoint","lat","lon"
"Pin","1","0",52.943347694335,-0.63890466389047
"Target","1","1",52.943529494353,-0.63589146358915
"Target","1","2",52.943259494326,-0.6385149638515
"Tee","1","0",52.943679794368,-0.63207906320791
"Pin","2","0",52.942082294208,-0.6411069641107
"Tee","2","0",52.942993994299,-0.63940686394069
"Pin","3","0",52.938353593835,-0.64390686439069
"Target","3","1",52.939642393964,-0.64399866439987
"Tee","3","0",52.94169979417,-0.64228146422815
"Pin","4","0",52.938233893823,-0.63863106386311
"Target","4","1",52.938264493826,-0.64023936402394
"Tee","4","0",52.938071893807,-0.64404636440464
"Pin","5","0",52.938965593897,-0.64013856401386
"Tee","5","0",52.938540793854,-0.63773286377329
"Pin","6","0",52.942041794204,-0.63886506388651
"Target","6","1",52.940928494093,-0.63944646394465
"Tee","6","0",52.938774793877,-0.64079826407983
"Pin","7","0",52.938723493872,-0.64233276423328
"Target","7","1",52.939644193964,-0.6414849641485
"Tee","7","0",52.941678194168,-0.63969576396958
"Pin","8","0",52.941665594167,-0.64127346412735
"Target","8","1",52.941122894112,-0.64157046415705
"Tee","8","0",52.93909879391,-0.64271346427135
"Pin","9","0",52.943326994333,-0.63205476320548
"Target","9","1",52.942870694287,-0.63642786364279
"Target","9","2",52.943232494323,-0.63320766332077
"Tee","9","0",52.942119194212,-0.64003956400396
"Pin","10","0",52.941938294194,-0.63791556379156
"Target","10","1",52.942127294213,-0.63646656364666
"Tee","10","0",52.942809494281,-0.63324816332482
"Pin","11","0",52.939979893998,-0.63901716390172
"Tee","11","0",52.941438794144,-0.63825846382585
"Pin","12","0",52.942289294229,-0.63379536337954
"Target","12","1",52.941224594122,-0.63647016364702
"Target","12","2",52.941890594189,-0.63508236350824
"Tee","12","0",52.939426393943,-0.6388569638857
"Pin","13","0",52.938459793846,-0.63321306332131
"Target","13","1",52.939611793961,-0.63325446332545
"Tee","13","0",52.941909494191,-0.63300426330043
"Pin","14","0",52.941868994187,-0.63367746336775
"Target","14","1",52.940818694082,-0.63416616341662
"Tee","14","0",52.938518293852,-0.6339879633988
"Pin","15","0",52.939529893953,-0.63706236370624
"Target","15","1",52.940019494002,-0.63649176364918
"Tee","15","0",52.94159719416,-0.63430476343048
"Pin","16","0",52.93739509374,-0.63240846324085
"Target","16","1",52.937963893796,-0.63386016338602
"Tee","16","0",52.938934093893,-0.63732516373252
"Pin","17","0",52.939528093953,-0.63186936318694
"Tee","17","0",52.937768593777,-0.63218076321808
"Pin","18","0",52.943519594352,-0.62966706296671
"Target","18","1",52.941715994172,-0.63101346310135
"Target","18","2",52.942783394278,-0.63029706302971
"Tee","18","0",52.939773793977,-0.63159846315985
