"type","hole","numPoint","lat","lon"
"Pin","1","0",27.287863228786,-82.416228441623
"Target","1","1",27.28860392886,-82.417456941746
"Tee","1","0",27.290114129011,-82.419473841947
"Pin","2","0",27.291825029183,-82.413178341318
"Target","2","1",27.290113229011,-82.414175541418
"Target","2","2",27.291573029157,-82.413323241332
"Tee","2","0",27.288071128807,-82.415372541537
"Pin","3","0",27.292056329206,-82.411926441193
"Tee","3","0",27.292644929264,-82.413425841343
"Pin","4","0",27.288259228826,-82.413390741339
"Target","4","1",27.289077328908,-82.412929041293
"Tee","4","0",27.291012329101,-82.41170324117
"Pin","5","0",27.290772029077,-82.412392641239
"Target","5","1",27.290068229007,-82.412775141278
"Tee","5","0",27.287978428798,-82.413862341386
"Pin","6","0",27.287930728793,-82.414656141466
"Target","6","1",27.289279828928,-82.413966741397
"Tee","6","0",27.291384029138,-82.41270404127
"Pin","7","0",27.285737428574,-82.417024941703
"Target","7","1",27.285936328594,-82.415889141589
"Tee","7","0",27.287763328776,-82.415563341556
"Pin","8","0",27.286807528681,-82.416523641652
"Tee","8","0",27.285932728593,-82.417405641741
"Pin","9","0",27.289186228919,-82.419288441929
"Target","9","1",27.287272828727,-82.418266041827
"Target","9","2",27.288817228882,-82.418751141875
"Tee","9","0",27.287334028733,-82.416185241619
"Pin","10","0",27.29540342954,-82.41939644194
"Target","10","1",27.293223629322,-82.419966141997
"Target","10","2",27.295088429509,-82.419613341961
"Tee","10","0",27.290886329089,-82.42049804205
"Pin","11","0",27.29279972928,-82.420849942085
"Target","11","1",27.293713229371,-82.420625842063
"Tee","11","0",27.295782329578,-82.419854541985
"Pin","12","0",27.295393529539,-82.421008342101
"Target","12","1",27.294821129482,-82.421343142134
"Tee","12","0",27.292559429256,-82.421340442134
"Pin","13","0",27.298055729806,-82.418433441843
"Target","13","1",27.296984729698,-82.418609841861
"Tee","13","0",27.295854329585,-82.420921042092
"Pin","14","0",27.296468129647,-82.418054541806
"Tee","14","0",27.298223129822,-82.417794441779
"Pin","15","0",27.29220212922,-82.417142841714
"Target","15","1",27.293159729316,-82.417316541732
"Tee","15","0",27.295455629546,-82.417512741751
"Pin","16","0",27.291220229122,-82.418036541804
"Tee","16","0",27.291717929172,-82.416753141675
"Pin","17","0",27.295057829506,-82.417987941799
"Target","17","1",27.294256829426,-82.417972641797
"Tee","17","0",27.291970829197,-82.417665741767
"Pin","18","0",27.291048329105,-82.419913941991
"Target","18","1",27.292651229265,-82.419181341918
"Target","18","2",27.291311129131,-82.419770841977
"Tee","18","0",27.294985829499,-82.418950941895
