"type","hole","numPoint","lat","lon"
"Pin","1","0",40.744562874456,-73.451489545149
"Target","1","1",40.744224474422,-73.452442645244
"Tee","1","0",40.742481174248,-73.453980745398
"Pin","2","0",40.741548774155,-73.453917745392
"Target","2","1",40.74210317421,-73.452819745282
"Tee","2","0",40.744194774419,-73.451548045155
"Pin","3","0",40.739815373982,-73.452267145227
"Tee","3","0",40.741028574103,-73.452210445221
"Pin","4","0",40.742743074274,-73.450519345052
"Target","4","1",40.74189707419,-73.450630945063
"Tee","4","0",40.739969273997,-73.451854045185
"Pin","5","0",40.741723374172,-73.447029144703
"Target","5","1",40.741789074179,-73.448342244834
"Tee","5","0",40.74339557434,-73.450365445037
"Pin","6","0",40.740961074096,-73.448855244886
"Tee","6","0",40.741385874139,-73.446884244688
"Pin","7","0",40.741788174179,-73.443771144377
"Target","7","1",40.740880074088,-73.445733144573
"Target","7","2",40.741341774134,-73.444049244405
"Tee","7","0",40.740429174043,-73.448713044871
"Pin","8","0",40.741158174116,-73.439821943982
"Target","8","1",40.740952074095,-73.44070034407
"Tee","8","0",40.741467774147,-73.443383244338
"Pin","9","0",40.745127174513,-73.437920243792
"Target","9","1",40.742945574295,-73.437631343763
"Target","9","2",40.744668174467,-73.437467543747
"Tee","9","0",40.740957474096,-73.439164043916
"Pin","10","0",40.742353374235,-73.439349443935
"Target","10","1",40.742986974299,-73.439129843913
"Tee","10","0",40.745094774509,-73.438657343866
"Pin","11","0",40.741591074159,-73.441458144146
"Tee","11","0",40.741910574191,-73.439658143966
"Pin","12","0",40.743677274368,-73.44090104409
"Target","12","1",40.743082374308,-73.441669644167
"Tee","12","0",40.741538874154,-73.441989144199
"Pin","13","0",40.741676574168,-73.444708944471
"Target","13","1",40.743437874344,-73.442579544258
"Target","13","2",40.742060874206,-73.444290444429
"Tee","13","0",40.744351374435,-73.439789543979
"Pin","14","0",40.744920174492,-73.44440024444
"Target","14","1",40.744157874416,-73.444476744448
"Tee","14","0",40.741952874195,-73.444821444482
"Pin","15","0",40.744471074447,-73.445687244569
"Tee","15","0",40.745779674578,-73.444213944421
"Pin","16","0",40.741746774175,-73.445456844546
"Target","16","1",40.742415474242,-73.445369544537
"Tee","16","0",40.744658274466,-73.444987944499
"Pin","17","0",40.744035474404,-73.450012645001
"Target","17","1",40.743175974318,-73.449055944906
"Tee","17","0",40.742073474207,-73.446387444639
"Pin","18","0",40.741067274107,-73.451823445182
"Target","18","1",40.741826874183,-73.451484145148
"Tee","18","0",40.744041774404,-73.450655245066
