"type","hole","numPoint","lat","lon"
"Pin","1","0",33.681090368109,-116.41622664162
"Target","1","1",33.68090406809,-116.41487664149
"Tee","1","0",33.679912267991,-116.41238004124
"Pin","2","0",33.68419536842,-116.4160466416
"Tee","2","0",33.682744568274,-116.4169664417
"Pin","3","0",33.684061268406,-116.41040364104
"Target","3","1",33.684111668411,-116.41282914128
"Target","3","2",33.684112568411,-116.41119924112
"Tee","3","0",33.683768768377,-116.41566594157
"Pin","4","0",33.681059768106,-116.41164474116
"Target","4","1",33.682030868203,-116.41119654112
"Tee","4","0",33.683922668392,-116.40989604099
"Pin","5","0",33.674371867437,-116.41074654107
"Target","5","1",33.675537367554,-116.41089144109
"Tee","5","0",33.677880967788,-116.41086984109
"Pin","6","0",33.677215867722,-116.40857664086
"Target","6","1",33.675487867549,-116.4089600409
"Target","6","2",33.676565167657,-116.40847134085
"Tee","6","0",33.673231567323,-116.40950994095
"Pin","7","0",33.682857968286,-116.40592974059
"Target","7","1",33.681760868176,-116.40650844065
"Tee","7","0",33.67940106794,-116.40691884069
"Pin","8","0",33.684527468453,-116.40779634078
"Tee","8","0",33.684420368442,-116.40614664061
"Pin","9","0",33.679832167983,-116.40886644089
"Target","9","1",33.680987768099,-116.40864774086
"Tee","9","0",33.683219768322,-116.40778824078
"Pin","10","0",33.674347567435,-116.41263474126
"Target","10","1",33.676145767615,-116.41276974128
"Target","10","2",33.674723767472,-116.41250694125
"Tee","10","0",33.678360667836,-116.4120128412
"Pin","11","0",33.677448067745,-116.41555344156
"Target","11","1",33.677160067716,-116.41443564144
"Tee","11","0",33.675144067514,-116.41357884136
"Pin","12","0",33.679041967904,-116.42129544213
"Target","12","1",33.679087867909,-116.41922904192
"Target","12","2",33.679348867935,-116.42082924208
"Tee","12","0",33.678193267819,-116.41662624166
"Pin","13","0",33.681445868145,-116.41984464198
"Tee","13","0",33.680345168035,-116.42118294212
"Pin","14","0",33.682992068299,-116.42293974229
"Target","14","1",33.683111768311,-116.42247354225
"Tee","14","0",33.682311668231,-116.42035944204
"Pin","15","0",33.684450068445,-116.41890054189
"Target","15","1",33.684217868422,-116.42089404209
"Tee","15","0",33.684578768458,-116.42377674238
"Pin","16","0",33.68209746821,-116.41816524182
"Target","16","1",33.683156768316,-116.41808514181
"Tee","16","0",33.684806468481,-116.41687554169
"Pin","17","0",33.679131067913,-116.41743354174
"Tee","17","0",33.679887967989,-116.41922814192
"Pin","18","0",33.678852067885,-116.41307754131
"Target","18","1",33.678933967893,-116.41467864147
"Tee","18","0",33.679883467988,-116.41730754173
