"type","hole","numPoint","lat","lon"
"Pin","1","0",28.911432791143,-82.489216648922
"Target","1","1",28.910331191033,-82.488988948899
"Tee","1","0",28.908091090809,-82.48960004896
"Pin","2","0",28.914639491464,-82.492191149219
"Target","2","1",28.913724191372,-82.491556649156
"Tee","2","0",28.911709091171,-82.490491049049
"Pin","3","0",28.91779759178,-82.486477948648
"Target","3","1",28.917354791735,-82.488033148803
"Tee","3","0",28.916329691633,-82.490388449039
"Pin","4","0",28.919837891984,-82.4860036486
"Tee","4","0",28.918477991848,-82.4860009486
"Pin","5","0",28.92040129204,-82.49129834913
"Target","5","1",28.919515691952,-82.488859348886
"Target","5","2",28.919884691988,-82.490594549059
"Tee","5","0",28.920351792035,-82.486408648641
"Pin","6","0",28.917835391784,-82.494149549415
"Target","6","1",28.919224991923,-82.493916449392
"Tee","6","0",28.921363392136,-82.492942649294
"Pin","7","0",28.915285691529,-82.49360234936
"Target","7","1",28.916075891608,-82.493645549365
"Tee","7","0",28.917712991771,-82.494905549491
"Pin","8","0",28.912787291279,-82.492462049246
"Tee","8","0",28.914580991458,-82.492642049264
"Pin","9","0",28.908128890813,-82.490466749047
"Target","9","1",28.910325791033,-82.489887148989
"Target","9","2",28.90880479088,-82.49060174906
"Tee","9","0",28.911882791188,-82.491561149156
"Pin","10","0",28.911063791106,-82.486593148659
"Target","10","1",28.910336591034,-82.488082648808
"Tee","10","0",28.908309790831,-82.489329148933
"Pin","11","0",28.913289491329,-82.488242848824
"Target","11","1",28.912546991255,-82.487679448768
"Tee","11","0",28.911444491144,-82.485370048537
"Pin","12","0",28.914481991448,-82.484839048484
"Target","12","1",28.915169591517,-82.486018948602
"Tee","12","0",28.914848291485,-82.488623548862
"Pin","13","0",28.913774591377,-82.482476548248
"Tee","13","0",28.913929391393,-82.484140648414
"Pin","14","0",28.910450891045,-82.477841547784
"Target","14","1",28.909451890945,-82.479573147957
"Target","14","2",28.90989559099,-82.478107947811
"Tee","14","0",28.911070991107,-82.481239948124
"Pin","15","0",28.913010491301,-82.479123147912
"Target","15","1",28.912539791254,-82.478491347849
"Tee","15","0",28.910488691049,-82.47729704773
"Pin","16","0",28.912188791219,-82.481245348125
"Target","16","1",28.913341691334,-82.480565848057
"Tee","16","0",28.913968091397,-82.478034147803
"Pin","17","0",28.912216691222,-82.48350074835
"Tee","17","0",28.913420891342,-82.481977048198
"Pin","18","0",28.90829989083,-82.48830494883
"Target","18","1",28.909911790991,-82.487327548733
"Target","18","2",28.908813790881,-82.488238348824
"Tee","18","0",28.910671391067,-82.484844448484
