"type","hole","numPoint","lat","lon"
"Pin","1","0",43.722493972249,-87.782735478274
"Target","1","1",43.72319777232,-87.78189847819
"Tee","1","0",43.725207472521,-87.780343278034
"Pin","2","0",43.718812971881,-87.78230167823
"Target","2","1",43.71980207198,-87.782437578244
"Tee","2","0",43.72209707221,-87.782170278217
"Pin","3","0",43.720472572047,-87.783328578333
"Tee","3","0",43.719083871908,-87.783009078301
"Pin","4","0",43.718692371869,-87.788566578857
"Target","4","1",43.719075771908,-87.78550207855
"Target","4","2",43.71859607186,-87.788092278809
"Tee","4","0",43.720960372096,-87.783671478367
"Pin","5","0",43.721441872144,-87.784218678422
"Target","5","1",43.720867672087,-87.785390478539
"Tee","5","0",43.719421371942,-87.787869978787
"Pin","6","0",43.722178072218,-87.788563878856
"Target","6","1",43.722117772212,-87.786357978636
"Tee","6","0",43.721672272167,-87.783232278323
"Pin","7","0",43.723680172368,-87.782923578292
"Target","7","1",43.723033072303,-87.785736978574
"Target","7","2",43.723460572346,-87.783776778378
"Tee","7","0",43.722930472293,-87.788749278875
"Pin","8","0",43.724192272419,-87.784838778484
"Tee","8","0",43.724056372406,-87.782132478213
"Pin","9","0",43.724777272478,-87.781856178186
"Target","9","1",43.725076072508,-87.784048578405
"Tee","9","0",43.724271472427,-87.787094178709
"Pin","10","0",43.724620672462,-87.777470477747
"Target","10","1",43.72540457254,-87.778550477855
"Tee","10","0",43.725587272559,-87.781383678138
"Pin","11","0",43.720351972035,-87.779369477937
"Target","11","1",43.722332872233,-87.779534177953
"Target","11","2",43.720817272082,-87.779347877935
"Tee","11","0",43.724463172446,-87.778326377833
"Pin","12","0",43.718471871847,-87.775035077503
"Target","12","1",43.718643771864,-87.777068177707
"Tee","12","0",43.719927171993,-87.779713277971
"Pin","13","0",43.720111672011,-87.771953477195
"Target","13","1",43.719449271945,-87.772512377251
"Tee","13","0",43.718876871888,-87.775244777524
"Pin","14","0",43.720414072041,-87.77610247761
"Target","14","1",43.719744471974,-87.774409577441
"Tee","14","0",43.720576972058,-87.771746477175
"Pin","15","0",43.719415971942,-87.776354477635
"Tee","15","0",43.721222272122,-87.776764877676
"Pin","16","0",43.723707172371,-87.777848477785
"Target","16","1",43.721177272118,-87.778262477826
"Target","16","2",43.722862072286,-87.778179677818
"Tee","16","0",43.71910367191,-87.776878277688
"Pin","17","0",43.722637072264,-87.777127577713
"Tee","17","0",43.724137372414,-87.777320177732
"Pin","18","0",43.725864472586,-87.775239377524
"Target","18","1",43.72470437247,-87.776018777602
"Tee","18","0",43.722741472274,-87.776643377664
