"type","hole","numPoint","lat","lon"
"Pin","1","0",52.500426150043,-4.0521046052105
"Target","1","1",52.499565749957,-4.0518850051885
"Tee","1","0",52.497310349731,-4.0516132051613
"Pin","2","0",52.504280850428,-4.0532332053233
"Target","2","1",52.50289575029,-4.0530631053063
"Tee","2","0",52.500562050056,-4.0527049052705
"Pin","3","0",52.507257150726,-4.0543276054328
"Target","3","1",52.50649935065,-4.0539946053995
"Tee","3","0",52.504376250438,-4.0535851053585
"Pin","4","0",52.511017351102,-4.0539820053982
"Target","4","1",52.509111150911,-4.054240305424
"Target","4","2",52.510751851075,-4.0540378054038
"Tee","4","0",52.50690345069,-4.0531693053169
"Pin","5","0",52.513543651354,-4.0536841053684
"Target","5","1",52.51290195129,-4.0535338053534
"Tee","5","0",52.510764451076,-4.0535230053523
"Pin","6","0",52.515914251591,-4.0542340054234
"Target","6","1",52.515350851535,-4.0541242054124
"Tee","6","0",52.513214251321,-4.0531342053134
"Pin","7","0",52.517884351788,-4.0539739053974
"Tee","7","0",52.516320151632,-4.0544329054433
"Pin","8","0",52.52239965224,-4.0533358053336
"Target","8","1",52.520570852057,-4.0543141054314
"Target","8","2",52.522149452215,-4.0535554053555
"Tee","8","0",52.518305551831,-4.0536409053641
"Pin","9","0",52.520952452095,-4.0548829054883
"Tee","9","0",52.522277252228,-4.0540567054057
"Pin","10","0",52.517361451736,-4.055459805546
"Target","10","1",52.51839735184,-4.0552060055206
"Tee","10","0",52.52069595207,-4.0549981054998
"Pin","11","0",52.516285951629,-4.0550521055052
"Tee","11","0",52.517464951747,-4.0562032056203
"Pin","12","0",52.513778551378,-4.0541026054103
"Target","12","1",52.514266351427,-4.0545670054567
"Tee","12","0",52.516253551625,-4.0556659055666
"Pin","13","0",52.509750150975,-4.0548829054883
"Target","13","1",52.511355751136,-4.0545544054554
"Target","13","2",52.510007551001,-4.0548127054813
"Tee","13","0",52.513656151366,-4.0546876054688
"Pin","14","0",52.507879050788,-4.054540005454
"Tee","14","0",52.509508950951,-4.0548244054824
"Pin","15","0",52.505174550517,-4.0532440053244
"Target","15","1",52.505689350569,-4.0533124053312
"Tee","15","0",52.50769815077,-4.0540306054031
"Pin","16","0",52.503982050398,-4.0523350052335
"Tee","16","0",52.505458050546,-4.0524691052469
"Pin","17","0",52.500762750076,-4.0520857052086
"Target","17","1",52.501377450138,-4.0520407052041
"Tee","17","0",52.503577050358,-4.0525285052528
"Pin","18","0",52.497225749723,-4.0511308051131
"Target","18","1",52.498459649846,-4.0510138051014
"Tee","18","0",52.500390150039,-4.050889605089
