"type","hole","numPoint","lat","lon"
"Pin","1","0",51.291780929178,0.93734109373411
"Target","1","1",51.292275029228,0.93755439375544
"Tee","1","0",51.294313529431,0.93798189379819
"Pin","2","0",51.292188629219,0.94386159438616
"Target","2","1",51.292175129218,0.94194279419428
"Tee","2","0",51.292138229214,0.93826089382609
"Pin","3","0",51.291071729107,0.94007439400744
"Tee","3","0",51.291058229106,0.94303269430327
"Pin","4","0",51.286762528676,0.9445959944596
"Target","4","1",51.28910162891,0.94471569447157
"Target","4","2",51.287357428736,0.94517919451792
"Tee","4","0",51.289836928984,0.94108779410878
"Pin","5","0",51.288318628832,0.94421529442153
"Target","5","1",51.287644528764,0.94390479439048
"Tee","5","0",51.285923728592,0.94412709441271
"Pin","6","0",51.289947628995,0.94029669402967
"Target","6","1",51.289393228939,0.94084749408475
"Tee","6","0",51.28860392886,0.9437409943741
"Pin","7","0",51.291118529112,0.94398489439849
"Target","7","1",51.290413829041,0.94286709428671
"Tee","7","0",51.290556929056,0.93952179395218
"Pin","8","0",51.291666629167,0.93807279380728
"Target","8","1",51.291682829168,0.94099419409942
"Target","8","2",51.291693629169,0.93862719386272
"Tee","8","0",51.291761129176,0.94467429446743
"Pin","9","0",51.294929129493,0.93926979392698
"Tee","9","0",51.293179529318,0.93877569387757
"Pin","10","0",51.293914829391,0.93576339357634
"Target","10","1",51.294520529452,0.93635379363538
"Tee","10","0",51.295923629592,0.93857229385723
"Pin","11","0",51.290817029082,0.93603159360316
"Target","11","1",51.291460529146,0.93610179361018
"Tee","11","0",51.293542229354,0.93569409356941
"Pin","12","0",51.291163529116,0.93808359380836
"Tee","12","0",51.290328329033,0.93674529367453
"Pin","13","0",51.287046028705,0.94162419416242
"Target","13","1",51.287950528795,0.94033989403399
"Tee","13","0",51.289974628997,0.93858579385858
"Pin","14","0",51.283752928375,0.94385889438589
"Target","14","1",51.284650228465,0.94325229432523
"Tee","14","0",51.286936228694,0.9428229942823
"Pin","15","0",51.285626728563,0.941409994141
"Target","15","1",51.284751028475,0.94180149418015
"Tee","15","0",51.283036528304,0.94307769430777
"Pin","16","0",51.286458328646,0.94146039414604
"Tee","16","0",51.285425128542,0.94045509404551
"Pin","17","0",51.290961029096,0.93856959385696
"Target","17","1",51.289189828919,0.9400869940087
"Target","17","2",51.290553329055,0.93873789387379
"Tee","17","0",51.28730072873,0.9421929942193
"Pin","18","0",51.295360229536,0.93860379386038
"Target","18","1",51.293453129345,0.93641409364141
"Target","18","2",51.295011029501,0.93800889380089
"Tee","18","0",51.291075329108,0.93670479367048
