"type","hole","numPoint","lat","lon"
"Pin","1","0",42.335685633569,-71.235268123527
"Target","1","1",42.336161733616,-71.234673223467
"Tee","1","0",42.337848333785,-71.233181923318
"Pin","2","0",42.337869933787,-71.236477723648
"Target","2","1",42.337434333743,-71.236191523619
"Tee","2","0",42.335516433552,-71.235557923556
"Pin","3","0",42.335636133564,-71.238629623863
"Target","3","1",42.336373233637,-71.237973523797
"Tee","3","0",42.338263233826,-71.236743223674
"Pin","4","0",42.333145833315,-71.241335924134
"Target","4","1",42.334215033422,-71.240237924024
"Tee","4","0",42.336429033643,-71.239616023962
"Pin","5","0",42.336857433686,-71.236880023688
"Target","5","1",42.334945833495,-71.238716023872
"Target","5","2",42.336194133619,-71.237183323718
"Tee","5","0",42.333167433317,-71.240694224069
"Pin","6","0",42.335441733544,-71.236263523626
"Tee","6","0",42.336753933675,-71.23649662365
"Pin","7","0",42.333406833341,-71.238824923882
"Target","7","1",42.334091733409,-71.237541523754
"Tee","7","0",42.335405733541,-71.235260023526
"Pin","8","0",42.332368233237,-71.237672023767
"Tee","8","0",42.33350223335,-71.239607923961
"Pin","9","0",42.331856133186,-71.239355923936
"Target","9","1",42.331922733192,-71.238690823869
"Tee","9","0",42.331560933156,-71.236066423607
"Pin","10","0",42.330944433094,-71.234584123458
"Target","10","1",42.331211733121,-71.236849423685
"Target","10","2",42.331083933108,-71.234966623497
"Tee","10","0",42.331523133152,-71.239878823988
"Pin","11","0",42.328116632812,-71.232106423211
"Target","11","1",42.329543132954,-71.232555523256
"Tee","11","0",42.331552833155,-71.234074723407
"Pin","12","0",42.328194032819,-71.233133323313
"Tee","12","0",42.327182432718,-71.231972323197
"Pin","13","0",42.330530433053,-71.237806123781
"Target","13","1",42.329644832964,-71.23589722359
"Target","13","2",42.33040263304,-71.237486623749
"Tee","13","0",42.328210232821,-71.233532923353
"Pin","14","0",42.328482032848,-71.23280302328
"Target","14","1",42.330055233006,-71.234926123493
"Target","14","2",42.3289986329,-71.233523923352
"Tee","14","0",42.330912933091,-71.237816923782
"Pin","15","0",42.330867033087,-71.234150323415
"Target","15","1",42.330413433041,-71.233834423383
"Tee","15","0",42.328622432862,-71.232586123259
"Pin","16","0",42.332786733279,-71.237521723752
"Target","16","1",42.33220353322,-71.236491223649
"Tee","16","0",42.331162233116,-71.233712923371
"Pin","17","0",42.33460473346,-71.235625423562
"Tee","17","0",42.333016233302,-71.237448823745
"Pin","18","0",42.337509033751,-71.232776923278
"Target","18","1",42.336507333651,-71.233279123328
"Tee","18","0",42.334474233447,-71.234741623474
