"type","hole","numPoint","lat","lon"
"Pin","1","0",32.635173263517,-80.087681608768
"Target","1","1",32.6350031635,-80.086831108683
"Tee","1","0",32.634914063491,-80.08409870841
"Pin","2","0",32.635968863597,-80.08890470889
"Tee","2","0",32.635950863595,-80.087242408724
"Pin","3","0",32.638817363882,-80.086732108673
"Target","3","1",32.63849606385,-80.088045208805
"Tee","3","0",32.63649716365,-80.08930250893
"Pin","4","0",32.639043263904,-80.084151808415
"Tee","4","0",32.639189963919,-80.086035508604
"Pin","5","0",32.639408663941,-80.078763507876
"Target","5","1",32.63929976393,-80.081218708122
"Target","5","2",32.639252963925,-80.078973207897
"Tee","5","0",32.638656263866,-80.083945708395
"Pin","6","0",32.63990096399,-80.08319690832
"Target","6","1",32.639944163994,-80.081845108185
"Tee","6","0",32.639936963994,-80.079012807901
"Pin","7","0",32.638609463861,-80.089634608963
"Target","7","1",32.639738963974,-80.086936408694
"Target","7","2",32.638943363894,-80.089028008903
"Tee","7","0",32.640318564032,-80.084189608419
"Pin","8","0",32.63539916354,-80.089460008946
"Target","8","1",32.636419763642,-80.09009630901
"Tee","8","0",32.63859776386,-80.090157509016
"Pin","9","0",32.633579363358,-80.084581108458
"Target","9","1",32.634347963435,-80.085185008518
"Tee","9","0",32.63430206343,-80.087625808763
"Pin","10","0",32.636908463691,-80.079455607946
"Target","10","1",32.636482763648,-80.082022408202
"Target","10","2",32.636772563677,-80.079852507985
"Tee","10","0",32.634884363488,-80.083709908371
"Pin","11","0",32.640036864004,-80.078355807836
"Target","11","1",32.639351063935,-80.078030907803
"Tee","11","0",32.637330563733,-80.078481807848
"Pin","12","0",32.64109616411,-80.073082707308
"Target","12","1",32.640841464084,-80.074470507447
"Tee","12","0",32.640418464042,-80.077208307721
"Pin","13","0",32.639788463979,-80.076926607693
"Target","13","1",32.640140364014,-80.075421807542
"Tee","13","0",32.640309564031,-80.072645307265
"Pin","14","0",32.638848863885,-80.073377907338
"Target","14","1",32.638604963861,-80.07459920746
"Tee","14","0",32.639250263925,-80.077173207717
"Pin","15","0",32.637506963751,-80.072642607264
"Tee","15","0",32.639146763915,-80.072557107256
"Pin","16","0",32.637629363763,-80.077194807719
"Target","16","1",32.63739716374,-80.07570080757
"Tee","16","0",32.63730176373,-80.072871207287
"Pin","17","0",32.635132763513,-80.079254907925
"Tee","17","0",32.63670326367,-80.077921107792
"Pin","18","0",32.633741363374,-80.082875608288
"Target","18","1",32.63449646345,-80.080848808085
"Target","18","2",32.634520763452,-80.082606508261
"Tee","18","0",32.634430763443,-80.078018307802
