"type","hole","numPoint","lat","lon"
"Pin","1","0",38.785642478564,-104.85221728522
"Target","1","1",38.786873678687,-104.85165298517
"Tee","1","0",38.788850978885,-104.85013828501
"Pin","2","0",38.783992778399,-104.84919418492
"Target","2","1",38.784437378444,-104.84993218499
"Tee","2","0",38.786061878606,-104.85163228516
"Pin","3","0",38.788283078828,-104.85013648501
"Target","3","1",38.785781078578,-104.84969368497
"Target","3","2",38.787562178756,-104.85010228501
"Tee","3","0",38.783537378354,-104.84865688487
"Pin","4","0",38.787559478756,-104.84937148494
"Tee","4","0",38.78880327888,-104.850031185
"Pin","5","0",38.784029678403,-104.84833108483
"Target","5","1",38.78529957853,-104.84851288485
"Tee","5","0",38.787567578757,-104.8490204849
"Pin","6","0",38.781723878172,-104.84625748463
"Target","6","1",38.782514978252,-104.84705398471
"Tee","6","0",38.784721778472,-104.84789368479
"Pin","7","0",38.777288677729,-104.84593258459
"Target","7","1",38.778857377886,-104.84708098471
"Target","7","2",38.777854777785,-104.84635378464
"Tee","7","0",38.780993978099,-104.8469927847
"Pin","8","0",38.776759477676,-104.84718268472
"Tee","8","0",38.776961077696,-104.84535928454
"Pin","9","0",38.778491077849,-104.85150088515
"Target","9","1",38.777868277787,-104.8490060849
"Target","9","2",38.778347977835,-104.85040648504
"Tee","9","0",38.776090777609,-104.84712958471
"Pin","10","0",38.780858078086,-104.84750218475
"Target","10","1",38.779345177935,-104.84872258487
"Tee","10","0",38.77879887788,-104.85164578516
"Pin","11","0",38.777784577778,-104.84525398453
"Target","11","1",38.778776377878,-104.84606398461
"Tee","11","0",38.781023678102,-104.84670838467
"Pin","12","0",38.777953777795,-104.84362858436
"Tee","12","0",38.7770024777,-104.84582548458
"Pin","13","0",38.780987678099,-104.84594608459
"Target","13","1",38.779364077936,-104.84536738454
"Tee","13","0",38.777987077799,-104.84293468429
"Pin","14","0",38.778430777843,-104.84311918431
"Target","14","1",38.779292977929,-104.84425948443
"Tee","14","0",38.781374678137,-104.84552308455
"Pin","15","0",38.78149617815,-104.8449812845
"Target","15","1",38.78049537805,-104.84371678437
"Tee","15","0",38.778372277837,-104.84257468426
"Pin","16","0",38.783049578305,-104.84657968466
"Tee","16","0",38.78170317817,-104.84581198458
"Pin","17","0",38.787347978735,-104.84613148461
"Target","17","1",38.784578678458,-104.84619898462
"Target","17","2",38.786469578647,-104.84618548462
"Tee","17","0",38.782267478227,-104.84569948457
"Pin","18","0",38.788882478888,-104.84970448497
"Target","18","1",38.787948278795,-104.84864338486
"Tee","18","0",38.787927578793,-104.84574268457
