"type","hole","numPoint","lat","lon"
"Pin","1","0",59.501408050141,17.624951062495
"Target","1","1",59.499222849922,17.623279762328
"Target","1","2",59.501030050103,17.623445362345
"Tee","1","0",59.496907149691,17.62440386244
"Pin","2","0",59.501018350102,17.628658162866
"Tee","2","0",59.499692649969,17.627928262793
"Pin","3","0",59.503027150303,17.631956663196
"Target","3","1",59.502410650241,17.631211463121
"Tee","3","0",59.500277650028,17.629730962973
"Pin","4","0",59.504655250466,17.636441363644
"Tee","4","0",59.503512250351,17.633474963347
"Pin","5","0",59.503422250342,17.644939164494
"Target","5","1",59.504081050408,17.640886464089
"Target","5","2",59.503353850335,17.643883464388
"Tee","5","0",59.505363550536,17.637020963702
"Pin","6","0",59.501111050111,17.650179865018
"Target","6","1",59.501948950195,17.648117064812
"Tee","6","0",59.504179150418,17.646451164645
"Pin","7","0",59.500013950001,17.648382564838
"Tee","7","0",59.500519750052,17.650120465012
"Pin","8","0",59.502442150244,17.643812364381
"Target","8","1",59.502046150205,17.645354964536
"Tee","8","0",59.50019935002,17.647782264778
"Pin","9","0",59.504459950446,17.637407063741
"Target","9","1",59.503274650327,17.640683064068
"Target","9","2",59.50410355041,17.637514163751
"Tee","9","0",59.501480950148,17.643656664366
"Pin","10","0",59.501889550189,17.628823762882
"Target","10","1",59.504214250421,17.63040146304
"Target","10","2",59.502479950248,17.628911962891
"Tee","10","0",59.504745250475,17.634815963482
"Pin","11","0",59.500983250098,17.627370262737
"Tee","11","0",59.502483550248,17.627391862739
"Pin","12","0",59.502423250242,17.623062862306
"Tee","12","0",59.501777950178,17.62539656254
"Pin","13","0",59.505978250598,17.620214362021
"Target","13","1",59.504415850442,17.621554462155
"Target","13","2",59.505936850594,17.620848862085
"Tee","13","0",59.502120850212,17.621914462191
"Pin","14","0",59.503583350358,17.620906462091
"Target","14","1",59.503874050387,17.619992961999
"Tee","14","0",59.505940450594,17.619291861929
"Pin","15","0",59.499477549948,17.621850562185
"Target","15","1",59.501270350127,17.621058562106
"Target","15","2",59.500018450002,17.622092662209
"Tee","15","0",59.50350145035,17.619645561965
"Pin","16","0",59.496177249618,17.622332962233
"Target","16","1",59.497048449705,17.622971962297
"Tee","16","0",59.4990005499,17.621464462146
"Pin","17","0",59.493421449342,17.62250486225
"Tee","17","0",59.494737249474,17.624006962401
"Pin","18","0",59.495053149505,17.623416562342
"Target","18","1",59.494552749455,17.621463562146
"Tee","18","0",59.492250549225,17.621485162149
