"type","hole","numPoint","lat","lon"
"Pin","1","0",50.808992080899,-1.5887908588791
"Target","1","1",50.808440380844,-1.5883318588332
"Tee","1","0",50.806508080651,-1.5883156588316
"Pin","2","0",50.813068181307,-1.5893560589356
"Target","2","1",50.811394181139,-1.5899572589957
"Target","2","2",50.812583081258,-1.5898276589828
"Tee","2","0",50.809317880932,-1.5885379588538
"Pin","3","0",50.811973781197,-1.5907591590759
"Tee","3","0",50.813312981331,-1.5901237590124
"Pin","4","0",50.80919728092,-1.5908473590847
"Target","4","1",50.809886680989,-1.5905881590588
"Tee","4","0",50.812115981212,-1.5911857591186
"Pin","5","0",50.809321480932,-1.5891013589101
"Tee","5","0",50.808861580886,-1.5910273591027
"Pin","6","0",50.807345080735,-1.5864382586438
"Target","6","1",50.807861680786,-1.5869314586931
"Tee","6","0",50.809665280967,-1.5883534588353
"Pin","7","0",50.805257980526,-1.5838093583809
"Target","7","1",50.805991480599,-1.5843835584384
"Tee","7","0",50.807985880799,-1.5860710586071
"Pin","8","0",50.803294180329,-1.587749558775
"Target","8","1",50.804009680401,-1.5858361585836
"Tee","8","0",50.80539928054,-1.5830128583013
"Pin","9","0",50.80269568027,-1.5930874593087
"Target","9","1",50.802972880297,-1.5908311590831
"Tee","9","0",50.803768480377,-1.5874120587412
"Pin","10","0",50.804724280472,-1.5945760594576
"Tee","10","0",50.803173580317,-1.5933934593393
"Pin","11","0",50.807406280741,-1.5918589591859
"Target","11","1",50.806540480654,-1.5929758592976
"Tee","11","0",50.804727880473,-1.5950053595005
"Pin","12","0",50.807112880711,-1.5895063589506
"Tee","12","0",50.807085880709,-1.5916816591682
"Pin","13","0",50.807381980738,-1.5938353593835
"Target","13","1",50.808055180806,-1.5921784592178
"Tee","13","0",50.807729380773,-1.5887692588769
"Pin","14","0",50.80490248049,-1.595289759529
"Target","14","1",50.805437980544,-1.5949153594915
"Tee","14","0",50.807210980721,-1.5940774594077
"Pin","15","0",50.802728080273,-1.5937444593744
"Target","15","1",50.803218580322,-1.5944365594437
"Tee","15","0",50.804927680493,-1.5958630595863
"Pin","16","0",50.804729680473,-1.5874435587444
"Target","16","1",50.803819780382,-1.5901138590114
"Target","16","2",50.804564080456,-1.5878665587867
"Tee","16","0",50.803027780303,-1.5935356593536
"Pin","17","0",50.806409080641,-1.5916069591607
"Target","17","1",50.805578380558,-1.5905746590575
"Tee","17","0",50.804934880494,-1.5870763587076
"Pin","18","0",50.806009480601,-1.5879322587932
"Target","18","1",50.806270480627,-1.5888052588805
"Tee","18","0",50.806652080665,-1.5920677592068
