"type","hole","numPoint","lat","lon"
"Pin","1","0",51.570625257063,-0.49272484927248
"Target","1","1",51.569653256965,-0.49029934902993
"Target","1","2",51.570514557051,-0.49231714923171
"Tee","1","0",51.569606456961,-0.48659584865958
"Pin","2","0",51.574729257473,-0.49154944915494
"Target","2","1",51.573828357383,-0.49162054916205
"Tee","2","0",51.571808757181,-0.49274824927482
"Pin","3","0",51.576159357616,-0.49245394924539
"Tee","3","0",51.574719357472,-0.49096534909653
"Pin","4","0",51.575441157544,-0.49822834982284
"Target","4","1",51.575975757598,-0.49616914961691
"Tee","4","0",51.575454657545,-0.49262764926276
"Pin","5","0",51.574919157492,-0.49291744929174
"Target","5","1",51.575086557509,-0.49553824955382
"Target","5","2",51.574949757495,-0.49356634935663
"Tee","5","0",51.574682457468,-0.4991859499186
"Pin","6","0",51.572253357225,-0.49516024951602
"Target","6","1",51.572828457283,-0.49429354942935
"Tee","6","0",51.574519557452,-0.49229824922982
"Pin","7","0",51.568047656805,-0.49241344924135
"Target","7","1",51.569117756912,-0.49266274926628
"Tee","7","0",51.571281357128,-0.4939290493929
"Pin","8","0",51.568229456823,-0.4877190487719
"Target","8","1",51.567639056764,-0.48852724885272
"Tee","8","0",51.568781156878,-0.49166734916673
"Pin","9","0",51.569831456983,-0.48486334848633
"Tee","9","0",51.568632656863,-0.4860810486081
"Pin","10","0",51.575081157508,-0.48584164858416
"Target","10","1",51.573985857399,-0.48639154863915
"Tee","10","0",51.571756557176,-0.48546094854609
"Pin","11","0",51.571528857153,-0.48852724885272
"Target","11","1",51.573283857328,-0.48794224879422
"Target","11","2",51.571838457184,-0.48845974884597
"Tee","11","0",51.575394357539,-0.48646174864617
"Pin","12","0",51.575279157528,-0.48838234883823
"Target","12","1",51.574176657418,-0.48902134890213
"Tee","12","0",51.571883457188,-0.48935794893579
"Pin","13","0",51.577636257764,-0.49398484939849
"Target","13","1",51.577250157725,-0.49184644918464
"Tee","13","0",51.575377257538,-0.48992674899267
"Pin","14","0",51.577192557719,-0.49694854969486
"Tee","14","0",51.577477857748,-0.49476874947687
"Pin","15","0",51.576022557602,-0.49318024931803
"Target","15","1",51.576820857682,-0.49429174942918
"Tee","15","0",51.576649857665,-0.49765414976542
"Pin","16","0",51.575017257502,-0.49038844903884
"Tee","16","0",51.576254757625,-0.49177534917754
"Pin","17","0",51.571615257162,-0.49070434907043
"Target","17","1",51.573172257317,-0.49077184907718
"Tee","17","0",51.575289057529,-0.48931564893156
"Pin","18","0",51.570234657023,-0.48635194863519
"Target","18","1",51.570736857074,-0.48953524895352
"Target","18","2",51.570478557048,-0.48725734872573
"Tee","18","0",51.571308357131,-0.49312444931244
