"type","hole","numPoint","lat","lon"
"Pin","1","0",22.916045291605,-109.84657338466
"Target","1","1",22.916317091632,-109.84541418454
"Tee","1","0",22.915353191535,-109.84324248432
"Pin","2","0",22.913614391361,-109.84943808494
"Tee","2","0",22.915034591503,-109.84869558487
"Pin","3","0",22.911074591107,-109.8540298854
"Target","3","1",22.911568691157,-109.85212908521
"Target","3","2",22.911220391122,-109.85373648537
"Tee","3","0",22.912736891274,-109.849974485
"Pin","4","0",22.913628791363,-109.85275908528
"Target","4","1",22.913261591326,-109.8530488853
"Tee","4","0",22.911438191144,-109.85434398543
"Pin","5","0",22.915382891538,-109.85089788509
"Tee","5","0",22.914622391462,-109.85258178526
"Pin","6","0",22.918671491867,-109.84921308492
"Target","6","1",22.917711191771,-109.84952898495
"Tee","6","0",22.915454891545,-109.84969278497
"Pin","7","0",22.921428192143,-109.84839498484
"Target","7","1",22.920882792088,-109.84842378484
"Tee","7","0",22.9189954919,-109.84951368495
"Pin","8","0",22.924041792404,-109.84526208453
"Target","8","1",22.92359809236,-109.84657878466
"Tee","8","0",22.922266092227,-109.84861728486
"Pin","9","0",22.928313192831,-109.84587948459
"Target","9","1",22.926829992683,-109.84477068448
"Target","9","2",22.928044992804,-109.84542768454
"Tee","9","0",22.924825692483,-109.8460000846
"Pin","10","0",22.926571692657,-109.84270338427
"Target","10","1",22.927484292748,-109.84311828431
"Tee","10","0",22.929538992954,-109.84424868442
"Pin","11","0",22.924462092446,-109.84385628439
"Tee","11","0",22.925774292577,-109.84286448429
"Pin","12","0",22.921312092131,-109.84788558479
"Target","12","1",22.923005892301,-109.8459685846
"Target","12","2",22.921827792183,-109.84745898475
"Tee","12","0",22.923921192392,-109.84357818436
"Pin","13","0",22.916060591606,-109.84893948489
"Target","13","1",22.917592391759,-109.84876488488
"Tee","13","0",22.919948591995,-109.84836798484
"Pin","14","0",22.919291591929,-109.84610178461
"Target","14","1",22.918621091862,-109.84707828471
"Tee","14","0",22.916475491648,-109.84769748477
"Pin","15","0",22.922006892201,-109.84319928432
"Target","15","1",22.92130309213,-109.84513158451
"Target","15","2",22.921962792196,-109.84354398435
"Tee","15","0",22.91949679195,-109.84668138467
"Pin","16","0",22.920106992011,-109.84144518414
"Tee","16","0",22.921626192163,-109.84267908427
"Pin","17","0",22.918990091899,-109.84468518447
"Target","17","1",22.919644391964,-109.84355028436
"Tee","17","0",22.919025191903,-109.84114188411
"Pin","18","0",22.916482691648,-109.84161168416
"Target","18","1",22.917271991727,-109.84255128426
"Tee","18","0",22.918451891845,-109.84474998448
