"type","hole","numPoint","lat","lon"
"Pin","1","0",37.653518865352,-122.4369725437
"Target","1","1",37.651793565179,-122.43849354385
"Target","1","2",37.65310216531,-122.43723534372
"Tee","1","0",37.649637164964,-122.43965274397
"Pin","2","0",37.650724365072,-122.43990744399
"Target","2","1",37.651979865198,-122.43926484393
"Tee","2","0",37.653693465369,-122.43732174373
"Pin","3","0",37.648451864845,-122.44239594424
"Target","3","1",37.649386964939,-122.44128714413
"Tee","3","0",37.651522665152,-122.44020264402
"Pin","4","0",37.645894964589,-122.44721904472
"Target","4","1",37.647522164752,-122.44487994449
"Target","4","2",37.646447564645,-122.44671774467
"Tee","4","0",37.648957664896,-122.44247424425
"Pin","5","0",37.644115664412,-122.44460364446
"Target","5","1",37.644413564441,-122.44523544452
"Tee","5","0",37.645735664574,-122.44761594476
"Pin","6","0",37.644984164498,-122.44129434413
"Tee","6","0",37.644142664414,-122.4430403443
"Pin","7","0",37.646759864676,-122.44420674442
"Target","7","1",37.645716764572,-122.44479264448
"Tee","7","0",37.644788864479,-122.44213044421
"Pin","8","0",37.648256564826,-122.44292244429
"Tee","8","0",37.646963264696,-122.44481874448
"Pin","9","0",37.650152865015,-122.44014054401
"Target","9","1",37.6490017649,-122.44032054403
"Tee","9","0",37.647766064777,-122.44277484428
"Pin","10","0",37.646733764673,-122.44156524416
"Target","10","1",37.647452864745,-122.44050414405
"Tee","10","0",37.649265464927,-122.43871134387
"Pin","11","0",37.648326764833,-122.43841344384
"Target","11","1",37.647410564741,-122.4389867439
"Tee","11","0",37.646305364631,-122.44153824415
"Pin","12","0",37.647519464752,-122.43739914374
"Tee","12","0",37.649227664923,-122.43849084385
"Pin","13","0",37.64610106461,-122.44119714412
"Target","13","1",37.646413364641,-122.43965184397
"Tee","13","0",37.64739886474,-122.4370238437
"Pin","14","0",37.646961464696,-122.4369590437
"Target","14","1",37.646062364606,-122.43864384386
"Tee","14","0",37.645515164552,-122.44152204415
"Pin","15","0",37.644824864483,-122.44023144402
"Target","15","1",37.645681664568,-122.43805164381
"Target","15","2",37.644988664499,-122.43958524396
"Tee","15","0",37.646549264655,-122.43535794354
"Pin","16","0",37.643631464363,-122.43979764398
"Tee","16","0",37.64459986446,-122.43913164391
"Pin","17","0",37.646205464621,-122.43529674353
"Target","17","1",37.645058864506,-122.43781764378
"Target","17","2",37.645966964597,-122.43572154357
"Tee","17","0",37.643380364338,-122.43988314399
"Pin","18","0",37.648774964878,-122.43781764378
"Target","18","1",37.64790466479,-122.43684114368
"Tee","18","0",37.646335064634,-122.43471444347
