"type","hole","numPoint","lat","lon"
"Pin","1","0",30.294625829463,-86.04260150426
"Target","1","1",30.294947129495,-86.04179780418
"Tee","1","0",30.297124229712,-86.040931104093
"Pin","2","0",30.291744929174,-86.040630504063
"Target","2","1",30.292343429234,-86.04120200412
"Tee","2","0",30.294428729443,-86.041936404194
"Pin","3","0",30.294150629415,-86.035327703533
"Target","3","1",30.293257829326,-86.037486803749
"Target","3","2",30.294038129404,-86.035864103586
"Tee","3","0",30.292045529205,-86.039809703981
"Pin","4","0",30.2920041292,-86.038082603808
"Target","4","1",30.292459529246,-86.036683103668
"Tee","4","0",30.293643929364,-86.034340403434
"Pin","5","0",30.290667629067,-86.040869004087
"Tee","5","0",30.291758429176,-86.039418203942
"Pin","6","0",30.291836729184,-86.045230404523
"Target","6","1",30.291024029102,-86.044085604409
"Tee","6","0",30.290887229089,-86.041375704138
"Pin","7","0",30.291906929191,-86.042843604284
"Tee","7","0",30.292239929224,-86.044669704467
"Pin","8","0",30.29530172953,-86.045045004504
"Target","8","1",30.293861729386,-86.042931804293
"Target","8","2",30.295128929513,-86.044426704443
"Tee","8","0",30.291684629168,-86.04180500418
"Pin","9","0",30.296832629683,-86.041727604173
"Target","9","1",30.295933529593,-86.042818404282
"Tee","9","0",30.296073029607,-86.045528304553
"Pin","10","0",30.300389430039,-86.04419810442
"Target","10","1",30.299342729934,-86.043371904337
"Tee","10","0",30.298375229838,-86.040951804095
"Pin","11","0",30.303240630324,-86.042250504225
"Target","11","1",30.302788830279,-86.043156804316
"Tee","11","0",30.300876330088,-86.044366404437
"Pin","12","0",30.307723530772,-86.044342104434
"Target","12","1",30.306474330647,-86.042732904273
"Target","12","2",30.307452630745,-86.044144104414
"Tee","12","0",30.304421430442,-86.041424304142
"Pin","13","0",30.310055431006,-86.044262004426
"Target","13","1",30.309545130955,-86.045022504502
"Tee","13","0",30.307489530749,-86.045061204506
"Pin","14","0",30.308677530868,-86.043334104333
"Tee","14","0",30.310048231005,-86.043832704383
"Pin","15","0",30.304873230487,-86.04040460404
"Target","15","1",30.306146730615,-86.041330704133
"Tee","15","0",30.308140230814,-86.042845404285
"Pin","16","0",30.304278330428,-86.044428504443
"Tee","16","0",30.303588030359,-86.042650104265
"Pin","17","0",30.299970929997,-86.044956804496
"Target","17","1",30.302210130221,-86.045051304505
"Target","17","2",30.300527130053,-86.045158404516
"Tee","17","0",30.304543830454,-86.045294304529
"Pin","18","0",30.297290729729,-86.042017404202
"Target","18","1",30.298037729804,-86.043366504337
"Tee","18","0",30.299326529933,-86.045576004558
