"type","hole","numPoint","lat","lon"
"Pin","1","0",51.777410177741,0.073286107328611
"Target","1","1",51.776127677613,0.072933307293331
"Tee","1","0",51.77419717742,0.072805507280551
"Pin","2","0",51.778619777862,0.078239707823971
"Target","2","1",51.778410977841,0.077004007700401
"Tee","2","0",51.77740477774,0.074106907410691
"Pin","3","0",51.777642377764,0.073825207382521
"Target","3","1",51.778810577881,0.075752107575211
"Tee","3","0",51.779321777932,0.078902107890211
"Pin","4","0",51.775059377506,0.068587206858721
"Target","4","1",51.776438177644,0.070866007086601
"Target","4","2",51.775368977537,0.068846406884641
"Tee","4","0",51.777939377794,0.073688407368841
"Pin","5","0",51.774089177409,0.068884206888421
"Tee","5","0",51.775011677501,0.067392906739291
"Pin","6","0",51.776478677648,0.072395107239511
"Target","6","1",51.775134077513,0.070710307071031
"Target","6","2",51.77629687763,0.071964907196491
"Tee","6","0",51.773379977338,0.068300106830011
"Pin","7","0",51.774634577463,0.072038707203871
"Tee","7","0",51.77610067761,0.072377107237711
"Pin","8","0",51.772127177213,0.068238006823801
"Target","8","1",51.772990277299,0.068731206873121
"Tee","8","0",51.774289877429,0.071475307147531
"Pin","9","0",51.773116277312,0.063058506305851
"Target","9","1",51.773190077319,0.065389506538951
"Tee","9","0",51.771785177179,0.067124706712471
"Pin","10","0",51.772666277267,0.057224705722471
"Target","10","1",51.772859777286,0.059437805943781
"Tee","10","0",51.773418677342,0.063047706304771
"Pin","11","0",51.77459857746,0.064080906408091
"Target","11","1",51.773709377371,0.060904806090481
"Target","11","2",51.77449777745,0.063387906338791
"Tee","11","0",51.772974977298,0.057377705737771
"Pin","12","0",51.774513977451,0.065266206526621
"Tee","12","0",51.774187277419,0.063665106366511
"Pin","13","0",51.771983177198,0.067498206749821
"Target","13","1",51.773014577301,0.067481106748111
"Tee","13","0",51.774909077491,0.065877306587731
"Pin","14","0",51.774077477408,0.071998207199821
"Target","14","1",51.773478977348,0.070788607078861
"Tee","14","0",51.771426977143,0.069102006910201
"Pin","15","0",51.772335077234,0.072369007236901
"Tee","15","0",51.77389837739,0.073414807341481
"Pin","16","0",51.768175276818,0.072569707256971
"Target","16","1",51.769981576998,0.073064707306471
"Target","16","2",51.768519976852,0.072690307269031
"Tee","16","0",51.772117277212,0.072897307289731
"Pin","17","0",51.769077976908,0.076287607628761
"Target","17","1",51.7690032769,0.075070807507081
"Tee","17","0",51.767776576778,0.072572407257241
"Pin","18","0",51.772832777283,0.073674907367491
"Target","18","1",51.771270377127,0.074264407426441
"Target","18","2",51.77239537724,0.073296907329691
"Tee","18","0",51.769345276935,0.076306507630651
