"type","hole","numPoint","lat","lon"
"Pin","1","0",32.8379954838,-117.01133370113
"Target","1","1",32.83919608392,-117.01083420108
"Tee","1","0",32.841425384143,-117.009973801
"Pin","2","0",32.839234783923,-117.01158570116
"Tee","2","0",32.837828083783,-117.0120465012
"Pin","3","0",32.837794783779,-117.0160380016
"Target","3","1",32.838546283855,-117.01354860135
"Target","3","2",32.837906383791,-117.01535220154
"Tee","3","0",32.83980268398,-117.01119420112
"Pin","4","0",32.83830148383,-117.02084220208
"Target","4","1",32.837612083761,-117.01890000189
"Tee","4","0",32.837505883751,-117.01606500161
"Pin","5","0",32.840438084044,-117.02293650229
"Target","5","1",32.840130284013,-117.02247840225
"Tee","5","0",32.838290683829,-117.02150190215
"Pin","6","0",32.839034083903,-117.02031120203
"Target","6","1",32.83979998398,-117.02142810214
"Tee","6","0",32.841621584162,-117.02318310232
"Pin","7","0",32.838350983835,-117.01879560188
"Tee","7","0",32.838664183866,-117.02082330208
"Pin","8","0",32.838827083883,-117.01439640144
"Target","8","1",32.838740683874,-117.01556730156
"Tee","8","0",32.837988283799,-117.01815660182
"Pin","9","0",32.840990684099,-117.01059840106
"Target","9","1",32.839644283964,-117.01258470126
"Target","9","2",32.840649584065,-117.0110358011
"Tee","9","0",32.83919878392,-117.01527390153
"Pin","10","0",32.837992783799,-117.00957420096
"Target","10","1",32.839534483953,-117.009954901
"Tee","10","0",32.841876284188,-117.00941850094
"Pin","11","0",32.84050108405,-117.00814950081
"Target","11","1",32.839780183978,-117.00918720092
"Tee","11","0",32.837648083765,-117.0089892009
"Pin","12","0",32.839655983966,-117.00849870085
"Tee","12","0",32.840969984097,-117.00738540074
"Pin","13","0",32.84149918415,-117.00450720045
"Target","13","1",32.840252684025,-117.00716490072
"Target","13","2",32.841257084126,-117.00537300054
"Tee","13","0",32.838317683832,-117.00882270088
"Pin","14","0",32.838355483836,-117.00833220083
"Target","14","1",32.839475983948,-117.00713790071
"Tee","14","0",32.840746784075,-117.00479430048
"Pin","15","0",32.840418284042,-117.00426330043
"Target","15","1",32.838916183892,-117.00649620065
"Target","15","2",32.840020484002,-117.0050463005
"Tee","15","0",32.837664283766,-117.00879570088
"Pin","16","0",32.843286584329,-117.0039600004
"Target","16","1",32.842473884247,-117.0040347004
"Tee","16","0",32.840427284043,-117.00349290035
"Pin","17","0",32.842391984239,-117.00462780046
"Tee","17","0",32.843606984361,-117.00452070045
"Pin","18","0",32.841413684141,-117.00889830089
"Target","18","1",32.841339884134,-117.00733500073
"Tee","18","0",32.8420040842,-117.00471060047
