"type","hole","numPoint","lat","lon"
"Pin","1","0",30.1639962164,-95.534752153475
"Target","1","1",30.162791116279,-95.534642353464
"Tee","1","0",30.160488916049,-95.534617153462
"Pin","2","0",30.160436716044,-95.530194553019
"Target","2","1",30.160911016091,-95.532714553271
"Target","2","2",30.160233316023,-95.530775053078
"Tee","2","0",30.16310341631,-95.53379995338
"Pin","3","0",30.157554015755,-95.528057052806
"Target","3","1",30.158506215851,-95.528211852821
"Tee","3","0",30.159984915998,-95.529999253
"Pin","4","0",30.159332415933,-95.534078053408
"Target","4","1",30.157106715711,-95.532174553217
"Target","4","2",30.15860341586,-95.533663153366
"Tee","4","0",30.156364215636,-95.529553752955
"Pin","5","0",30.155250915525,-95.535154453515
"Target","5","1",30.156693615669,-95.535148153515
"Tee","5","0",30.158769015877,-95.536506253651
"Pin","6","0",30.153950415395,-95.535352453535
"Tee","6","0",30.155044815504,-95.534462353446
"Pin","7","0",30.15560371556,-95.537466553747
"Target","7","1",30.155115915512,-95.537239753724
"Tee","7","0",30.153641715364,-95.535722353572
"Pin","8","0",30.158356815836,-95.539960453996
"Target","8","1",30.157352415735,-95.53919995392
"Tee","8","0",30.155383215538,-95.537913853791
"Pin","9","0",30.160047016005,-95.537820253782
"Tee","9","0",30.159623115962,-95.53990195399
"Pin","10","0",30.159880515988,-95.540717354072
"Target","10","1",30.160641016064,-95.539577953958
"Tee","10","0",30.160569016057,-95.536916653692
"Pin","11","0",30.163347316335,-95.543213954321
"Target","11","1",30.161248516125,-95.541991754199
"Target","11","2",30.162965716297,-95.543018654302
"Tee","11","0",30.158982315898,-95.541132254113
"Pin","12","0",30.161227816123,-95.541108854111
"Target","12","1",30.162007216201,-95.541360854136
"Tee","12","0",30.163813516381,-95.542854854285
"Pin","13","0",30.161019016102,-95.536484653648
"Target","13","1",30.161441116144,-95.537926453793
"Tee","13","0",30.161350216135,-95.540540054054
"Pin","14","0",30.162969316297,-95.536758253676
"Tee","14","0",30.161563516156,-95.536135453614
"Pin","15","0",30.165571216557,-95.54160205416
"Target","15","1",30.164745016474,-95.539831753983
"Tee","15","0",30.163228516323,-95.53770235377
"Pin","16","0",30.166684516668,-95.541856754186
"Tee","16","0",30.165868216587,-95.543536154354
"Pin","17","0",30.164610916461,-95.536548553655
"Target","17","1",30.16520311652,-95.539156753916
"Target","17","2",30.16449841645,-95.537024653702
"Tee","17","0",30.166658416666,-95.541341954134
"Pin","18","0",30.160839916084,-95.535548653555
"Target","18","1",30.162174616217,-95.53539655354
"Tee","18","0",30.164478616448,-95.535894253589
