"type","hole","numPoint","lat","lon"
"Pin","1","0",56.494334049433,-2.7203429720343
"Target","1","1",56.495264649526,-2.7191324719132
"Tee","1","0",56.496994449699,-2.7168563716856
"Pin","2","0",56.490826749083,-2.7180794718079
"Target","2","1",56.492316249232,-2.7180920718092
"Tee","2","0",56.494577949458,-2.7188732718873
"Pin","3","0",56.493347649335,-2.7196382719638
"Target","3","1",56.492448549245,-2.7200135720014
"Tee","3","0",56.490608049061,-2.7187229718723
"Pin","4","0",56.491310049131,-2.7245207724521
"Target","4","1",56.491718649172,-2.7228521722852
"Tee","4","0",56.493461049346,-2.7201269720127
"Pin","5","0",56.490780849078,-2.7194168719417
"Target","5","1",56.49119664912,-2.7212654721265
"Tee","5","0",56.490740349074,-2.7253532725353
"Pin","6","0",56.490350649035,-2.7275069727507
"Target","6","1",56.490390249039,-2.7231653723165
"Target","6","2",56.490160749016,-2.7265664726566
"Tee","6","0",56.490580149058,-2.7190091719009
"Pin","7","0",56.489780948978,-2.7329672732967
"Target","7","1",56.489925848993,-2.7311564731156
"Tee","7","0",56.490017649002,-2.7269894726989
"Pin","8","0",56.490881649088,-2.7344090734409
"Tee","8","0",56.48950194895,-2.733459573346
"Pin","9","0",56.494253049425,-2.7370064737006
"Target","9","1",56.492847249285,-2.7357131735713
"Tee","9","0",56.490856449086,-2.7336179733618
"Pin","10","0",56.494037049404,-2.7303239730324
"Target","10","1",56.494159449416,-2.7329168732917
"Tee","10","0",56.494556349456,-2.7370253737025
"Pin","11","0",56.493829149383,-2.7352937735294
"Target","11","1",56.493626649363,-2.733290373329
"Tee","11","0",56.49390294939,-2.7297506729751
"Pin","12","0",56.490581049058,-2.7326288732629
"Target","12","1",56.49220104922,-2.7340238734024
"Tee","12","0",56.494161249416,-2.7362117736212
"Pin","13","0",56.490831249083,-2.7314615731462
"Tee","13","0",56.489934848993,-2.7333335733334
"Pin","14","0",56.491229049123,-2.7250409725041
"Target","14","1",56.490784449078,-2.7283628728363
"Target","14","2",56.491140849114,-2.7256070725607
"Tee","14","0",56.491214649121,-2.7324605732461
"Pin","15","0",56.493727449373,-2.7204329720433
"Target","15","1",56.492605149261,-2.7222707722271
"Tee","15","0",56.491567449157,-2.7259940725994
"Pin","16","0",56.496053949605,-2.7195185719519
"Tee","16","0",56.494316949432,-2.7212780721278
"Pin","17","0",56.49510174951,-2.7254117725412
"Target","17","1",56.495717349572,-2.7223688722369
"Tee","17","0",56.496464349646,-2.719059571906
"Pin","18","0",56.497076349708,-2.7177374717737
"Target","18","1",56.496413049641,-2.7205274720527
"Tee","18","0",56.49570294957,-2.7244955724496
