"type","hole","numPoint","lat","lon"
"Pin","1","0",54.74080357408,-1.356339735634
"Target","1","1",54.739528273953,-1.3561813356181
"Tee","1","0",54.737235073724,-1.3565377356538
"Pin","2","0",54.737807473781,-1.3572919357292
"Target","2","1",54.738920773892,-1.3570390357039
"Tee","2","0",54.741220274122,-1.3568383356838
"Pin","3","0",54.741191474119,-1.3574449357445
"Target","3","1",54.740113274011,-1.3575691357569
"Tee","3","0",54.737822773782,-1.3579894357989
"Pin","4","0",54.74109517411,-1.3627315362732
"Target","4","1",54.740638874064,-1.3614193361419
"Tee","4","0",54.740506574051,-1.3580074358007
"Pin","5","0",54.741305774131,-1.3581046358105
"Target","5","1",54.741334574133,-1.3597057359706
"Tee","5","0",54.741376874138,-1.3633372363337
"Pin","6","0",54.739710973971,-1.3548484354848
"Tee","6","0",54.7409970741,-1.3558915355892
"Pin","7","0",54.737417773742,-1.3557979355798
"Target","7","1",54.737719273772,-1.3556953355695
"Tee","7","0",54.739728973973,-1.3554649355465
"Pin","8","0",54.739893673989,-1.3540888354089
"Target","8","1",54.739285273929,-1.3543885354389
"Tee","8","0",54.737091073709,-1.3553335355334
"Pin","9","0",54.74060287406,-1.3509667350967
"Tee","9","0",54.739969273997,-1.3531879353188
"Pin","10","0",54.740865674087,-1.3436767343677
"Target","10","1",54.740315774032,-1.3468843346884
"Target","10","2",54.740748674075,-1.3440619344062
"Tee","10","0",54.74019877402,-1.3508677350868
"Pin","11","0",54.74149927415,-1.3413376341338
"Tee","11","0",54.740655074066,-1.343129534313
"Pin","12","0",54.739079173908,-1.3396132339613
"Target","12","1",54.739984573998,-1.3397059339706
"Tee","12","0",54.742284074228,-1.3399111339911
"Pin","13","0",54.741780974178,-1.3405492340549
"Target","13","1",54.740489474049,-1.3406392340639
"Tee","13","0",54.738187273819,-1.3405492340549
"Pin","14","0",54.737849773785,-1.3486258348626
"Target","14","1",54.739139473914,-1.3455046345505
"Target","14","2",54.738058573806,-1.3481929348193
"Tee","14","0",54.740525474053,-1.342319534232
"Pin","15","0",54.740260874026,-1.3440223344022
"Target","15","1",54.739416673942,-1.3460833346083
"Tee","15","0",54.738129673813,-1.349389934939
"Pin","16","0",54.73989637399,-1.3498588349859
"Target","16","1",54.73970017397,-1.3483711348371
"Tee","16","0",54.740164574016,-1.3449745344975
"Pin","17","0",54.73960117396,-1.3529575352958
"Tee","17","0",54.739932373993,-1.3504870350487
"Pin","18","0",54.737542873754,-1.3537324353732
"Target","18","1",54.73789927379,-1.3537792353779
"Tee","18","0",54.739907173991,-1.3534966353497
