"type","hole","numPoint","lat","lon"
"Pin","1","0",57.52539575254,-4.1104957110496
"Target","1","1",57.526479352648,-4.1093410109341
"Tee","1","0",57.528451252845,-4.1071270107127
"Pin","2","0",57.52149515215,-4.1155114115511
"Target","2","1",57.5230044523,-4.1126521112652
"Target","2","2",57.521628352163,-4.114840011484
"Tee","2","0",57.525249952525,-4.1111563111156
"Pin","3","0",57.519451251945,-4.1180782118078
"Target","3","1",57.519630351963,-4.11750041175
"Tee","3","0",57.521252152125,-4.1149057114906
"Pin","4","0",57.519681651968,-4.1142190114219
"Tee","4","0",57.519363951936,-4.1171287117129
"Pin","5","0",57.522431152243,-4.1083123108312
"Target","5","1",57.521339452134,-4.1099134109913
"Tee","5","0",57.520105552011,-4.1136232113623
"Pin","6","0",57.520230652023,-4.1152648115265
"Target","6","1",57.521537452154,-4.111760211176
"Target","6","2",57.520372852037,-4.1144368114437
"Tee","6","0",57.522860452286,-4.1081575108158
"Pin","7","0",57.5240043524,-4.1109142110914
"Target","7","1",57.522378052238,-4.1118025111803
"Tee","7","0",57.520789552079,-4.1151145115115
"Pin","8","0",57.524729752473,-4.1097073109707
"Tee","8","0",57.523064752306,-4.1105065110507
"Pin","9","0",57.527391052739,-4.1069182106918
"Target","9","1",57.52650005265,-4.1074078107408
"Tee","9","0",57.524266252427,-4.1084464108446
"Pin","10","0",57.531468953147,-4.1054323105432
"Target","10","1",57.530450153045,-4.1058148105815
"Tee","10","0",57.528381952838,-4.1077012107701
"Pin","11","0",57.53229695323,-4.1049121104912
"Tee","11","0",57.530949653095,-4.104850010485
"Pin","12","0",57.535961753596,-4.0996975099697
"Target","12","1",57.534438053444,-4.1022184102218
"Target","12","2",57.535519853552,-4.1001187100119
"Tee","12","0",57.532625453263,-4.1048635104864
"Pin","13","0",57.531754253175,-4.1009314100931
"Target","13","1",57.532322153232,-4.0985887098589
"Tee","13","0",57.534576653458,-4.0977184097718
"Pin","14","0",57.528912052891,-4.1030230103023
"Target","14","1",57.529650052965,-4.1018161101816
"Tee","14","0",57.531506753151,-4.0998424099842
"Pin","15","0",57.532860353286,-4.1020312102031
"Target","15","1",57.531436553144,-4.101979910198
"Tee","15","0",57.529269352927,-4.103640410364
"Pin","16","0",57.534567653457,-4.0991773099177
"Target","16","1",57.534092453409,-4.0993510099351
"Tee","16","0",57.53210255321,-4.1010061101006
"Pin","17","0",57.533520053352,-4.1018971101897
"Tee","17","0",57.534876353488,-4.0996273099627
"Pin","18","0",57.528854452885,-4.1058076105808
"Target","18","1",57.530920853092,-4.1037160103716
"Target","18","2",57.529285552929,-4.1044765104477
"Tee","18","0",57.533214053321,-4.1024974102497
