"type","hole","numPoint","lat","lon"
"Pin","1","0",42.416653241665,-82.890893889089
"Target","1","1",42.415891841589,-82.891213389121
"Tee","1","0",42.414045041405,-82.893076389308
"Pin","2","0",42.418293041829,-82.895920389592
"Target","2","1",42.417634241763,-82.894260789426
"Tee","2","0",42.41680354168,-82.891351989135
"Pin","3","0",42.420725742073,-82.899275589928
"Target","3","1",42.419481941948,-82.897445889745
"Target","3","2",42.42050164205,-82.898740989874
"Tee","3","0",42.417539741754,-82.895770089577
"Pin","4","0",42.421880442188,-82.903060090306
"Target","4","1",42.42139894214,-82.901872990187
"Tee","4","0",42.421175742118,-82.898768889877
"Pin","5","0",42.42029824203,-82.90369819037
"Tee","5","0",42.422314242231,-82.903394890339
"Pin","6","0",42.416983541698,-82.9039987904
"Target","6","1",42.417855641786,-82.903651390365
"Tee","6","0",42.420090342009,-82.903186090319
"Pin","7","0",42.415726241573,-82.899511389951
"Target","7","1",42.416227541623,-82.901310490131
"Tee","7","0",42.416770241677,-82.904341690434
"Pin","8","0",42.415035041504,-82.90039969004
"Tee","8","0",42.41550484155,-82.898682489868
"Pin","9","0",42.414177341418,-82.895107689511
"Target","9","1",42.414237641424,-82.897551189755
"Target","9","2",42.414165641417,-82.895548689555
"Tee","9","0",42.414716441472,-82.900315990032
"Pin","10","0",42.414506741451,-82.901059390106
"Target","10","1",42.413514941351,-82.898007489801
"Target","10","2",42.414163841416,-82.900234990023
"Tee","10","0",42.413467241347,-82.894834089483
"Pin","11","0",42.41610064161,-82.904564890456
"Target","11","1",42.416022341602,-82.903217590322
"Tee","11","0",42.414746141475,-82.900688590069
"Pin","12","0",42.419738441974,-82.903931290393
"Target","12","1",42.418242641824,-82.904308390431
"Tee","12","0",42.4159998416,-82.905229990523
"Pin","13","0",42.420910242091,-82.902070090207
"Tee","13","0",42.419571941957,-82.902835090283
"Pin","14","0",42.417082541708,-82.903180690318
"Target","14","1",42.418489241849,-82.902376090238
"Tee","14","0",42.420738342074,-82.901483290148
"Pin","15","0",42.419522441952,-82.901311390131
"Target","15","1",42.41870254187,-82.901153890115
"Tee","15","0",42.416894441689,-82.90270099027
"Pin","16","0",42.420787842079,-82.900860490086
"Tee","16","0",42.419080541908,-82.900657090066
"Pin","17","0",42.41750284175,-82.897129989713
"Target","17","1",42.419258741926,-82.898690589869
"Target","17","2",42.41790244179,-82.897642089764
"Tee","17","0",42.420969642097,-82.900428490043
"Pin","18","0",42.41539594154,-82.893616389362
"Target","18","1",42.416356241636,-82.894323789432
"Tee","18","0",42.417821441782,-82.896730389673
