"type","hole","numPoint","lat","lon"
"Pin","1","0",33.590767259077,-82.164715316472
"Target","1","1",33.592244159224,-82.165242716524
"Tee","1","0",33.594618359462,-82.164975416498
"Pin","2","0",33.591254159125,-82.166871716687
"Tee","2","0",33.590112059011,-82.165538816554
"Pin","3","0",33.590339759034,-82.17090281709
"Target","3","1",33.591418859142,-82.169921816992
"Tee","3","0",33.591781559178,-82.167142616714
"Pin","4","0",33.590670959067,-82.172828817283
"Tee","4","0",33.591264959126,-82.170859617086
"Pin","5","0",33.59159615916,-82.178313417831
"Target","5","1",33.590658359066,-82.176292017629
"Target","5","2",33.591362159136,-82.178021817802
"Tee","5","0",33.590166059017,-82.173491217349
"Pin","6","0",33.594643559464,-82.181210518121
"Target","6","1",33.594252959425,-82.180378918038
"Tee","6","0",33.592324259232,-82.179391617939
"Pin","7","0",33.594164759416,-82.175841117584
"Target","7","1",33.594351959435,-82.177332417733
"Tee","7","0",33.59479745948,-82.179893817989
"Pin","8","0",33.595615559562,-82.169507816951
"Target","8","1",33.595067459507,-82.171922517192
"Target","8","2",33.595593059559,-82.169947016995
"Tee","8","0",33.594015359402,-82.174492017449
"Pin","9","0",33.595089959509,-82.165409216541
"Target","9","1",33.595780259578,-82.166815016682
"Tee","9","0",33.596158259616,-82.169641916964
