"type","hole","numPoint","lat","lon"
"Pin","1","0",19.433448143345,-99.243854124385
"Target","1","1",19.432818143282,-99.244135824414
"Tee","1","0",19.430864243086,-99.244431924443
"Pin","2","0",19.433917943392,-99.240487224049
"Target","2","1",19.434180743418,-99.241648224165
"Tee","2","0",19.433685743369,-99.243764124376
"Pin","3","0",19.434626243463,-99.241148724115
"Tee","3","0",19.434237443424,-99.239582723958
"Pin","4","0",19.436778143678,-99.238370423837
"Target","4","1",19.435429043543,-99.239478323948
"Tee","4","0",19.434819743482,-99.241968624197
"Pin","5","0",19.4379958438,-99.235243823524
"Target","5","1",19.437092243709,-99.236277023628
"Tee","5","0",19.436021243602,-99.238488323849
"Pin","6","0",19.434315743432,-99.238032023803
"Target","6","1",19.436234543623,-99.236087123609
"Target","6","2",19.434823343482,-99.237357023736
"Tee","6","0",19.438179443818,-99.234622823462
"Pin","7","0",19.435446143545,-99.23779982378
"Tee","7","0",19.433738843374,-99.238690823869
"Pin","8","0",19.432476143248,-99.240814824081
"Target","8","1",19.433970143397,-99.239312723931
"Target","8","2",19.432978343298,-99.240418824042
"Tee","8","0",19.436027543603,-99.238217423822
"Pin","9","0",19.431979343198,-99.243630024363
"Target","9","1",19.432138643214,-99.24269672427
"Tee","9","0",19.433243843324,-99.24060422406
"Pin","10","0",19.430977643098,-99.239952623995
"Target","10","1",19.430961443096,-99.241426824143
"Tee","10","0",19.430547443055,-99.243873024387
"Pin","11","0",19.434022343402,-99.235481423548
"Target","11","1",19.432308743231,-99.237753023775
"Target","11","2",19.433625443363,-99.236375123638
"Tee","11","0",19.431351143135,-99.240069624007
"Pin","12","0",19.436085143609,-99.232786823279
"Target","12","1",19.435238243524,-99.233478923348
"Tee","12","0",19.43379644338,-99.235383323538
"Pin","13","0",19.43539664354,-99.23430422343
"Tee","13","0",19.436691743669,-99.232931723293
"Pin","14","0",19.438558343856,-99.233980223398
"Target","14","1",19.436978843698,-99.23409722341
"Tee","14","0",19.434691943469,-99.234814523481
"Pin","15","0",19.434114143411,-99.236727023673
"Target","15","1",19.435847543585,-99.235329323533
"Target","15","2",19.434362543436,-99.236424623642
"Tee","15","0",19.438046243805,-99.234349223435
"Pin","16","0",19.432925243293,-99.239408123941
"Target","16","1",19.433450843345,-99.238279523828
"Tee","16","0",19.434912443491,-99.236625323663
"Pin","17","0",19.431778643178,-99.240023724002
"Tee","17","0",19.433152943315,-99.239679923968
"Pin","18","0",19.431158543116,-99.24360302436
"Target","18","1",19.431394343139,-99.24270122427
"Tee","18","0",19.431523943152,-99.240264024026
