"type","hole","numPoint","lat","lon"
"Pin","1","0",51.45540094554,-2.838520183852
"Target","1","1",51.454818645482,-2.8404119840412
"Tee","1","0",51.453420045342,-2.8433477843348
"Pin","2","0",51.452688345269,-2.8415747841575
"Target","2","1",51.454038345404,-2.8401032840103
"Target","2","2",51.453228345323,-2.8413218841322
"Tee","2","0",51.455454045545,-2.8373582837358
"Pin","3","0",51.452549745255,-2.8382384838238
"Tee","3","0",51.452216745222,-2.8404164840416
"Pin","4","0",51.455617845562,-2.8326431832643
"Target","4","1",51.453826845383,-2.8347608834761
"Target","4","2",51.455189445519,-2.8328519832852
"Tee","4","0",51.4520043452,-2.837229583723
"Pin","5","0",51.453862845386,-2.832670183267
"Tee","5","0",51.455382045538,-2.8320986832099
"Pin","6","0",51.451752345175,-2.8370153837015
"Target","6","1",51.452428245243,-2.8358453835845
"Tee","6","0",51.453515445352,-2.8329680832968
"Pin","7","0",51.451543545154,-2.8404884840488
"Target","7","1",51.451856745186,-2.8398008839801
"Tee","7","0",51.452469645247,-2.8372808837281
"Pin","8","0",51.450658845066,-2.8452305845231
"Target","8","1",51.450490545049,-2.8443881844388
"Tee","8","0",51.451091745109,-2.8408214840821
"Pin","9","0",51.452124945212,-2.8483346848335
"Target","9","1",51.452381445238,-2.8473824847382
"Tee","9","0",51.452033145203,-2.8440641844064
"Pin","10","0",51.453731445373,-2.8454078845408
"Target","10","1",51.453341745334,-2.8462034846203
"Tee","10","0",51.452136645214,-2.8490366849037
"Pin","11","0",51.456011145601,-2.8402310840231
"Target","11","1",51.455363145536,-2.8416782841678
"Tee","11","0",51.454071645407,-2.8447373844737
"Pin","12","0",51.458437545844,-2.8364546836455
"Target","12","1",51.457211745721,-2.8382843838284
"Target","12","2",51.458221545822,-2.8367336836734
"Tee","12","0",51.455982345598,-2.8414091841409
"Pin","13","0",51.459510345951,-2.8342820834282
"Target","13","1",51.459163845916,-2.8350254835025
"Tee","13","0",51.45760324576,-2.8367417836742
"Pin","14","0",51.459634545963,-2.8316585831659
"Tee","14","0",51.459834345983,-2.8338689833869
"Pin","15","0",51.457267545727,-2.8362134836213
"Target","15","1",51.458027145803,-2.8345835834584
"Tee","15","0",51.459286245929,-2.831490283149
"Pin","16","0",51.458071245807,-2.8318682831868
"Target","16","1",51.457809345781,-2.8334315833432
"Tee","16","0",51.456809445681,-2.8367606836761
"Pin","17","0",51.455888745589,-2.8377560837756
"Target","17","1",51.456449445645,-2.836370083637
"Tee","17","0",51.457451145745,-2.833190383319
"Pin","18","0",51.454174245417,-2.8433639843364
"Target","18","1",51.454708845471,-2.8420652842065
"Tee","18","0",51.455992245599,-2.8391582839158
