"type","hole","numPoint","lat","lon"
"Pin","1","0",53.29480312948,-3.8454132845413
"Target","1","1",53.293710529371,-3.8450469845047
"Tee","1","0",53.291707129171,-3.844010184401
"Pin","2","0",53.294753629475,-3.8434368843437
"Tee","2","0",53.295208129521,-3.8454186845419
"Pin","3","0",53.295917329592,-3.846679584668
"Target","3","1",53.295708529571,-3.845389884539
"Tee","3","0",53.294831929483,-3.8419023841902
"Pin","4","0",53.293135429314,-3.8467947846795
"Target","4","1",53.294157829416,-3.8477109847711
"Tee","4","0",53.296268329627,-3.8471376847138
"Pin","5","0",53.292170629217,-3.8537607853761
"Target","5","1",53.292481129248,-3.8513343851334
"Tee","5","0",53.293243429324,-3.8476983847698
"Pin","6","0",53.293162429316,-3.8527977852798
"Tee","6","0",53.292178729218,-3.8546940854694
"Pin","7","0",53.29609822961,-3.8491176849118
"Target","7","1",53.294911129491,-3.8508231850823
"Tee","7","0",53.293728529373,-3.853720285372
"Pin","8","0",53.293264129326,-3.8518158851816
"Target","8","1",53.294218129422,-3.8502714850271
"Tee","8","0",53.296245829625,-3.8484471848447
"Pin","9","0",53.296141429614,-3.8477226847723
"Target","9","1",53.293958029396,-3.8492490849249
"Target","9","2",53.29530442953,-3.8482176848218
"Tee","9","0",53.292833929283,-3.8520462852046
"Pin","10","0",53.292023029202,-3.8449758844976
"Target","10","1",53.294023729402,-3.8462871846287
"Target","10","2",53.292481129248,-3.8453322845332
"Tee","10","0",53.296270129627,-3.8471322847132
"Pin","11","0",53.292575629258,-3.8488863848886
"Target","11","1",53.292315529232,-3.8473716847372
"Tee","11","0",53.291259829126,-3.8439489843949
"Pin","12","0",53.29140292914,-3.8550909855091
"Target","12","1",53.291671129167,-3.8518113851811
"Target","12","2",53.291427229143,-3.8541846854185
"Tee","12","0",53.292059929206,-3.8482239848224
"Pin","13","0",53.291222929122,-3.8568612856861
"Tee","13","0",53.291891629189,-3.8546913854691
"Pin","14","0",53.291094229109,-3.8498124849812
"Target","14","1",53.290916029092,-3.8530893853089
"Target","14","2",53.291068129107,-3.850349785035
"Tee","14","0",53.290793629079,-3.8569359856936
"Pin","15","0",53.290558729056,-3.8509545850955
"Tee","15","0",53.290880029088,-3.8488116848812
"Pin","16","0",53.290215829022,-3.8457462845746
"Target","16","1",53.290393129039,-3.847320384732
"Tee","16","0",53.290135729014,-3.8511480851148
"Pin","17","0",53.29149832915,-3.8486262848626
"Target","17","1",53.290989829099,-3.8471610847161
"Tee","17","0",53.289986328999,-3.8439246843925
"Pin","18","0",53.291042929104,-3.8444016844402
"Target","18","1",53.291393929139,-3.8458983845898
"Tee","18","0",53.291791729179,-3.8494128849413
