"type","hole","numPoint","lat","lon"
"Pin","1","0",56.28250372825,-2.5982669598267
"Target","1","1",56.282131128213,-2.597829559783
"Tee","1","0",56.280848628085,-2.5948415594842
"Pin","2","0",56.286246828625,-2.599629559963
"Target","2","1",56.284321728432,-2.5991651599165
"Target","2","2",56.285908428591,-2.5995809599581
"Tee","2","0",56.282537028254,-2.5973282597328
"Pin","3","0",56.286065028607,-2.6020649602065
"Tee","3","0",56.286428628643,-2.599570159957
"Pin","4","0",56.286717528672,-2.6060933606093
"Target","4","1",56.286235128624,-2.6050772605077
"Tee","4","0",56.286308928631,-2.6015978601598
"Pin","5","0",56.286258528626,-2.6132654613265
"Target","5","1",56.285853528585,-2.6109776610978
"Tee","5","0",56.28660412866,-2.6071337607134
"Pin","6","0",56.285391828539,-2.6103953610395
"Tee","6","0",56.285973228597,-2.6129810612981
"Pin","7","0",56.286407928641,-2.6063021606302
"Target","7","1",56.285870628587,-2.6070860607086
"Tee","7","0",56.284886028489,-2.6105888610589
"Pin","8","0",56.285782428578,-2.6008364600836
"Target","8","1",56.285351328535,-2.602730060273
"Tee","8","0",56.285761728576,-2.6067368606737
"Pin","9","0",56.283483828348,-2.6018120601812
"Target","9","1",56.284163328416,-2.6015744601574
"Tee","9","0",56.285964228596,-2.6012549601255
"Pin","10","0",56.281872828187,-2.6012972601297
"Target","10","1",56.282914128291,-2.6010029601003
"Tee","10","0",56.284763628476,-2.6010128601013
"Pin","11","0",56.285568228557,-2.6006969600697
"Target","11","1",56.283826728383,-2.6003657600366
"Target","11","2",56.28530182853,-2.6005889600589
"Tee","11","0",56.281583928158,-2.5994306599431
"Pin","12","0",56.281950228195,-2.5986746598675
"Target","12","1",56.283881628388,-2.5995845599585
"Target","12","2",56.282328228233,-2.5988888598889
"Tee","12","0",56.286133428613,-2.600450360045
"Pin","13","0",56.280678528068,-2.5957991595799
"Tee","13","0",56.281655028166,-2.5983416598342
"Pin","14","0",56.282093328209,-2.5966676596668
"Tee","14","0",56.281348128135,-2.5950161595016
"Pin","15","0",56.28060382806,-2.5901768590177
"Target","15","1",56.280963828096,-2.5904873590487
"Tee","15","0",56.28229852823,-2.5924619592462
"Pin","16","0",56.279415827942,-2.5892057589206
"Tee","16","0",56.28050302805,-2.590589959059
"Pin","17","0",56.28210232821,-2.5928858592886
"Target","17","1",56.280958428096,-2.5913594591359
"Tee","17","0",56.278820027882,-2.589629658963
"Pin","18","0",56.280478728048,-2.5920173592017
"Tee","18","0",56.281920528192,-2.5934384593438
