"type","hole","numPoint","lat","lon"
"Pin","1","0",39.951071495107,-86.195748219575
"Target","1","1",39.950209295021,-86.19550161955
"Tee","1","0",39.948272494827,-86.19459981946
"Pin","2","0",39.950551295055,-86.191386819139
"Target","2","1",39.950407295041,-86.193048219305
"Tee","2","0",39.951678995168,-86.195552019555
"Pin","3","0",39.952539395254,-86.191976319198
"Tee","3","0",39.950975195098,-86.191373319137
"Pin","4","0",39.953766995377,-86.195442219544
"Target","4","1",39.953518595352,-86.193437919344
"Tee","4","0",39.953323295332,-86.190337419034
"Pin","5","0",39.954365495437,-86.189039618904
"Target","5","1",39.953992895399,-86.192350719235
"Target","5","2",39.953991095399,-86.189776718978
"Tee","5","0",39.954306995431,-86.195435019543
"Pin","6","0",39.955261895526,-86.187331418733
"Tee","6","0",39.954682295468,-86.189348318935
"Pin","7","0",39.952817495282,-86.190219519022
"Target","7","1",39.953532995353,-86.188669718867
"Tee","7","0",39.955380695538,-86.186789618679
"Pin","8","0",39.950442395044,-86.188621118862
"Target","8","1",39.950949995095,-86.190134919014
"Tee","8","0",39.952977695298,-86.191668519167
"Pin","9","0",39.94849929485,-86.193338919334
"Target","9","1",39.949958194996,-86.191482219148
"Target","9","2",39.94890159489,-86.192910519291
"Tee","9","0",39.949738594974,-86.188492418849
"Pin","10","0",39.943806694381,-86.193894219389
"Target","10","1",39.94520079452,-86.193456819346
"Tee","10","0",39.94750389475,-86.192891619289
"Pin","11","0",39.947123194712,-86.191834119183
"Target","11","1",39.945051394505,-86.192366919237
"Target","11","2",39.946694794669,-86.192438019244
"Tee","11","0",39.943020994302,-86.193784419378
"Pin","12","0",39.94390119439,-86.191464219146
"Target","12","1",39.945051394505,-86.190994419099
"Tee","12","0",39.947353594735,-86.190933219093
"Pin","13","0",39.942494494249,-86.189707418971
"Tee","13","0",39.943459294346,-86.191370619137
"Pin","14","0",39.941986894199,-86.193491919349
"Target","14","1",39.943133494313,-86.191745919175
"Tee","14","0",39.941819494182,-86.189279918928
"Pin","15","0",39.942371194237,-86.198926119893
"Target","15","1",39.942827494283,-86.196194619619
"Target","15","2",39.942353194235,-86.198080119808
"Tee","15","0",39.942792394279,-86.193191319319
"Pin","16","0",39.943728394373,-86.194706919471
"Target","16","1",39.943677994368,-86.196777819678
"Tee","16","0",39.942930994293,-86.199618219962
"Pin","17","0",39.945287194529,-86.194819419482
"Tee","17","0",39.943588894359,-86.194291119429
"Pin","18","0",39.94709709471,-86.193776319378
"Target","18","1",39.946287094629,-86.195192919519
"Tee","18","0",39.944059594406,-86.196142419614
