"type","hole","numPoint","lat","lon"
"Pin","1","0",55.046759504676,-8.4255641425564
"Target","1","1",55.047513704751,-8.4277808427781
"Tee","1","0",55.046878304688,-8.4309659430966
"Pin","2","0",55.049266004927,-8.4272642427264
"Target","2","1",55.048307504831,-8.4265712426571
"Tee","2","0",55.046485004648,-8.4241160424116
"Pin","3","0",55.049839304984,-8.4239090423909
"Target","3","1",55.049767304977,-8.4246434424643
"Tee","3","0",55.049411804941,-8.4283964428396
"Pin","4","0",55.050235305024,-8.4281849428185
"Target","4","1",55.050559305056,-8.4265676426568
"Tee","4","0",55.049846504985,-8.4234320423432
"Pin","5","0",55.051336905134,-8.4274388427439
"Target","5","1",55.051106505111,-8.428190342819
"Tee","5","0",55.049432504943,-8.4285278428528
"Pin","6","0",55.052187405219,-8.4280022428002
"Tee","6","0",55.051583505158,-8.4261968426197
"Pin","7","0",55.049479304948,-8.4295610429561
"Target","7","1",55.050090405009,-8.4295223429522
"Tee","7","0",55.052044305204,-8.4300056430006
"Pin","8","0",55.048087904809,-8.4274010427401
"Tee","8","0",55.049390204939,-8.429290142929
"Pin","9","0",55.04789710479,-8.4308264430826
"Target","9","1",55.048457804846,-8.4297014429701
"Tee","9","0",55.047793604779,-8.4269186426919
