"type","hole","numPoint","lat","lon"
"Pin","1","0",44.698605269861,-86.235621823562
"Target","1","1",44.700291870029,-86.235520123552
"Tee","1","0",44.702591370259,-86.235677623568
"Pin","2","0",44.701964070196,-86.236418323642
"Target","2","1",44.700784170078,-86.236419223642
"Tee","2","0",44.69849636985,-86.236053823605
"Pin","3","0",44.701847970185,-86.237654923765
"Tee","3","0",44.702557170256,-86.236010623601
"Pin","4","0",44.69829656983,-86.238408223841
"Target","4","1",44.699210969921,-86.237916823792
"Tee","4","0",44.701493370149,-86.237485723749
"Pin","5","0",44.695857569586,-86.236727023673
"Target","5","1",44.696105069611,-86.237519923752
"Tee","5","0",44.698194869819,-86.238735823874
"Pin","6","0",44.698793369879,-86.237271523727
"Target","6","1",44.697941969794,-86.237434423743
"Tee","6","0",44.696065469607,-86.23640482364
"Pin","7","0",44.696141969614,-86.235509323551
"Target","7","1",44.697124769712,-86.236077223608
"Tee","7","0",44.698755569876,-86.236678423668
"Pin","8","0",44.700214470021,-86.233843423384
"Target","8","1",44.698029269803,-86.235187123519
"Target","8","2",44.699706869971,-86.234090923409
"Tee","8","0",44.695932269593,-86.235176323518
"Pin","9","0",44.701909170191,-86.234768623477
"Tee","9","0",44.700646470065,-86.233966723397
"Pin","10","0",44.700349470035,-86.230640323064
"Target","10","1",44.700844470084,-86.23169692317
"Tee","10","0",44.702091870209,-86.234420323442
"Pin","11","0",44.702057670206,-86.228146422815
"Tee","11","0",44.701113570111,-86.229943722994
"Pin","12","0",44.704188870419,-86.222175822218
"Target","12","1",44.704342770434,-86.22410002241
"Tee","12","0",44.70340407034,-86.226737922674
"Pin","13","0",44.70410337041,-86.217017921702
"Target","13","1",44.704471470447,-86.218772021877
"Tee","13","0",44.70460287046,-86.222006622201
"Pin","14","0",44.704116870412,-86.21489572149
"Tee","14","0",44.704059270406,-86.216545421655
"Pin","15","0",44.705069970507,-86.219136521914
"Target","15","1",44.705049270505,-86.218160921816
"Tee","15","0",44.704652370465,-86.215440221544
"Pin","16","0",44.704190670419,-86.226729822673
"Target","16","1",44.705207670521,-86.223521322352
"Target","16","2",44.704477770448,-86.22610162261
"Tee","16","0",44.705167170517,-86.220282222028
"Pin","17","0",44.701643670164,-86.230278523028
"Target","17","1",44.702043270204,-86.229608022961
"Tee","17","0",44.70359847036,-86.227993422799
"Pin","18","0",44.703563370356,-86.232850723285
"Target","18","1",44.702441970244,-86.23280392328
"Tee","18","0",44.700938970094,-86.230664623066
