"type","hole","numPoint","lat","lon"
"Pin","1","0",34.600044460004,-83.20279702028
"Target","1","1",34.600282060028,-83.205681520568
"Target","1","2",34.600476460048,-83.20359712036
"Tee","1","0",34.600735660074,-83.208526420853
"Pin","2","0",34.599529659953,-83.202168820217
"Tee","2","0",34.600848160085,-83.201182420118
"Pin","3","0",34.595944059594,-83.202576520258
"Target","3","1",34.596065559607,-83.201363320136
"Tee","3","0",34.598312859831,-83.201061820106
"Pin","4","0",34.595937759594,-83.207010820701
"Tee","4","0",34.595732559573,-83.204991220499
"Pin","5","0",34.591658259166,-83.210556821056
"Target","5","1",34.593180159318,-83.208739720874
"Target","5","2",34.591816659182,-83.210107721011
"Tee","5","0",34.59469845947,-83.206506820651
"Pin","6","0",34.593882159388,-83.209539820954
"Target","6","1",34.594068459407,-83.210466821047
"Tee","6","0",34.592884059288,-83.212806821281
"Pin","7","0",34.597646859765,-83.213485421349
"Target","7","1",34.596283359628,-83.212906721291
"Tee","7","0",34.595515659552,-83.210269721027
"Pin","8","0",34.596012459601,-83.210288621029
"Target","8","1",34.596522759652,-83.211766421177
"Tee","8","0",34.598593659859,-83.212989521299
"Pin","9","0",34.598516259852,-83.208021520802
"Target","9","1",34.597451559745,-83.207441020744
"Tee","9","0",34.59579825958,-83.209008820901
"Pin","10","0",34.604674060467,-83.217028721703
"Target","10","1",34.604223160422,-83.214140621414
"Target","10","2",34.604678560468,-83.216216921622
"Tee","10","0",34.602673360267,-83.211808721181
"Pin","11","0",34.599909459991,-83.215561721556
"Target","11","1",34.601077660108,-83.21610352161
"Tee","11","0",34.603331260333,-83.216677721668
"Pin","12","0",34.598365959837,-83.215457321546
"Tee","12","0",34.59950355995,-83.21410462141
"Pin","13","0",34.599562959956,-83.218933121893
"Target","13","1",34.598420859842,-83.217985421799
"Tee","13","0",34.596394959639,-83.216457221646
"Pin","14","0",34.602934360293,-83.222610522261
"Target","14","1",34.60170496017,-83.221952622195
"Tee","14","0",34.599834759983,-83.220236322024
"Pin","15","0",34.603192660319,-83.219265221927
"Target","15","1",34.603720960372,-83.220415422042
"Tee","15","0",34.604678560468,-83.222849022285
"Pin","16","0",34.60720126072,-83.219480321948
"Target","16","1",34.605113260511,-83.219129321913
"Target","16","2",34.606393960639,-83.219809721981
"Tee","16","0",34.603243060324,-83.217412121741
"Pin","17","0",34.607877160788,-83.213939021394
"Tee","17","0",34.607760160776,-83.216385221639
"Pin","18","0",34.60460296046,-83.21120032112
"Target","18","1",34.605563260556,-83.212476521248
"Tee","18","0",34.606866460687,-83.214783221478
