"type","hole","numPoint","lat","lon"
"Pin","1","0",41.834185783419,3.0245205024521
"Target","1","1",41.835365683537,3.0236007023601
"Tee","1","0",41.836317883632,3.0212805021281
"Pin","2","0",41.833294783329,3.0285012028501
"Target","2","1",41.833741183374,3.0272376027238
"Tee","2","0",41.833634083363,3.0241506024151
"Pin","3","0",41.833044583304,3.0253386025339
"Tee","3","0",41.833240783324,3.0273825027383
"Pin","4","0",41.82919978292,3.023370302337
"Target","4","1",41.831057383106,3.0249093024909
"Target","4","2",41.829791982979,3.024249602425
"Tee","4","0",41.833152583315,3.0248130024813
"Pin","5","0",41.828382582838,3.0217953021795
"Tee","5","0",41.828993682899,3.023630402363
"Pin","6","0",41.831975383198,3.0243351024335
"Target","6","1",41.830840483084,3.0240651024065
"Tee","6","0",41.828939682894,3.0224208022421
"Pin","7","0",41.829969282997,3.0220365022037
"Target","7","1",41.830586683059,3.0227718022772
"Tee","7","0",41.832193183219,3.0238878023888
"Pin","8","0",41.834611483461,3.0229356022936
"Target","8","1",41.832586483259,3.022069802207
"Target","8","2",41.834213683421,3.0223947022395
"Tee","8","0",41.830286983029,3.0219240021924
"Pin","9","0",41.835626683563,3.0191619019162
"Target","9","1",41.835605083561,3.020650502065
"Tee","9","0",41.834765383477,3.0232290023229
"Pin","10","0",41.836440283644,3.0154737015474
"Target","10","1",41.83569508357,3.0163143016314
"Tee","10","0",41.835377383538,3.0189279018928
"Pin","11","0",41.836008283601,3.0176112017611
"Tee","11","0",41.836746283675,3.0155727015573
"Pin","12","0",41.837339383734,3.0146637014664
"Target","12","1",41.837075683708,3.0163323016332
"Tee","12","0",41.836020883602,3.0183726018373
"Pin","13","0",41.838410383841,3.0084753008475
"Target","13","1",41.837755183776,3.0107955010796
"Target","13","2",41.838008983801,3.0091755009176
"Tee","13","0",41.838288883829,3.0138591013859
"Pin","14","0",41.83719538372,3.0088938008894
"Tee","14","0",41.83849858385,3.0080541008054
"Pin","15","0",41.837627383763,3.0138348013835
"Target","15","1",41.837368183737,3.012469501247
"Tee","15","0",41.837033383703,3.0094113009411
"Pin","16","0",41.839223983922,3.0097767009777
"Target","16","1",41.838982783898,3.0113193011319
"Tee","16","0",41.838622783862,3.0140355014036
"Pin","17","0",41.838494083849,3.0150444015044
"Target","17","1",41.839548883955,3.0128691012869
"Target","17","2",41.83890178389,3.0145323014532
"Tee","17","0",41.839493983949,3.0097794009779
"Pin","18","0",41.837057683706,3.0182574018257
"Target","18","1",41.837559883756,3.017149501715
"Tee","18","0",41.838953983895,3.0150471015047
