"type","hole","numPoint","lat","lon"
"Pin","1","0",51.967252596725,4.5253480525348
"Target","1","1",51.968427096843,4.5260185526019
"Tee","1","0",51.970552897055,4.5256378525638
"Pin","2","0",51.969809496981,4.5265225526523
"Target","2","1",51.9690003969,4.5272911527291
"Tee","2","0",51.967153596715,4.5258250525825
"Pin","3","0",51.970136197014,4.5286978528698
"Target","3","1",51.970001197,4.5274657527466
"Tee","3","0",51.970954297095,4.5251284525128
"Pin","4","0",51.971193697119,4.5282523528252
"Tee","4","0",51.970349497035,4.5294781529478
"Pin","5","0",51.971946997195,4.5338476533848
"Target","5","1",51.971956897196,4.5309361530936
"Target","5","2",51.97209909721,4.5333274533327
"Tee","5","0",51.971288197129,4.527290252729
"Pin","6","0",51.973533697353,4.5318712531871
"Target","6","1",51.972846097285,4.5319648531965
"Tee","6","0",51.972333997233,4.5345721534572
"Pin","7","0",51.973427497343,4.5378283537828
"Target","7","1",51.974079097408,4.5363514536351
"Tee","7","0",51.975607297561,4.5335551533555
"Pin","8","0",51.974987197499,4.533660453366
"Target","8","1",51.974073697407,4.5350617535062
"Tee","8","0",51.972847897285,4.5379867537987
"Pin","9","0",51.971875897188,4.5270112527011
"Target","9","1",51.972377197238,4.5287752528775
"Tee","9","0",51.973877497388,4.530959553096
"Pin","10","0",51.975087997509,4.5268042526804
"Target","10","1",51.973125097313,4.5259645525965
"Target","10","2",51.97469559747,4.5264892526489
"Tee","10","0",51.970818397082,4.526640452664
"Pin","11","0",51.976059997606,4.526850152685
"Tee","11","0",51.975281497528,4.5277969527797
"Pin","12","0",51.972350197235,4.5216463521646
"Target","12","1",51.973975597398,4.5235984523598
"Target","12","2",51.973013497301,4.5218614521861
"Tee","12","0",51.975753997575,4.5261769526177
"Pin","13","0",51.97060059706,4.5220135522014
"Tee","13","0",51.971917297192,4.5213646521365
"Pin","14","0",51.973675897368,4.5239179523918
"Target","14","1",51.972865897287,4.5227677522768
"Tee","14","0",51.970810297081,4.522729952273
"Pin","15","0",51.974118697412,4.5254389525439
"Tee","15","0",51.975405697541,4.526380352638
"Pin","16","0",51.971209897121,4.5249727524973
"Target","16","1",51.971919997192,4.5247567524757
"Tee","16","0",51.974006197401,4.5250960525096
"Pin","17","0",51.967507296751,4.5231457523146
"Target","17","1",51.968292996829,4.5231547523155
"Tee","17","0",51.970361197036,4.5237172523717
"Pin","18","0",51.97010469701,4.5249430524943
"Target","18","1",51.9689967969,4.5252175525218
"Tee","18","0",51.967305696731,4.5246505524651
