"type","hole","numPoint","lat","lon"
"Pin","1","0",53.225630022563,-2.6511437651144
"Target","1","1",53.225786622579,-2.6534081653408
"Tee","1","0",53.226420222642,-2.6568191656819
"Pin","2","0",53.227994322799,-2.6464547646455
"Target","2","1",53.227107822711,-2.6480819648082
"Tee","2","0",53.225378022538,-2.6506208650621
"Pin","3","0",53.226526422653,-2.6524127652413
"Target","3","1",53.226716322672,-2.6507081650708
"Tee","3","0",53.227920522792,-2.6474285647429
"Pin","4","0",53.227539822754,-2.6500277650028
"Tee","4","0",53.226774822677,-2.65259996526
"Pin","5","0",53.229590022959,-2.6449958644996
"Target","5","1",53.228753922875,-2.6464250646425
"Tee","5","0",53.227889922789,-2.649989964999
"Pin","6","0",53.230456723046,-2.6456186645619
"Tee","6","0",53.229766422977,-2.6439122643912
"Pin","7","0",53.229673722967,-2.650250065025
"Target","7","1",53.230563823056,-2.6481080648108
"Target","7","2",53.229836622984,-2.6498576649858
"Tee","7","0",53.231320723132,-2.6444756644476
"Pin","8","0",53.228969922897,-2.6552792655279
"Target","8","1",53.229225522923,-2.6533010653301
"Tee","8","0",53.229344322934,-2.6496659649666
"Pin","9","0",53.226872922687,-2.6571035657104
"Target","9","1",53.227461522746,-2.6565293656529
"Tee","9","0",53.228812422881,-2.6541263654126
"Pin","10","0",53.229586422959,-2.655389965539
"Target","10","1",53.228957322896,-2.6561153656115
"Tee","10","0",53.22689722269,-2.6578334657833
"Pin","11","0",53.231885923189,-2.6495615649562
"Target","11","1",53.230971523097,-2.6521193652119
"Target","11","2",53.231711323171,-2.6498981649898
"Tee","11","0",53.22989692299,-2.6555213655521
"Pin","12","0",53.230407223041,-2.6508971650897
"Tee","12","0",53.231428723143,-2.6497973649797
"Pin","13","0",53.231510623151,-2.647919964792
"Target","13","1",53.231174923117,-2.6486759648676
"Tee","13","0",53.229838422984,-2.6511032651103
"Pin","14","0",53.232154123215,-2.6440706644071
"Target","14","1",53.231912923191,-2.6457626645763
"Tee","14","0",53.232023623202,-2.6490539649054
"Pin","15","0",53.230145323015,-2.6429384642938
"Target","15","1",53.230677223068,-2.6438879643888
"Tee","15","0",53.23240162324,-2.6437142643714
"Pin","16","0",53.229483822948,-2.6472386647239
"Tee","16","0",53.229824022982,-2.6446232644623
"Pin","17","0",53.228172522817,-2.650320265032
"Target","17","1",53.228584722858,-2.6493311649331
"Tee","17","0",53.230360423036,-2.6471045647105
"Pin","18","0",53.226849522685,-2.6563475656348
"Target","18","1",53.226979122698,-2.6537150653715
"Target","18","2",53.226867522687,-2.6559740655974
"Tee","18","0",53.227936722794,-2.6502167650217
