"type","hole","numPoint","lat","lon"
"Pin","1","0",43.839972783997,-79.955791995579
"Target","1","1",43.841408284141,-79.955523795552
"Tee","1","0",43.843062484306,-79.957825095783
"Pin","2","0",43.837465383747,-79.953614895361
"Target","2","1",43.837853283785,-79.954362795436
"Tee","2","0",43.839637983964,-79.956379695638
"Pin","3","0",43.839233883923,-79.95409999541
"Tee","3","0",43.838365383837,-79.952412495241
"Pin","4","0",43.84270248427,-79.954663395466
"Target","4","1",43.841517184152,-79.954261095426
"Tee","4","0",43.839376983938,-79.952936295294
"Pin","5","0",43.845480784548,-79.953166695317
"Target","5","1",43.844589784459,-79.953572595357
"Tee","5","0",43.842787984279,-79.955558895556
"Pin","6","0",43.842445084245,-79.949974394997
"Target","6","1",43.842925684293,-79.951763595176
"Tee","6","0",43.844944384494,-79.95229999523
"Pin","7","0",43.841249884125,-79.949634194963
"Tee","7","0",43.842319984232,-79.949464994946
"Pin","8","0",43.843183984318,-79.953909195391
"Target","8","1",43.842188584219,-79.952056095206
"Target","8","2",43.843043584304,-79.953125295313
"Tee","8","0",43.840709884071,-79.949760194976
"Pin","9","0",43.84320198432,-79.95970339597
"Target","9","1",43.843670884367,-79.95840199584
"Tee","9","0",43.843782484378,-79.955213295521
"Pin","10","0",43.838934183893,-79.958262495826
"Target","10","1",43.839999784,-79.95829849583
"Tee","10","0",43.84229838423,-79.958114895811
"Pin","11","0",43.836045183605,-79.955711895571
"Target","11","1",43.83670128367,-79.957520895752
"Tee","11","0",43.838767683877,-79.959282195928
"Pin","12","0",43.835470983547,-79.960435096043
"Target","12","1",43.835773383577,-79.958933895893
"Tee","12","0",43.83539898354,-79.955784795578
"Pin","13","0",43.837756083776,-79.964008096401
"Target","13","1",43.837445583745,-79.962234196223
"Target","13","2",43.838224983823,-79.963842496384
"Tee","13","0",43.8359974836,-79.959826695983
"Pin","14","0",43.841130184113,-79.962527596253
"Target","14","1",43.840364284036,-79.963519396352
"Tee","14","0",43.839075483908,-79.966164496616
"Pin","15","0",43.841741284174,-79.965560596556
"Target","15","1",43.842324484232,-79.964085496409
"Tee","15","0",43.841880784188,-79.960952596095
"Pin","16","0",43.841014084101,-79.967159896716
"Tee","16","0",43.841116684112,-79.964673196467
"Pin","17","0",43.844364784437,-79.964048596405
"Target","17","1",43.84320468432,-79.965060196506
"Tee","17","0",43.841584684158,-79.967328196733
"Pin","18","0",43.84209678421,-79.960089496009
"Target","18","1",43.842920284292,-79.96210099621
"Tee","18","0",43.8450010845,-79.96359769636
