"type","hole","numPoint","lat","lon"
"Pin","1","0",36.147550514755,-81.835358483536
"Target","1","1",36.14890321489,-81.834484583448
"Tee","1","0",36.151109115111,-81.833665583367
"Pin","2","0",36.145876514588,-81.836455583646
"Tee","2","0",36.147156314716,-81.835285583529
"Pin","3","0",36.143415914342,-81.83950478395
"Target","3","1",36.143790314379,-81.837873983787
"Tee","3","0",36.145616414562,-81.836136083614
"Pin","4","0",36.147533414753,-81.836211683621
"Target","4","1",36.145392314539,-81.8380017838
"Target","4","2",36.146832314683,-81.836732783673
"Tee","4","0",36.143591414359,-81.840089784009
"Pin","5","0",36.147838514784,-81.836946083695
"Tee","5","0",36.148591814859,-81.835317983532
"Pin","6","0",36.145143914514,-81.839041283904
"Target","6","1",36.145749614575,-81.838611083861
"Tee","6","0",36.147385814739,-81.837155783716
"Pin","7","0",36.149259614926,-81.836871383687
"Target","7","1",36.147473114747,-81.838571483857
"Target","7","2",36.148739414874,-81.837351983735
"Tee","7","0",36.145271714527,-81.839706383971
"Pin","8","0",36.148617914862,-81.8389953839
"Tee","8","0",36.149572814957,-81.837177383718
"Pin","9","0",36.151979415198,-81.835728383573
"Target","9","1",36.150532215053,-81.836933483693
"Tee","9","0",36.148850114885,-81.83909708391
"Pin","10","0",36.149510714951,-81.835827383583
"Target","10","1",36.150315315032,-81.835692383569
"Tee","10","0",36.152154915215,-81.835148783515
"Pin","11","0",36.151951515195,-81.834167783417
"Target","11","1",36.150947115095,-81.834431483443
"Tee","11","0",36.148879814888,-81.835688783569
"Pin","12","0",36.154422015442,-81.832220183222
"Tee","12","0",36.152893815289,-81.833207483321
"Pin","13","0",36.158108415811,-81.829213282921
"Target","13","1",36.156141915614,-81.829973782997
"Target","13","2",36.157663815766,-81.82920248292
"Tee","13","0",36.154264515426,-81.831710783171
"Pin","14","0",36.155741415574,-81.831350783135
"Target","14","1",36.15680431568,-81.830672183067
"Tee","14","0",36.158920215892,-81.829548982955
"Pin","15","0",36.158372115837,-81.830967383097
"Target","15","1",36.157134615713,-81.831871883187
"Tee","15","0",36.154749615475,-81.831874583187
"Pin","16","0",36.157084215708,-81.835245983525
"Target","16","1",36.157730415773,-81.833482883348
"Tee","16","0",36.158840115884,-81.830868383087
"Pin","17","0",36.155994315599,-81.836530283653
"Tee","17","0",36.157469415747,-81.836190083619
"Pin","18","0",36.153378915338,-81.83409488341
"Target","18","1",36.154279815428,-81.834853583485
"Tee","18","0",36.156143715614,-81.836042483604
