"type","hole","numPoint","lat","lon"
"Pin","1","0",52.749447174945,-9.497009749701
"Target","1","1",52.7480035748,-9.4997511499751
"Target","1","2",52.748948574895,-9.4977819497782
"Tee","1","0",52.746710274671,-9.502980350298
"Pin","2","0",52.75019597502,-9.4927347492735
"Target","2","1",52.749658674966,-9.494430349443
"Tee","2","0",52.748422974842,-9.4976406497641
"Pin","3","0",52.753437775344,-9.4924881492488
"Target","3","1",52.75279787528,-9.4922640492264
"Tee","3","0",52.750555075056,-9.4917852491785
"Pin","4","0",52.757022475702,-9.4874157487416
"Target","4","1",52.754940775494,-9.4909464490946
"Target","4","2",52.756261075626,-9.4885218488522
"Tee","4","0",52.753089475309,-9.4932063493206
"Pin","5","0",52.756108075611,-9.4917069491707
"Target","5","1",52.756291675629,-9.4906719490672
"Tee","5","0",52.757314975731,-9.4874157487416
"Pin","6","0",52.759455175946,-9.4913694491369
"Target","6","1",52.758584875858,-9.4913658491366
"Tee","6","0",52.756416775642,-9.4921551492155
"Pin","7","0",52.760957276096,-9.4900068490007
"Tee","7","0",52.75909877591,-9.4906449490645
"Pin","8","0",52.765621976562,-9.492879649288
"Target","8","1",52.763839976384,-9.4904244490425
"Target","8","2",52.765308776531,-9.4923936492394
"Tee","8","0",52.761729476173,-9.4885875488588
"Pin","9","0",52.766381576638,-9.4943925494393
"Tee","9","0",52.76509727651,-9.4933809493381
"Pin","10","0",52.765442876544,-9.4874454487446
"Target","10","1",52.765889276589,-9.4912731491273
"Target","10","2",52.76550497655,-9.4883517488352
"Tee","10","0",52.766858576686,-9.4948749494875
"Pin","11","0",52.764216176422,-9.4887675488768
"Tee","11","0",52.765072976507,-9.4874076487408
"Pin","12","0",52.760634176063,-9.4877829487783
"Target","12","1",52.761787076179,-9.4879242487924
"Tee","12","0",52.763993876399,-9.4890114489012
"Pin","13","0",52.757329375733,-9.4916322491632
"Target","13","1",52.758325675833,-9.4895892489589
"Target","13","2",52.757329375733,-9.4906719490672
"Tee","13","0",52.760521676052,-9.4884489488449
"Pin","14","0",52.755594175559,-9.492769849277
"Tee","14","0",52.756543675654,-9.4916862491686
"Pin","15","0",52.753405375341,-9.4935123493512
"Target","15","1",52.754285575429,-9.4926339492634
"Tee","15","0",52.755983875598,-9.4909725490973
"Pin","16","0",52.751259775126,-9.4926249492625
"Tee","16","0",52.752936475294,-9.4932063493206
"Pin","17","0",52.74850307485,-9.4969215496922
"Target","17","1",52.748750574875,-9.4950639495064
"Tee","17","0",52.750149175015,-9.4920426492043
"Pin","18","0",52.747411374741,-9.5039622503962
"Target","18","1",52.747676874768,-9.5021136502114
"Tee","18","0",52.748842374884,-9.4987539498754
