"type","hole","numPoint","lat","lon"
"Pin","1","0",59.672462067246,10.218661321866
"Target","1","1",59.671906767191,10.220444222044
"Tee","1","0",59.670243567024,10.220989622099
"Pin","2","0",59.670923967092,10.217917921792
"Tee","2","0",59.671933767193,10.218970021897
"Pin","3","0",59.67419816742,10.211931121193
"Target","3","1",59.672273967227,10.213052521305
"Target","3","2",59.673220767322,10.212068821207
"Tee","3","0",59.671227267123,10.217113321711
"Pin","4","0",59.67510356751,10.210928521093
"Tee","4","0",59.673927267393,10.210836721084
"Pin","5","0",59.672321667232,10.209190620919
"Target","5","1",59.673366567337,10.209910620991
"Tee","5","0",59.67550406755,10.209995221
"Pin","6","0",59.673323367332,10.208267220827
"Tee","6","0",59.672308167231,10.208509320851
"Pin","7","0",59.671189467119,10.206331320633
"Target","7","1",59.672426967243,10.206509520651
"Tee","7","0",59.674729167473,10.206588720659
"Pin","8","0",59.67150356715,10.210692721069
"Target","8","1",59.671481067148,10.209463320946
"Tee","8","0",59.670639567064,10.205929020593
"Pin","9","0",59.669824166982,10.2179989218
"Target","9","1",59.670740367074,10.216007221601
"Tee","9","0",59.671375767138,10.211539621154
"Pin","10","0",59.672711367271,10.224564422456
"Target","10","1",59.670883467088,10.223526722353
"Target","10","2",59.672331567233,10.224452822445
"Tee","10","0",59.668645166865,10.222456622246
"Pin","11","0",59.674073967407,10.224650822465
"Target","11","1",59.673436767344,10.223150522315
"Tee","11","0",59.671920267192,10.222912022291
"Pin","12","0",59.676492267649,10.223132522313
"Tee","12","0",59.675222367522,10.22439882244
"Pin","13","0",59.673615867362,10.220889722089
"Target","13","1",59.67450146745,10.221624122162
"Tee","13","0",59.676617367662,10.222236122224
"Pin","14","0",59.674011867401,10.216207021621
"Tee","14","0",59.674227867423,10.219618921962
"Pin","15","0",59.675826267583,10.210590121059
"Target","15","1",59.6760008676,10.21470042147
"Target","15","2",59.675945067595,10.211689021169
"Tee","15","0",59.673738267374,10.215541921554
"Pin","16","0",59.672762667276,10.214822821482
"Target","16","1",59.674123467412,10.214380921438
"Tee","16","0",59.675606667561,10.212328021233
"Pin","17","0",59.673193767319,10.220278622028
"Target","17","1",59.673542967354,10.218677521868
"Tee","17","0",59.672261367226,10.215493321549
"Pin","18","0",59.669626166963,10.221715922172
"Target","18","1",59.67179606718,10.222135322214
"Target","18","2",59.670275067028,10.22209752221
"Tee","18","0",59.67409826741,10.222230722223
