"type","hole","numPoint","lat","lon"
"Pin","1","0",52.613794661379,-1.8997552899755
"Target","1","1",52.611939761194,-1.9022329902233
"Target","1","2",52.613347361335,-1.9005850900585
"Tee","1","0",52.611616661162,-1.9053019905302
"Pin","2","0",52.611028961103,-1.9006021900602
"Target","2","1",52.611888461189,-1.9003330900333
"Tee","2","0",52.613873861387,-1.8992242899224
"Pin","3","0",52.607523460752,-1.9009783900978
"Target","3","1",52.609531360953,-1.8994753899475
"Target","3","2",52.608130060813,-1.9004491900449
"Tee","3","0",52.611827261183,-1.8991756899176
"Pin","4","0",52.605644260564,-1.9053766905377
"Target","4","1",52.605925960593,-1.9047475904748
"Tee","4","0",52.607040160704,-1.9020646902065
"Pin","5","0",52.606388560639,-1.9094032909403
"Target","5","1",52.60549576055,-1.908829990883
"Tee","5","0",52.605318460532,-1.9058653905865
"Pin","6","0",52.607074360707,-1.9032229903223
"Target","6","1",52.606426360643,-1.9049680904968
"Tee","6","0",52.606124860612,-1.9087273908727
"Pin","7","0",52.608421660842,-1.8992746899275
"Tee","7","0",52.607056360706,-1.9003213900321
"Pin","8","0",52.613346461335,-1.8989452898945
"Target","8","1",52.611131561113,-1.8985366898537
"Target","8","2",52.612815461282,-1.8986554898655
"Tee","8","0",52.608748360875,-1.8986977898698
"Pin","9","0",52.611976661198,-1.904840290484
"Target","9","1",52.612656161266,-1.9030213903021
"Tee","9","0",52.614092561409,-1.9001440900144
"Pin","10","0",52.613620061362,-1.9027936902794
"Target","10","1",52.613223161322,-1.9032067903207
"Tee","10","0",52.61179936118,-1.9055539905554
"Pin","11","0",52.614333761433,-1.9007182900718
"Tee","11","0",52.613422961342,-1.9023670902367
"Pin","12","0",52.611028961103,-1.8971344897134
"Target","12","1",52.612233161223,-1.8971488897149
"Tee","12","0",52.614147461415,-1.8992557899256
"Pin","13","0",52.607033860703,-1.8982585898259
"Target","13","1",52.609211860921,-1.8977023897702
"Target","13","2",52.607791660779,-1.8986005898601
"Tee","13","0",52.611512261151,-1.8975691897569
"Pin","14","0",52.605580360558,-1.8997012899701
"Tee","14","0",52.606438960644,-1.8989506898951
"Pin","15","0",52.605326560533,-1.9044514904451
"Target","15","1",52.605268060527,-1.9029880902988
"Tee","15","0",52.604972860497,-1.8992962899296
"Pin","16","0",52.606313860631,-1.902469690247
"Tee","16","0",52.605389560539,-1.9052128905213
"Pin","17","0",52.610690561069,-1.899939789994
"Target","17","1",52.609554760955,-1.9003573900357
"Tee","17","0",52.607473060747,-1.9019782901978
"Pin","18","0",52.611248561125,-1.9051489905149
"Target","18","1",52.611050561105,-1.904140090414
"Tee","18","0",52.610649161065,-1.9005436900544
